ID,Confidence,Predicted,True_Label,Contig_Length
VIRSorter_Phage_NC_047764_1_length_73783_cov_727_670681,1,Viruses,Phage,73783
VIRSorter_Phage_NC_048698_1_length_41812_cov_362_980985,1,Viruses,Phage,41812
VIRSorter_Phage_NC_048806_1_length_65688_cov_271_981518,1,Viruses,Phage,65688
VIRSorter_Bacteria_NZ_CP040586_26_length_14995_cov_38_866198,2,Viruses,Bacteria,14995
VIRSorter_Bacteria_NZ_CP045702_24_length_122012_cov_35_351780,2,Viruses,Bacteria,122012
VIRSorter_Bacteria_NZ_CP059603_13_length_42632_cov_51_068629,2,Viruses,Bacteria,42632
VIRSorter_Bacteria_NZ_CP059603_22_length_4854_cov_108_223588,2,Viruses,Bacteria,4854
VIRSorter_Phage_NC_048099_1_length_38311_cov_174_619929,2,Viruses,Phage,38311
VIRSorter_Phage_NC_048166_1_length_88399_cov_98_245404,2,Viruses,Phage,88399
VIRSorter_Phage_NC_048639_1_length_44791_cov_319_917427,2,Viruses,Phage,44791
VIRSorter_Phage_NC_048639_2_length_14249_cov_312_609412,2,Viruses,Phage,14249
VIRSorter_Phage_NC_048639_3_length_11572_cov_325_279500,2,Viruses,Phage,11572
VIRSorter_Phage_NC_048739_1_length_19678_cov_207_928095,2,Viruses,Phage,19678
VIRSorter_Phage_NC_049478_1_length_60201_cov_541_864563,2,Viruses,Phage,60201
VIRSorter_Phage_NC_049972_1_length_18931_cov_1127_461115,2,Viruses,Phage,18931
