seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
Bacteria_NZ_CP045702_594_length_4386_cov_3.190025||full	0.893	0.140	0.893	dsDNAphage	4280	1	33.300	0.000
Bacteria_NZ_CP056341_1368_length_1043_cov_4.200405||full	0.960	0.993	0.993	ssDNA	988	0	50.000	0.000
Phage_NC_047747_1_length_40338_cov_9.550034||full	1.000	0.187	1.000	dsDNAphage	40283	15	87.800	0.000
Phage_NC_047826_1_length_40050_cov_15.613252||full	1.000	0.200	1.000	dsDNAphage	39995	15	85.100	0.000
Phage_NC_047840_1_length_44253_cov_32.105525||full	1.000	0.367	1.000	dsDNAphage	44198	9	71.700	0.000
Phage_NC_047895_1_length_39825_cov_22.451572||full	1.000	0.147	1.000	dsDNAphage	39678	12	88.200	0.000
Phage_NC_047952_1_length_42924_cov_26.852994||full	1.000	0.127	1.000	dsDNAphage	42869	13	90.700	0.000
Phage_NC_048078_1_length_39161_cov_228.006597||full	1.000	0.133	1.000	dsDNAphage	38779	12	93.900	0.000
Phage_NC_048136_1_length_39658_cov_13.072192||full	1.000	0.127	1.000	dsDNAphage	39518	12	90.000	0.000
Phage_NC_048195_1_length_68743_cov_59.992299||full	1.000	0.227	1.000	dsDNAphage	68688	25	51.900	0.000
Phage_NC_048684_1_length_45012_cov_19.500189||full	1.000	0.000	1.000	dsDNAphage	44957	1	30.000	5.000
Phage_NC_048685_1_length_44956_cov_29.481125||full	1.000	0.007	1.000	dsDNAphage	44714	1	33.900	4.800
Phage_NC_048797_1_length_109160_cov_14.502223||full	0.987	0.167	0.987	dsDNAphage	108969	26	76.000	0.800
Phage_NC_048797_2_length_45085_cov_16.391384||full	0.993	0.100	0.993	dsDNAphage	44815	3	45.700	1.900
Phage_NC_049456_1_length_75471_cov_12.524491||full	1.000	0.147	1.000	dsDNAphage	75416	5	57.900	0.000
Phage_NC_049813_1_length_44147_cov_76.696589||full	1.000	0.140	1.000	dsDNAphage	44092	15	89.400	0.000
Phage_NC_050146_1_length_65429_cov_13.109983||full	1.000	0.300	1.000	dsDNAphage	65374	26	96.800	0.000
Prophage_NZ_CP056251_59_length_7444_cov_4.150629||full	0.993	0.213	0.993	dsDNAphage	7412	0	61.500	0.000
Bacteria_NZ_CP056251_65_length_7175_cov_6.114045||full	0.987	0.520	0.987	dsDNAphage	7139	4	80.000	0.000
Prophage_NZ_CP056251_88_length_6418_cov_3.041018||full	0.640	0.000	0.640	dsDNAphage	6229	1	42.900	14.300
Bacteria_NZ_CP056251_117_length_5824_cov_4.581383||full	0.700	0.027	0.700	dsDNAphage	5800	0	36.400	18.200
Bacteria_NZ_CP056251_158_length_5323_cov_3.070615||full	0.987	0.593	0.987	dsDNAphage	5321	3	71.400	0.000
Prophage_NZ_CP056251_160_length_5271_cov_4.189417||full	0.993	0.747	0.993	dsDNAphage	5269	3	100.000	0.000
Bacteria_NZ_CP056251_188_length_5012_cov_3.062336||full	0.880	0.953	0.953	ssDNA	5008	0	75.000	0.000
Bacteria_NZ_CP056251_209_length_4824_cov_3.087020||full	0.920	0.047	0.920	dsDNAphage	4557	1	30.000	20.000
Bacteria_NZ_CP056251_220_length_4675_cov_3.351299||full	0.893	0.560	0.893	dsDNAphage	4673	0	22.200	0.000
Prophage_NZ_CP056251_234_length_4546_cov_4.643732||full	1.000	0.820	1.000	dsDNAphage	4538	6	85.700	0.000
Prophage_NZ_CP056251_236_length_4530_cov_4.748156||full	1.000	0.020	1.000	dsDNAphage	4528	2	57.100	28.600
Bacteria_NZ_CP056251_265_length_4313_cov_3.097229||full	0.587	0.020	0.587	dsDNAphage	4152	0	33.300	22.200
Prophage_NZ_CP056251_276_length_4229_cov_3.165549||full	1.000	0.827	1.000	dsDNAphage	4228	6	85.700	0.000
