ID,Confidence,Predicted,True_Label,Contig_Length
VIRSorter_Bacteria_NZ_CP048810_181_length_6921_cov_3_373289,1,Viruses,Bacteria,6921
VIRSorter_Phage_NC_047747_1_length_40338_cov_1472_842043-circular,1,Viruses,Phage,40338
VIRSorter_Phage_NC_048168_1_length_43445_cov_745_792994,1,Viruses,Phage,43445
VIRSorter_Phage_NC_048641_1_length_40384_cov_342_490987,1,Viruses,Phage,40384
VIRSorter_Phage_NC_048675_1_length_66180_cov_106_799758,1,Viruses,Phage,66180
VIRSorter_Bacteria_NZ_CP041372_29_length_47159_cov_61_444782,2,Viruses,Bacteria,47159
VIRSorter_Bacteria_NZ_CP041372_31_length_31634_cov_124_389373,2,Viruses,Bacteria,31634
VIRSorter_Bacteria_NZ_CP048810_210_length_6607_cov_3_439103,2,Viruses,Bacteria,6607
VIRSorter_Bacteria_NZ_CP048810_468_length_4376_cov_3_671372,2,Viruses,Bacteria,4376
VIRSorter_Phage_NC_047933_1_length_43183_cov_1036_697227,2,Viruses,Phage,43183
VIRSorter_Phage_NC_047954_1_length_46602_cov_28_362107,2,Viruses,Phage,46602
VIRSorter_Phage_NC_048639_1_length_41548_cov_69_407298,2,Viruses,Phage,41548
VIRSorter_Phage_NC_048639_2_length_14232_cov_66_657756,2,Viruses,Phage,14232
VIRSorter_Phage_NC_048639_3_length_11572_cov_68_486846,2,Viruses,Phage,11572
VIRSorter_Phage_NC_048706_1_length_45935_cov_163_600697-circular,2,Viruses,Phage,45935
VIRSorter_Phage_NC_049456_1_length_75471_cov_45_715445-circular,2,Viruses,Phage,75471
VIRSorter_Phage_NC_049976_1_length_18751_cov_431_874947,2,Viruses,Phage,18751
