ID,True_Label,Contig_Length,Assigned_TaxID,Predicted_Label
Bacteria_NZ_CP040586_1_length_465275_cov_36.384328,Bacteria,465275,637971,Bacteria
Bacteria_NZ_CP040586_3_length_198283_cov_37.644460,Bacteria,198283,637971,Bacteria
Bacteria_NZ_CP040586_2_length_291891_cov_36.542359,Bacteria,291891,1582,Bacteria
Bacteria_NZ_CP040586_4_length_141630_cov_35.751001,Bacteria,141630,2100422,Bacteria
Bacteria_NZ_CP040586_5_length_132244_cov_36.557527,Bacteria,132244,152331,Bacteria
Bacteria_NZ_CP040586_6_length_130864_cov_36.011689,Bacteria,130864,1598,Bacteria
Bacteria_NZ_CP040586_7_length_121043_cov_36.374492,Bacteria,121043,1590,Bacteria
Bacteria_NZ_CP040586_13_length_78315_cov_36.687260,Bacteria,78315,1590,Bacteria
Bacteria_NZ_CP059603_15_length_40482_cov_49.787691,Bacteria,40482,1590,Bacteria
Bacteria_NZ_CP040586_8_length_118152_cov_37.350729,Bacteria,118152,375175,Bacteria
Bacteria_NZ_CP040586_28_length_3246_cov_146.459730,Bacteria,3246,375175,Bacteria
Bacteria_NZ_CP040586_9_length_116990_cov_36.587189,Bacteria,116990,1580,Bacteria
Bacteria_NZ_CP040586_14_length_75172_cov_35.936459,Bacteria,75172,1580,Bacteria
Bacteria_NZ_CP059603_2_length_337629_cov_55.554231,Bacteria,337629,1580,Bacteria
Bacteria_NZ_CP059603_22_length_4854_cov_108.223588,Bacteria,4854,1580,Bacteria
Bacteria_NZ_CP040586_10_length_115947_cov_35.861992,Bacteria,115947,267363,Bacteria
Bacteria_NZ_CP059603_1_length_576332_cov_59.061932,Bacteria,576332,267363,Bacteria
Bacteria_NZ_CP059603_3_length_289846_cov_61.683569,Bacteria,289846,267363,Bacteria
Bacteria_NZ_CP059603_5_length_141199_cov_56.965255,Bacteria,141199,267363,Bacteria
Bacteria_NZ_CP059603_6_length_133148_cov_53.029987,Bacteria,133148,267363,Bacteria
Bacteria_NZ_CP059603_7_length_129784_cov_58.898905,Bacteria,129784,267363,Bacteria
Bacteria_NZ_CP059603_8_length_119750_cov_59.598354,Bacteria,119750,267363,Bacteria
Bacteria_NZ_CP059603_9_length_88429_cov_53.626214,Bacteria,88429,267363,Bacteria
Bacteria_NZ_CP059603_10_length_74585_cov_64.865638,Bacteria,74585,267363,Bacteria
Bacteria_NZ_CP059603_11_length_70595_cov_78.354139,Bacteria,70595,267363,Bacteria
Bacteria_NZ_CP059603_12_length_55969_cov_85.682173,Bacteria,55969,267363,Bacteria
Bacteria_NZ_CP059603_14_length_40747_cov_51.928438,Bacteria,40747,267363,Bacteria
