ID,Confidence,Predicted,True_Label,Contig_Length
VIRSorter_Bacteria_NZ_AP022672_286_length_4113_cov_4_479054,1,Viruses,Bacteria,4113
VIRSorter_Bacteria_NZ_AP022672_360_length_3318_cov_3_570641,1,Viruses,Bacteria,3318
VIRSorter_Bacteria_NZ_AP022672_402_length_2947_cov_2_778354,1,Viruses,Bacteria,2947
VIRSorter_Bacteria_NZ_AP022672_96_length_8503_cov_3_609967,1,Viruses,Bacteria,8503
VIRSorter_Bacteria_NZ_CP045553_150_length_5824_cov_2_057722,1,Viruses,Bacteria,5824
VIRSorter_Bacteria_NZ_CP045553_678_length_2669_cov_3_208875,1,Viruses,Bacteria,2669
VIRSorter_Bacteria_NZ_CP045554_1300_length_1201_cov_1_509599,1,Viruses,Bacteria,1201
VIRSorter_Bacteria_NZ_CP045554_138_length_4793_cov_3_056986,1,Viruses,Bacteria,4793
VIRSorter_Bacteria_NZ_CP045554_199_length_4313_cov_3_119775,1,Viruses,Bacteria,4313
VIRSorter_Bacteria_NZ_CP045554_213_length_4194_cov_3_270597,1,Viruses,Bacteria,4194
VIRSorter_Bacteria_NZ_CP045554_821_length_2014_cov_2_351200,1,Viruses,Bacteria,2014
VIRSorter_Bacteria_NZ_CP045554_85_length_5602_cov_2_943934,1,Viruses,Bacteria,5602
VIRSorter_Bacteria_NZ_CP045702_53_length_17195_cov_4_344457,1,Viruses,Bacteria,17195
VIRSorter_Bacteria_NZ_CP053573_58_length_2852_cov_1_525206,1,Viruses,Bacteria,2852
VIRSorter_Bacteria_NZ_CP054128_350_length_5630_cov_4_006637,1,Viruses,Bacteria,5630
VIRSorter_Bacteria_NZ_CP054205_536_length_2971_cov_3_825103,1,Viruses,Bacteria,2971
VIRSorter_Bacteria_NZ_CP056185_22_length_14563_cov_3_599325,1,Viruses,Bacteria,14563
VIRSorter_Bacteria_NZ_CP056185_83_length_9177_cov_3_382592,1,Viruses,Bacteria,9177
VIRSorter_Bacteria_NZ_CP056200_33_length_4435_cov_2_922831,1,Viruses,Bacteria,4435
VIRSorter_Bacteria_NZ_CP056200_405_length_2127_cov_2_503378,1,Viruses,Bacteria,2127
VIRSorter_Bacteria_NZ_CP056251_1054_length_1562_cov_4_041141,1,Viruses,Bacteria,1562
VIRSorter_Bacteria_NZ_CP056251_1084_length_1491_cov_3_316852,1,Viruses,Bacteria,1491
VIRSorter_Bacteria_NZ_CP056251_1104_length_1452_cov_5_419470,1,Viruses,Bacteria,1452
VIRSorter_Bacteria_NZ_CP056251_65_length_7175_cov_6_114045,1,Viruses,Bacteria,7175
