"","name","length","score","pvalue"
"1","Bacteria_NZ_AP023189_1_length_7068_cov_3.497077",7068,0.468772172053484,0.0968954644676207
"2","Bacteria_NZ_AP023189_2_length_6303_cov_6.801697",6303,0.189648323242284,0.232718894009217
"3","Bacteria_NZ_AP023189_3_length_6071_cov_2.171044",6071,0.0352978855032296,0.514916323065729
"4","Prophage_NZ_AP023189_4_length_6019_cov_3.711100",6019,0.527092766941647,0.0817365995634247
"5","Bacteria_NZ_AP023189_5_length_5982_cov_3.747258",5982,0.00385059871999093,0.843075430511763
"6","Bacteria_NZ_AP023189_6_length_5629_cov_2.132580",5629,0.0642842905081431,0.407834101382488
"7","Bacteria_NZ_AP023189_7_length_5598_cov_2.512358",5598,0.00108807152299269,0.937424205675479
"8","Bacteria_NZ_AP023189_8_length_5451_cov_2.459785",5451,0.0105609976701417,0.716711132670386
"9","Bacteria_NZ_AP023189_9_length_5406_cov_2.403476",5406,0.0936277174402744,0.346834829008004
"10","Bacteria_NZ_AP023189_10_length_5204_cov_2.218683",5204,0.00758604092996529,0.764370603929178
"11","Bacteria_NZ_AP023189_11_length_4987_cov_2.493715",4987,0.0779454335329783,0.379820519039534
"12","Bacteria_NZ_AP023189_12_length_4938_cov_2.520172",4938,0.0561974994605571,0.432209556148436
"13","Bacteria_NZ_AP023189_13_length_4675_cov_1.725974",4675,0.193503220812273,0.22944457918991
"14","Bacteria_NZ_AP023189_14_length_4666_cov_2.533507",4666,0.00170886527882563,0.909531894251758
"15","Bacteria_NZ_AP023189_15_length_4627_cov_2.352581",4627,0.0524433208927588,0.444700460829493
"16","Bacteria_NZ_AP023189_16_length_4542_cov_2.605527",4542,0.0420466550760189,0.482900800388067
"17","Bacteria_NZ_AP023189_17_length_4532_cov_2.865088",4532,0.000331854540784939,0.979990298326461
"18","Bacteria_NZ_AP023189_18_length_4522_cov_1.747705",4522,0.0166214513171599,0.64819306330342
"19","Bacteria_NZ_AP023189_19_length_4459_cov_2.411671",4459,0.2643731509562,0.181663837011885
"20","Bacteria_NZ_AP023189_20_length_4393_cov_2.205394",4393,0.00442666265813588,0.825127334465195
"21","Bacteria_NZ_AP023189_21_length_4255_cov_2.556190",4255,0.104871292261471,0.327188940092166
"22","Bacteria_NZ_AP023189_22_length_4214_cov_2.417408",4214,0.0479068648478288,0.459738054814456
"23","Bacteria_NZ_AP023189_23_length_4205_cov_2.580482",4205,0.0181359553403818,0.63291292747999
"24","Bacteria_NZ_AP023189_24_length_4167_cov_2.550340",4167,0.0326755930645851,0.529105020616056
"25","Bacteria_NZ_AP023189_25_length_4162_cov_1.592647",4162,0.0396468134150572,0.492359932088285
"26","Bacteria_NZ_AP023189_26_length_4132_cov_1.944322",4132,0.0039865153647363,0.838103322823187
"27","Bacteria_NZ_AP023189_27_length_4066_cov_2.426826",4066,0.609314342786389,0.0651224836284259
"28","Bacteria_NZ_AP023189_28_length_4059_cov_2.847153",4059,0.0689613827006735,0.397283531409168
"29","Bacteria_NZ_AP023189_29_length_4044_cov_2.440211",4044,0.00390084316489163,0.841135095804026
"30","Bacteria_NZ_AP023189_30_length_4043_cov_1.942828",4043,0.180436809023114,0.240965316517099
"31","Bacteria_NZ_AP023189_31_length_4023_cov_2.280242",4023,0.000680343859845756,0.956463739995149
"32","Bacteria_NZ_AP023189_32_length_4014_cov_3.025006",4014,0.364954365901006,0.132185301964589
"33","Bacteria_NZ_AP023189_33_length_3985_cov_3.253181",3985,0.795267701864812,0.0289837496968227
"34","Bacteria_NZ_AP023189_34_length_3982_cov_2.218997",3982,0.00189238535851862,0.903589619209314
"35","Bacteria_NZ_AP023189_35_length_3951_cov_1.944045",3951,0.0280715253019532,0.557239873878244
"36","Bacteria_NZ_AP023189_36_length_3905_cov_2.450390",3905,0.0997595223331722,0.335314091680815
"37","Bacteria_NZ_AP023189_37_length_3877_cov_2.345631",3877,0.000561946371879432,0.964346349745331
"38","Bacteria_NZ_AP023189_38_length_3826_cov_2.131000",3826,0.00584090563965869,0.798205190395343
"39","Bacteria_NZ_AP023189_39_length_3751_cov_2.400433",3751,0.429855485487391,0.109628910987145
"40","Bacteria_NZ_AP023189_40_length_3738_cov_2.244909",3738,0.0221657165377948,0.598471986417657
"41","Bacteria_NZ_AP023189_41_length_3735_cov_2.321739",3735,0.301926295631413,0.16044142614601
