seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
Phage_NC_047738_1_length_42987_cov_174.547797||full	1.000	0.213	1.000	dsDNAphage	42932	8	63.300	0.000
Phage_NC_047826_1_length_40050_cov_265.494637||full	1.000	0.200	1.000	dsDNAphage	39995	15	85.100	0.000
Phage_NC_047952_1_length_42924_cov_94.513914||full	1.000	0.127	1.000	dsDNAphage	42869	13	90.700	0.000
Phage_NC_047997_1_length_40699_cov_102.340099||full	1.000	0.147	1.000	dsDNAphage	40644	17	86.300	0.000
Phage_NC_048075_1_length_103211_cov_11.986070||full	1.000	0.047	1.000	dsDNAphage	103156	14	33.700	0.600
Phage_NC_048076_1_length_41988_cov_58.394606||full	1.000	0.407	1.000	dsDNAphage	41933	6	52.900	0.000
Phage_NC_048200_1_length_40274_cov_70.609140||full	1.000	0.233	1.000	dsDNAphage	40255	14	85.700	0.000
Phage_NC_048652_1_length_151530_cov_26.359888||full	0.993	0.193	0.993	dsDNAphage	151285	29	62.600	0.400
Phage_NC_048684_1_length_45012_cov_211.431857||full	0.993	0.000	0.993	dsDNAphage	44733	1	30.000	5.000
Phage_NC_048722_1_length_121848_cov_19.045118||full	0.993	0.040	0.993	dsDNAphage	121793	10	35.300	2.400
Phage_NC_048728_1_length_128336_cov_33.656504||full	0.993	0.020	0.993	dsDNAphage	128205	9	34.200	3.700
Phage_NC_048742_1_length_127627_cov_24.985412||full	1.000	0.040	1.000	dsDNAphage	127572	7	34.200	2.700
Phage_NC_050146_1_length_65429_cov_148.184339||full	1.000	0.300	1.000	dsDNAphage	65006	26	96.800	0.000
Bacteria_NZ_CP063427_1_length_739179_cov_11.569934||0_partial	0.953	0.000	0.953	dsDNAphage	37391	5	42.000	28.000
Bacteria_NZ_CP063427_1_length_739179_cov_11.569934||1_partial	0.953	0.000	0.953	dsDNAphage	32329	7	30.600	26.500
Bacteria_NZ_CP063427_3_length_375631_cov_11.615103||0_partial	0.773	0.000	0.773	dsDNAphage	26317	3	12.500	16.700
Prophage_NZ_CP063427_18_length_86848_cov_12.083002||full	0.933	0.000	0.933	dsDNAphage	86654	18	39.600	28.700
Bacteria_NZ_CP064187_1_length_542881_cov_34.455896||0_partial	0.733	0.000	0.733	dsDNAphage	39067	3	21.200	33.300
Phage_NC_047793_1_length_38401_cov_63.549601||full	0.953	0.053	0.953	dsDNAphage	38389	8	42.600	0.000
Phage_NC_047795_1_length_40769_cov_121.589625||full	0.980	0.040	0.980	dsDNAphage	40766	8	45.300	1.900
Phage_NC_047870_1_length_45920_cov_32.084705||full	1.000	0.067	1.000	dsDNAphage	45681	6	57.100	1.800
Phage_NC_047873_1_length_39207_cov_29.480614||full	1.000	0.227	1.000	dsDNAphage	38060	15	91.500	0.000
Phage_NC_047894_1_length_47863_cov_141.116905||full	1.000	0.193	1.000	dsDNAphage	46841	7	67.400	0.000
Phage_NC_047904_1_length_42531_cov_35.069710||full	0.980	0.047	0.980	dsDNAphage	41817	5	51.800	1.800
Phage_NC_047956_1_length_14459_cov_3.992710||full	1.000	0.347	1.000	dsDNAphage	14457	1	68.200	0.000
Phage_NC_047956_2_length_11183_cov_3.877876||full	0.993	0.460	0.993	dsDNAphage	11181	3	55.600	0.000
Phage_NC_047956_3_length_6805_cov_4.873778||full	1.000	0.900	1.000	dsDNAphage	6489	2	100.000	0.000
Phage_NC_047956_4_length_5154_cov_4.681114||full	0.813	0.573	0.813	dsDNAphage	5152	0	50.000	0.000
Phage_NC_047956_5_length_2609_cov_4.104542||full	0.947	0.987	0.987	ssDNA	2606	0	50.000	0.000
Phage_NC_047956_6_length_2217_cov_2.961147||full	0.540	0.947	0.947	ssDNA	1892	0	50.000	0.000
Phage_NC_047967_1_length_15446_cov_59.814047||full	1.000	0.167	1.000	dsDNAphage	15310	9	88.200	0.000
Phage_NC_047967_2_length_9292_cov_67.091588||full	1.000	0.553	1.000	dsDNAphage	9290	3	91.700	0.000
Phage_NC_047967_3_length_8619_cov_61.462050||full	0.867	0.307	0.867	dsDNAphage	8287	0	90.900	0.000
Phage_NC_047967_4_length_6614_cov_60.945876||full	0.987	0.587	0.987	dsDNAphage	6613	0	76.500	0.000
Phage_NC_047967_5_length_2738_cov_63.973537||full	1.000	0.873	1.000	dsDNAphage	2736	4	100.000	0.000
Phage_NC_047974_1_length_53904_cov_94.282011||full	0.993	0.153	0.993	dsDNAphage	52749	10	47.700	1.200
Phage_NC_048029_1_length_43038_cov_13.189726||full	1.000	0.040	1.000	dsDNAphage	43034	7	58.800	2.000
Phage_NC_048147_1_length_61809_cov_51.328189||full	0.980	0.253	0.980	dsDNAphage	61661	22	60.200	0.000
Phage_NC_048153_1_length_36191_cov_107.891521||full	0.967	0.033	0.967	dsDNAphage	36173	8	40.400	0.000
Phage_NC_048155_1_length_41249_cov_75.164126||full	0.993	0.480	0.993	dsDNAphage	41056	9	86.800	0.000
Phage_NC_048628_1_length_42892_cov_18.583818||full	0.993	0.207	0.993	dsDNAphage	42891	12	71.200	0.000
Phage_NC_048638_1_length_41560_cov_40.028406||full	0.993	0.007	0.993	dsDNAphage	41123	6	63.900	5.600
Phage_NC_048638_2_length_12927_cov_39.586001||full	1.000	0.400	1.000	dsDNAphage	12816	0	47.600	0.000
Phage_NC_048638_3_length_10659_cov_42.886552||full	0.987	0.133	0.987	dsDNAphage	10648	0	45.800	0.000
Phage_NC_048688_1_length_39474_cov_44.983637||full	0.993	0.020	0.993	dsDNAphage	39382	12	62.500	4.700
Phage_NC_048689_1_length_40596_cov_125.176266||full	0.993	0.020	0.993	dsDNAphage	40508	13	58.000	5.800
Phage_NC_048692_1_length_42262_cov_123.957235||full	0.993	0.027	0.993	dsDNAphage	42173	14	66.700	3.200
Phage_NC_048708_1_length_46803_cov_112.950351||full	1.000	0.407	1.000	dsDNAphage	45288	14	89.100	0.000
Phage_NC_048715_1_length_41027_cov_101.512570||full	0.993	0.020	0.993	dsDNAphage	40987	12	52.900	5.700
Phage_NC_048716_1_length_37944_cov_83.230331||full	1.000	0.020	1.000	dsDNAphage	37844	13	58.700	6.300
Phage_NC_048806_1_length_65599_cov_16.494645||full	1.000	0.247	1.000	dsDNAphage	64726	26	95.600	0.000
Phage_NC_048832_1_length_39249_cov_22.588049||full	1.000	0.700	1.000	dsDNAphage	39139	7	49.300	0.000
Phage_NC_048833_1_length_39038_cov_105.051843||full	1.000	0.220	1.000	dsDNAphage	38909	7	52.300	1.500
Phage_NC_048837_1_length_38521_cov_89.613451||full	1.000	0.613	1.000	dsDNAphage	38404	7	56.500	0.000
Phage_NC_048839_1_length_38125_cov_205.041292||full	1.000	0.260	1.000	dsDNAphage	38011	7	47.800	1.500
Phage_NC_049463_1_length_76234_cov_67.633639||full	0.993	0.080	0.993	dsDNAphage	75426	9	60.700	1.200
Phage_NC_049492_1_length_2720_cov_2.177861||full	0.880	0.973	0.973	ssDNA	2636	0	80.000	0.000
Phage_NC_049492_2_length_1995_cov_1.894330||full	0.627	0.807	0.807	ssDNA	1994	0	66.700	0.000
Phage_NC_049492_3_length_1989_cov_2.570321||full	0.613	0.780	0.780	ssDNA	1812	0	100.000	0.000
Phage_NC_049492_4_length_1981_cov_2.080997||full	0.667	0.907	0.907	ssDNA	1913	0	100.000	0.000
Phage_NC_049492_5_length_1965_cov_2.110471||full	0.953	0.980	0.980	ssDNA	1963	0	80.000	0.000
Phage_NC_049492_6_length_1792_cov_2.426598||full	0.947	0.907	0.947	dsDNAphage	1605	0	75.000	0.000
Phage_NC_049492_7_length_1783_cov_1.893519||full	0.960	0.953	0.960	dsDNAphage	1782	0	40.000	0.000
Phage_NC_049492_8_length_1604_cov_2.260813||full	0.973	0.973	0.973	dsDNAphage	1573	2	100.000	0.000
Phage_NC_049492_10_length_1374_cov_1.549659||full	0.873	1.000	1.000	ssDNA	1371	0	66.700	0.000
Phage_NC_049492_11_length_1338_cov_1.583788||full	0.820	1.000	1.000	ssDNA	1231	0	100.000	0.000
Phage_NC_049492_12_length_1335_cov_1.918750||full	0.867	0.307	0.867	dsDNAphage	1333	1	66.700	0.000
Phage_NC_049492_13_length_1285_cov_2.806504||full	0.993	0.820	0.993	dsDNAphage	1194	2	100.000	0.000
Phage_NC_049492_17_length_1086_cov_1.426770||full	0.940	0.927	0.940	dsDNAphage	1063	1	75.000	0.000
Phage_NC_049493_1_length_165064_cov_17.843045||full	1.000	0.360	1.000	dsDNAphage	164964	43	82.400	0.000
Phage_NC_049962_1_length_27202_cov_296.419015||full	1.000	0.173	1.000	dsDNAphage	26539	5	42.200	0.000
Phage_NC_049965_1_length_19099_cov_184.356438||full	1.000	0.047	1.000	dsDNAphage	18558	5	56.000	0.000
Phage_NC_049968_1_length_26350_cov_69.621145||full	1.000	0.080	1.000	dsDNAphage	25856	4	42.200	0.000
Phage_NC_049970_1_length_6579_cov_3.061619||full	1.000	0.293	1.000	dsDNAphage	6576	4	85.700	0.000
Phage_NC_049970_2_length_3553_cov_3.204974||full	0.993	0.747	0.993	dsDNAphage	3431	1	50.000	0.000
Phage_NC_049970_3_length_3100_cov_3.586535||full	0.927	0.940	0.940	ssDNA	3099	0	100.000	0.000
Phage_NC_049970_5_length_1153_cov_1.991803||full	0.727	0.927	0.927	ssDNA	984	0	33.300	0.000
Phage_NC_049971_1_length_18464_cov_185.892661||full	1.000	0.027	1.000	dsDNAphage	18286	4	44.400	0.000
Phage_NC_049973_1_length_20761_cov_42.598426||full	1.000	0.093	1.000	dsDNAphage	20395	5	43.800	0.000
Phage_NC_049974_1_length_17815_cov_26.902140||full	1.000	0.093	1.000	dsDNAphage	17296	5	70.000	0.000
Phage_NC_049974_2_length_2097_cov_26.085700||full	0.987	0.987	0.987	dsDNAphage	1701	0	40.000	0.000
Phage_NC_050148_1_length_66655_cov_114.967883||full	1.000	0.300	1.000	dsDNAphage	66052	26	96.800	0.000
Bacteria_NZ_AP023239_118_length_9973_cov_3.367816||full	0.840	0.107	0.840	dsDNAphage	9972	0	91.700	8.300
Bacteria_NZ_AP023239_126_length_9571_cov_4.402690||full	1.000	0.387	1.000	dsDNAphage	9567	7	92.300	0.000
Bacteria_NZ_AP023239_166_length_8417_cov_4.791437||full	0.627	0.013	0.627	dsDNAphage	7628	1	33.300	16.700
Bacteria_NZ_AP023239_306_length_5849_cov_3.889541||full	0.673	0.367	0.673	dsDNAphage	5438	0	16.700	0.000
Bacteria_NZ_AP023239_379_length_4975_cov_3.947561||full	0.860	0.827	0.860	dsDNAphage	4419	0	50.000	0.000
Bacteria_NZ_AP023239_405_length_4700_cov_3.384069||full	0.773	0.467	0.773	dsDNAphage	4540	0	33.300	0.000
Bacteria_NZ_AP023239_420_length_4594_cov_4.198061||full	0.833	0.120	0.833	dsDNAphage	4172	0	40.000	10.000
Bacteria_NZ_AP023239_427_length_4516_cov_3.974445||full	0.887	0.260	0.887	dsDNAphage	4513	0	62.500	0.000
Bacteria_NZ_AP023239_429_length_4495_cov_3.939189||full	0.873	0.067	0.873	dsDNAphage	4182	1	33.300	0.000
Bacteria_NZ_AP023239_449_length_4302_cov_3.924653||full	0.707	0.860	0.860	ssDNA	3606	0	100.000	0.000
Bacteria_NZ_AP023239_485_length_3979_cov_4.107798||full	0.967	0.740	0.967	dsDNAphage	3906	2	100.000	0.000
Bacteria_NZ_AP023239_509_length_3721_cov_2.567921||full	0.733	0.440	0.733	dsDNAphage	3720	0	33.300	0.000
Bacteria_NZ_AP023239_574_length_3166_cov_3.681453||full	0.527	0.033	0.527	dsDNAphage	3134	0	25.000	0.000
Bacteria_NZ_AP023239_630_length_2747_cov_4.131129||full	0.707	0.140	0.707	dsDNAphage	1970	0	40.000	20.000
Bacteria_NZ_AP023239_642_length_2681_cov_4.984006||full	0.500	0.953	0.953	ssDNA	2680	0	50.000	0.000
Bacteria_NZ_AP023239_664_length_2522_cov_3.045805||full	0.860	0.847	0.860	dsDNAphage	2522	0	66.700	0.000
Bacteria_NZ_AP023239_684_length_2440_cov_2.708595||full	0.887	0.987	0.987	ssDNA	2340	0	75.000	0.000
Bacteria_NZ_AP023239_693_length_2361_cov_3.268430||full	0.553	1.000	1.000	ssDNA	2360	0	33.300	0.000
Bacteria_NZ_AP023239_711_length_2255_cov_2.991818||full	0.787	0.833	0.833	ssDNA	2192	0	50.000	0.000
Bacteria_NZ_AP023239_731_length_2170_cov_2.699764||full	0.600	0.433	0.600	dsDNAphage	2102	0	50.000	0.000
Bacteria_NZ_AP023239_754_length_2041_cov_3.823263||full	0.533	0.927	0.927	ssDNA	2037	0	33.300	0.000
Bacteria_NZ_AP023239_778_length_1876_cov_3.658429||full	0.420	0.967	0.967	ssDNA	1662	0	33.300	0.000
Bacteria_NZ_AP023239_794_length_1808_cov_4.764974||full	0.567	0.827	0.827	ssDNA	1806	0	33.300	0.000
Bacteria_NZ_AP023239_808_length_1719_cov_3.319712||full	0.520	0.920	0.920	ssDNA	1638	0	50.000	0.000
Bacteria_NZ_AP023239_817_length_1700_cov_2.649848||full	0.733	0.987	0.987	ssDNA	1697	0	66.700	0.000
Bacteria_NZ_AP023239_868_length_1434_cov_1.933285||full	0.880	0.987	0.987	ssDNA	1295	0	100.000	0.000
Bacteria_NZ_AP023239_875_length_1395_cov_4.045522||full	0.680	0.993	0.993	ssDNA	1282	0	50.000	0.000
Bacteria_NZ_AP023440_5_length_368998_cov_8.032477||0_partial	0.887	0.007	0.887	dsDNAphage	11495	1	10.000	5.000
Bacteria_NZ_AP023440_19_length_173591_cov_7.945498||0_partial	0.853	0.000	0.853	dsDNAphage	31342	4	31.800	18.200
Bacteria_NZ_AP023440_28_length_116148_cov_8.223442||0_partial	0.953	0.000	0.953	dsDNAphage	23305	1	13.500	13.500
Bacteria_NZ_AP023440_84_length_3095_cov_7.129934||full	0.633	0.107	0.633	dsDNAphage	2945	0	33.300	0.000
Bacteria_NZ_CP030048_11_length_4798_cov_1.993464||full	0.667	0.340	0.667	dsDNAphage	4798	0	16.700	0.000
Bacteria_NZ_CP030048_85_length_3208_cov_2.478592||full	0.700	0.193	0.700	dsDNAphage	2775	0	75.000	0.000
Bacteria_NZ_CP030048_134_length_2903_cov_2.136236||full	0.633	0.800	0.800	ssDNA	2901	0	66.700	0.000
Bacteria_NZ_CP030048_191_length_2623_cov_1.891745||full	0.727	0.873	0.873	ssDNA	2159	0	50.000	0.000
Bacteria_NZ_CP030048_215_length_2538_cov_1.961740||full	1.000	0.720	1.000	dsDNAphage	2536	1	40.000	0.000
Bacteria_NZ_CP030048_222_length_2506_cov_2.078335||full	0.727	0.307	0.727	dsDNAphage	2301	0	100.000	0.000
Bacteria_NZ_CP030048_274_length_2357_cov_1.805821||full	0.640	0.807	0.807	ssDNA	2354	0	66.700	0.000
Bacteria_NZ_CP030048_286_length_2316_cov_2.243697||full	0.707	0.073	0.707	dsDNAphage	2299	0	50.000	0.000
Bacteria_NZ_CP030048_311_length_2239_cov_2.121337||full	0.507	0.200	0.507	dsDNAphage	2143	0	66.700	0.000
Bacteria_NZ_CP030048_334_length_2204_cov_2.327594||full	0.447	0.827	0.827	ssDNA	1976	0	50.000	0.000
Bacteria_NZ_CP030048_340_length_2188_cov_1.979841||full	0.560	0.733	0.733	ssDNA	2127	0	25.000	0.000
Bacteria_NZ_CP030048_351_length_2162_cov_1.571903||full	0.520	0.540	0.540	ssDNA	2160	0	66.700	0.000
Bacteria_NZ_CP030048_380_length_2103_cov_2.296875||full	0.720	0.480	0.720	dsDNAphage	1956	0	25.000	0.000
Bacteria_NZ_CP030048_420_length_2007_cov_1.970287||full	0.813	0.573	0.813	dsDNAphage	1874	0	100.000	0.000
Bacteria_NZ_CP030048_435_length_1979_cov_2.419958||full	0.907	0.840	0.907	dsDNAphage	1927	0	100.000	0.000
Bacteria_NZ_CP030048_448_length_1956_cov_1.237244||full	0.373	0.873	0.873	ssDNA	1861	0	33.300	0.000
Bacteria_NZ_CP030048_482_length_1901_cov_3.043879||full	0.600	0.287	0.600	dsDNAphage	1838	0	100.000	0.000
Bacteria_NZ_CP030048_520_length_1838_cov_1.786876||full	0.380	0.887	0.887	ssDNA	1837	0	33.300	0.000
Bacteria_NZ_CP030048_523_length_1836_cov_1.783268||full	0.547	0.513	0.547	dsDNAphage	1834	0	33.300	0.000
Bacteria_NZ_CP030048_534_length_1821_cov_2.672707||full	0.227	0.873	0.873	ssDNA	1818	0	33.300	0.000
Bacteria_NZ_CP030048_574_length_1766_cov_1.804793||full	0.520	0.427	0.520	dsDNAphage	1763	0	33.300	0.000
Bacteria_NZ_CP030048_576_length_1762_cov_2.663152||full	0.680	0.340	0.680	dsDNAphage	1649	0	25.000	0.000
