ID,Predicted_Label,Contig_Length,True_Label
Bacteria_NZ_AP023239_1_length_268183_cov_8.757608,negative,268183,Bacteria
Bacteria_NZ_AP023239_2_length_224135_cov_8.911665,negative,224135,Bacteria
Bacteria_NZ_AP023239_3_length_217682_cov_8.898023,negative,217682,Bacteria
Bacteria_NZ_AP023239_4_length_213187_cov_8.909178,negative,213187,Bacteria
Bacteria_NZ_AP023239_5_length_175934_cov_8.898948,negative,175934,Bacteria
Bacteria_NZ_AP023239_6_length_159558_cov_8.686495,negative,159558,Bacteria
Bacteria_NZ_AP023239_7_length_156901_cov_8.760370,negative,156901,Bacteria
Bacteria_NZ_AP023239_8_length_145242_cov_8.929091,negative,145242,Bacteria
Bacteria_NZ_AP023239_9_length_145127_cov_8.455519,phage,145127,Bacteria
Bacteria_NZ_AP023239_10_length_144841_cov_8.979176,negative,144841,Bacteria
Bacteria_NZ_AP023239_11_length_140226_cov_8.679484,negative,140226,Bacteria
Bacteria_NZ_AP023239_12_length_136330_cov_8.661486,negative,136330,Bacteria
Bacteria_NZ_AP023239_13_length_117071_cov_8.330100,negative,117071,Bacteria
Bacteria_NZ_AP023239_14_length_112819_cov_9.062023,negative,112819,Bacteria
Bacteria_NZ_AP023239_15_length_101886_cov_8.537744,negative,101886,Bacteria
Bacteria_NZ_AP023239_16_length_98834_cov_8.356715,negative,98834,Bacteria
Bacteria_NZ_AP023239_17_length_96974_cov_9.019852,negative,96974,Bacteria
Bacteria_NZ_AP023239_18_length_95565_cov_8.825453,negative,95565,Bacteria
Bacteria_NZ_AP023239_19_length_95357_cov_8.490535,negative,95357,Bacteria
Bacteria_NZ_AP023239_20_length_92362_cov_8.343831,negative,92362,Bacteria
Bacteria_NZ_AP023239_21_length_84264_cov_8.822050,negative,84264,Bacteria
Bacteria_NZ_AP023239_22_length_83842_cov_8.459797,negative,83842,Bacteria
Bacteria_NZ_AP023239_23_length_80914_cov_8.607836,negative,80914,Bacteria
Bacteria_NZ_AP023239_24_length_77629_cov_9.148658,negative,77629,Bacteria
Bacteria_NZ_AP023239_25_length_76862_cov_8.590024,negative,76862,Bacteria
