ID,Predicted_Label,Contig_Length,True_Label
Bacteria_NZ_CP040586_1_length_465275_cov_36.384328,negative,465275,Bacteria
Bacteria_NZ_CP040586_2_length_291891_cov_36.542359,negative,291891,Bacteria
Bacteria_NZ_CP040586_3_length_198283_cov_37.644460,negative,198283,Bacteria
Bacteria_NZ_CP040586_4_length_141630_cov_35.751001,negative,141630,Bacteria
Bacteria_NZ_CP040586_5_length_132244_cov_36.557527,negative,132244,Bacteria
Bacteria_NZ_CP040586_6_length_130864_cov_36.011689,negative,130864,Bacteria
Bacteria_NZ_CP040586_7_length_121043_cov_36.374492,negative,121043,Bacteria
Bacteria_NZ_CP040586_8_length_118152_cov_37.350729,negative,118152,Bacteria
Bacteria_NZ_CP040586_9_length_116990_cov_36.587189,negative,116990,Bacteria
Bacteria_NZ_CP040586_10_length_115947_cov_35.861992,negative,115947,Bacteria
Bacteria_NZ_CP040586_11_length_96810_cov_36.697132,negative,96810,Bacteria
Bacteria_NZ_CP040586_12_length_85688_cov_35.804947,negative,85688,Bacteria
Bacteria_NZ_CP040586_13_length_78315_cov_36.687260,negative,78315,Bacteria
Bacteria_NZ_CP040586_14_length_75172_cov_35.936459,negative,75172,Bacteria
Bacteria_NZ_CP040586_15_length_71941_cov_36.268369,negative,71941,Bacteria
Bacteria_NZ_CP040586_16_length_69644_cov_35.653796,negative,69644,Bacteria
Bacteria_NZ_CP040586_17_length_62437_cov_36.743596,negative,62437,Bacteria
Bacteria_NZ_CP040586_18_length_60655_cov_35.451617,negative,60655,Bacteria
Bacteria_NZ_CP040586_19_length_60639_cov_39.999538,negative,60639,Bacteria
Bacteria_NZ_CP040586_20_length_54453_cov_36.809846,negative,54453,Bacteria
Bacteria_NZ_CP040586_21_length_37846_cov_36.175174,negative,37846,Bacteria
Bacteria_NZ_CP040586_22_length_33706_cov_36.007043,negative,33706,Bacteria
Bacteria_NZ_CP040586_23_length_26667_cov_37.753344,negative,26667,Bacteria
Bacteria_NZ_CP040586_24_length_19990_cov_36.666617,negative,19990,Bacteria
Bacteria_NZ_CP040586_25_length_18737_cov_34.638368,negative,18737,Bacteria
Bacteria_NZ_CP040586_26_length_14995_cov_38.866198,phage,14995,Bacteria
Bacteria_NZ_CP040586_27_length_8573_cov_36.351961,negative,8573,Bacteria
Bacteria_NZ_CP040586_28_length_3246_cov_146.459730,negative,3246,Bacteria
Bacteria_NZ_CP040586_29_length_1734_cov_141.625372,negative,1734,Bacteria
Bacteria_NZ_CP040586_30_length_1726_cov_216.025135,negative,1726,Bacteria
Bacteria_NZ_CP040586_31_length_1689_cov_35.627907,negative,1689,Bacteria
Bacteria_NZ_CP040586_32_length_1686_cov_105.824647,negative,1686,Bacteria
Bacteria_NZ_CP040586_33_length_1497_cov_107.493065,negative,1497,Bacteria
Bacteria_NZ_CP045702_1_length_391092_cov_36.484356,negative,391092,Bacteria
Bacteria_NZ_CP045702_2_length_375435_cov_39.353932,negative,375435,Bacteria
Bacteria_NZ_CP045702_3_length_365742_cov_36.691602,negative,365742,Bacteria
Bacteria_NZ_CP045702_4_length_341330_cov_37.476170,negative,341330,Bacteria
Bacteria_NZ_CP045702_5_length_336720_cov_36.764003,negative,336720,Bacteria
Bacteria_NZ_CP045702_6_length_315405_cov_38.473312,negative,315405,Bacteria
Bacteria_NZ_CP045702_7_length_262086_cov_36.658537,negative,262086,Bacteria
Bacteria_NZ_CP045702_8_length_249074_cov_38.341147,negative,249074,Bacteria
Bacteria_NZ_CP045702_9_length_212073_cov_36.300993,negative,212073,Bacteria
Bacteria_NZ_CP045702_10_length_210225_cov_37.174216,negative,210225,Bacteria
Bacteria_NZ_CP045702_11_length_206969_cov_37.917623,negative,206969,Bacteria
Bacteria_NZ_CP045702_12_length_204339_cov_41.083815,negative,204339,Bacteria
Bacteria_NZ_CP045702_13_length_203020_cov_37.004104,negative,203020,Bacteria
Bacteria_NZ_CP045702_14_length_198867_cov_36.467442,negative,198867,Bacteria
Bacteria_NZ_CP045702_15_length_188179_cov_37.783802,negative,188179,Bacteria
Bacteria_NZ_CP045702_16_length_187135_cov_36.328651,negative,187135,Bacteria
Bacteria_NZ_CP045702_17_length_182676_cov_40.276989,negative,182676,Bacteria
Bacteria_NZ_CP045702_18_length_158583_cov_38.471664,negative,158583,Bacteria
Bacteria_NZ_CP045702_19_length_145915_cov_35.331558,negative,145915,Bacteria
Bacteria_NZ_CP045702_20_length_139522_cov_35.548581,negative,139522,Bacteria
Prophage_NZ_CP045702_21_length_138241_cov_36.770881,phage,138241,Prophage
Bacteria_NZ_CP045702_22_length_134310_cov_39.184693,negative,134310,Bacteria
Bacteria_NZ_CP045702_23_length_123489_cov_37.206548,negative,123489,Bacteria
Bacteria_NZ_CP045702_24_length_122012_cov_35.351780,phage,122012,Bacteria
Bacteria_NZ_CP045702_25_length_116824_cov_36.274910,negative,116824,Bacteria
