"","name","length","score","pvalue"
"1","Bacteria_NZ_CP040586_1_length_446831_cov_244.036551",446831,0.272652797416186,0.17741935483871
"2","Bacteria_NZ_CP040586_2_length_291891_cov_243.981880",291891,0.298561437925527,0.162624302692214
"3","Bacteria_NZ_CP040586_3_length_182205_cov_243.335355",182205,0.184605210595313,0.236478292505457
"4","Bacteria_NZ_CP040586_4_length_141630_cov_241.637365",141630,0.335858009739408,0.145525103080281
"5","Bacteria_NZ_CP040586_5_length_132244_cov_243.160702",132244,0.407413823005889,0.117390249818094
"6","Bacteria_NZ_CP040586_6_length_131399_cov_242.628814",131399,0.175949501399888,0.244360902255639
"7","Bacteria_NZ_CP040586_7_length_121043_cov_244.561204",121043,0.303789991858109,0.159228716953675
"8","Bacteria_NZ_CP040586_8_length_118152_cov_243.316833",118152,0.384507160495537,0.125394130487509
"9","Bacteria_NZ_CP040586_9_length_116990_cov_244.106563",116990,0.227213276822587,0.202643706039292
"10","Bacteria_NZ_CP040586_10_length_115947_cov_242.999560",115947,0.303945940352592,0.159228716953675
"11","Bacteria_NZ_CP040586_11_length_96848_cov_244.526774",96848,0.152395029532647,0.266432209556148
"12","Bacteria_NZ_CP040586_12_length_85650_cov_242.795747",85650,0.269309282079713,0.178874605869512
"13","Bacteria_NZ_CP040586_13_length_78315_cov_242.718732",78315,0.317863894451871,0.154135338345865
"14","Bacteria_NZ_CP040586_14_length_75045_cov_243.445153",75045,0.120601224838429,0.304026194518554
"15","Bacteria_NZ_CP040586_15_length_71941_cov_242.668948",71941,0.162127521500627,0.258428328886733
"16","Bacteria_NZ_CP040586_16_length_69646_cov_241.275452",69646,0.274086002207367,0.176934271161775
"17","Bacteria_NZ_CP040586_17_length_62437_cov_244.234571",62437,0.123288165897866,0.300630608780015
"18","Bacteria_NZ_CP040586_18_length_60655_cov_239.226403",60655,0.29821833384957,0.162624302692214
"19","Bacteria_NZ_CP040586_19_length_60639_cov_267.967978",60639,0.261736939025154,0.182755275284987
"20","Bacteria_NZ_CP040586_20_length_54453_cov_243.082889",54453,0.384661038548952,0.125272859568276
"21","Bacteria_NZ_CP040586_21_length_37846_cov_242.568786",37846,0.469301111108049,0.0964103807906864
"22","Bacteria_NZ_CP040586_22_length_33706_cov_242.744376",33706,0.267032238766181,0.180329856900315
"23","Bacteria_NZ_CP040586_23_length_26667_cov_245.103600",26667,0.386865991263906,0.125151588649042
"24","Bacteria_NZ_CP040586_24_length_19990_cov_242.662603",19990,0.368551368377272,0.130608780014553
"25","Bacteria_NZ_CP040586_25_length_18737_cov_242.273044",18737,0.219508636664225,0.207858355566335
"26","Bacteria_NZ_CP040586_26_length_18092_cov_249.174142",18092,0.477421795892379,0.0941062333252486
"27","Bacteria_NZ_CP040586_27_length_14600_cov_239.680028",14600,0.393094362284717,0.123089983022071
"28","Bacteria_NZ_CP040586_28_length_14110_cov_255.875987",14110,0.331826484338385,0.146980354111084
"29","Bacteria_NZ_CP040586_29_length_8573_cov_241.973116",8573,0.133294240151821,0.286684453068154
"30","Bacteria_NZ_CP040586_30_length_3246_cov_967.944845",3246,0.00672770596866573,0.780014552510308
"31","Bacteria_NZ_CP040586_31_length_1734_cov_967.147707",1734,0.1841616388288,0.401642284848726
"32","Bacteria_NZ_CP040586_32_length_1732_cov_253.028026",1732,0.461140569507881,0.174353250687607
"33","Bacteria_NZ_CP040586_33_length_1726_cov_1434.563734",1726,0.902176116497975,0.01626340335632
"34","Bacteria_NZ_CP040586_34_length_1686_cov_702.799510",1686,0.878205639024086,0.0221230119185235
"35","Bacteria_NZ_CP040586_35_length_1642_cov_1354.429112",1642,0.844275192500764,0.0316099972097102
"36","Bacteria_NZ_CP040586_36_length_1549_cov_964.349398",1549,0.373593257510445,0.224179854107705
