seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
Phage_NC_047747_1_length_40338_cov_1325.342676||full	1.000	0.187	1.000	dsDNAphage	40283	15	87.800	0.000
Phage_NC_048706_1_length_45935_cov_1312.615606||full	0.993	0.007	0.993	dsDNAphage	45880	2	36.900	3.100
Phage_NC_049456_1_length_75471_cov_108.633022||full	1.000	0.147	1.000	dsDNAphage	75392	5	57.900	0.000
Bacteria_NZ_CP030047_3_length_1471167_cov_60.955068||0_partial	0.713	0.000	0.713	dsDNAphage	12305	1	17.400	39.100
Bacteria_NZ_CP030047_4_length_843779_cov_58.976849||0_partial	0.960	0.007	0.960	dsDNAphage	27017	2	23.100	7.700
Bacteria_NZ_CP040094_9_length_126963_cov_9.335314||0_partial	0.687	0.000	0.687	dsDNAphage	24938	1	17.600	5.900
Bacteria_NZ_CP040094_14_length_101576_cov_9.247988||0_partial	0.713	0.000	0.713	dsDNAphage	15654	1	18.200	27.300
Bacteria_NZ_CP040094_19_length_88327_cov_9.362403||full	0.887	0.000	0.887	dsDNAphage	80775	2	20.600	9.800
Bacteria_NZ_CP040094_20_length_87170_cov_9.520852||0_partial	0.967	0.000	0.967	dsDNAphage	19453	1	14.800	3.700
Bacteria_NZ_CP040094_31_length_73966_cov_8.804075||full	0.800	0.000	0.800	dsDNAphage	70860	5	18.600	10.500
Bacteria_NZ_CP040094_204_length_2375_cov_12.421552||full	0.647	0.820	0.820	ssDNA	2367	0	33.300	0.000
Bacteria_NZ_CP040094_212_length_1546_cov_19.105969||full	0.947	1.000	1.000	ssDNA	1522	0	66.700	0.000
Prophage_NZ_CP041372_5_length_213768_cov_161.769700||full	0.727	0.000	0.727	dsDNAphage	213528	13	20.500	27.800
Bacteria_NZ_CP041372_28_length_47196_cov_162.275514||full	0.987	0.000	0.987	dsDNAphage	46368	10	51.400	4.200
Bacteria_NZ_CP041372_30_length_31635_cov_324.197150||full	1.000	0.033	1.000	dsDNAphage	31536	12	57.700	3.800
Bacteria_NZ_CP041372_47_length_3863_cov_321.061975||full	0.993	0.067	0.993	dsDNAphage	3609	1	28.600	0.000
Bacteria_NZ_CP041372_51_length_1398_cov_486.291139||full	0.873	0.933	0.933	ssDNA	1216	0	66.700	0.000
Bacteria_NZ_CP048810_9_length_108971_cov_6.226578||full	0.887	0.000	0.887	dsDNAphage	106837	12	31.000	30.100
Bacteria_NZ_CP048810_17_length_90651_cov_6.395382||0_partial	0.953	0.007	0.953	dsDNAphage	23283	13	42.500	25.000
Bacteria_NZ_CP048810_166_length_1931_cov_25.078358||full	0.553	0.873	0.873	ssDNA	1859	0	50.000	0.000
Bacteria_NZ_CP053109_21_length_123418_cov_6.835469||0_partial	0.967	0.040	0.967	dsDNAphage	28591	5	34.100	2.400
Bacteria_NZ_CP053109_39_length_79608_cov_7.461152||full	0.927	0.000	0.927	dsDNAphage	71291	7	25.700	12.400
