ID,Confidence,Predicted,True_Label,Contig_Length
VIRSorter_Bacteria_NZ_AP021972_161_length_2685_cov_2_021293,1,Viruses,Bacteria,2685
VIRSorter_Bacteria_NZ_AP021972_16_length_5297_cov_2_633918,1,Viruses,Bacteria,5297
VIRSorter_Bacteria_NZ_AP021972_39_length_4056_cov_3_172207,1,Viruses,Bacteria,4056
VIRSorter_Bacteria_NZ_AP021972_603_length_1618_cov_2_324376,1,Viruses,Bacteria,1618
VIRSorter_Bacteria_NZ_AP021972_67_length_3510_cov_2_284515,1,Viruses,Bacteria,3510
VIRSorter_Bacteria_NZ_AP022195_206_length_4600_cov_2_669967,1,Viruses,Bacteria,4600
VIRSorter_Bacteria_NZ_AP022195_433_length_3184_cov_3_038990,1,Viruses,Bacteria,3184
VIRSorter_Bacteria_NZ_AP022195_468_length_2970_cov_2_891595,1,Viruses,Bacteria,2970
VIRSorter_Bacteria_NZ_AP022195_559_length_2614_cov_2_227433,1,Viruses,Bacteria,2614
VIRSorter_Bacteria_NZ_AP022195_793_length_1907_cov_2_285097,1,Viruses,Bacteria,1907
VIRSorter_Bacteria_NZ_AP022201_117_length_7085_cov_3_685491,1,Viruses,Bacteria,7085
VIRSorter_Bacteria_NZ_AP022201_189_length_5590_cov_3_062873,1,Viruses,Bacteria,5590
VIRSorter_Bacteria_NZ_AP022201_332_length_4220_cov_3_378151,1,Viruses,Bacteria,4220
VIRSorter_Bacteria_NZ_AP022201_723_length_2228_cov_3_838932,1,Viruses,Bacteria,2228
VIRSorter_Bacteria_NZ_AP022201_769_length_2057_cov_2_571928,1,Viruses,Bacteria,2057
VIRSorter_Bacteria_NZ_AP022201_852_length_1785_cov_1_932370,1,Viruses,Bacteria,1785
VIRSorter_Bacteria_NZ_AP022256_97_length_3621_cov_2_168536,1,Viruses,Bacteria,3621
VIRSorter_Bacteria_NZ_CP016180_362_length_2056_cov_3_019990,1,Viruses,Bacteria,2056
VIRSorter_Bacteria_NZ_CP040586_158_length_4004_cov_3_679919,1,Viruses,Bacteria,4004
