"","name","length","score","pvalue"
"1","Bacteria_NZ_AP023239_1_length_301536_cov_10.753729",301536,0.0209726407731579,0.606839679844773
"2","Bacteria_NZ_AP023239_2_length_275099_cov_10.026530",275099,0.0166623785569424,0.647586708707252
"3","Bacteria_NZ_AP023239_3_length_268959_cov_10.146205",268959,0.0123241132824538,0.693790928935241
"4","Bacteria_NZ_AP023239_4_length_238762_cov_9.841793",238762,0.0157938256568939,0.654741692942033
"5","Bacteria_NZ_AP023239_5_length_190046_cov_9.931118",190046,0.0251838561440637,0.574824157167111
"6","Bacteria_NZ_AP023239_6_length_175935_cov_10.151728",175935,0.0180681186215049,0.633519282076158
"7","Bacteria_NZ_AP023239_7_length_154121_cov_10.425649",154121,0.0132583720474036,0.681906378850352
"8","Bacteria_NZ_AP023239_8_length_146804_cov_10.062297",146804,0.0157942676199874,0.654741692942033
"9","Bacteria_NZ_AP023239_9_length_145242_cov_10.170773",145242,0.0349995538130635,0.516614115934999
"10","Bacteria_NZ_AP023239_10_length_145126_cov_9.796079",145126,0.0556811748112722,0.43439243269464
"11","Bacteria_NZ_AP023239_11_length_140226_cov_9.852402",140226,0.0248568727402614,0.576158137278681
"12","Bacteria_NZ_AP023239_12_length_139823_cov_11.276973",139823,0.0337748411892471,0.522920203735144
"13","Bacteria_NZ_AP023239_13_length_136329_cov_10.064488",136329,0.0153609109705584,0.660320155226777
"14","Bacteria_NZ_AP023239_14_length_130902_cov_10.120706",130902,0.0140286084173153,0.674145040019403
"15","Bacteria_NZ_AP023239_15_length_117070_cov_9.469154",117070,0.0446194849816515,0.471622604899345
"16","Bacteria_NZ_AP023239_16_length_114964_cov_10.276393",114964,0.0182082342199712,0.632306572883822
"17","Bacteria_NZ_AP023239_17_length_112819_cov_10.310356",112819,0.0209541619970162,0.606839679844773
"18","Bacteria_NZ_AP023239_18_length_101886_cov_9.883326",101886,0.0120551622148419,0.697186514673781
"19","Bacteria_NZ_AP023239_19_length_98834_cov_9.595380",98834,0.0127223915520805,0.689425175842833
"20","Bacteria_NZ_AP023239_20_length_95816_cov_9.672988",95816,0.0295617248719623,0.54656803298569
"21","Bacteria_NZ_AP023239_21_length_92362_cov_9.583098",92362,0.0179252043626814,0.635217074945428
"22","Bacteria_NZ_AP023239_22_length_84599_cov_10.240396",84599,0.0222397448960129,0.59822944457919
"23","Bacteria_NZ_AP023239_23_length_83818_cov_9.811946",83818,0.0271786510575726,0.56354596167839
"24","Bacteria_NZ_AP023239_24_length_80684_cov_9.851121",80684,0.0857678695902714,0.362478777589134
"25","Bacteria_NZ_AP023239_25_length_77580_cov_10.463837",77580,0.0185324061861096,0.629638612660684
"26","Bacteria_NZ_AP023239_26_length_76862_cov_9.813754",76862,0.0251045022010077,0.575066699005578
"27","Bacteria_NZ_AP023239_27_length_75055_cov_10.615467",75055,0.0118022656558065,0.700097016735387
"28","Bacteria_NZ_AP023239_28_length_74565_cov_9.742155",74565,0.0287303354644668,0.552510308028135
"29","Bacteria_NZ_AP023239_29_length_70825_cov_10.141430",70825,0.0739557671457764,0.387581857870483
"30","Bacteria_NZ_AP023239_30_length_70676_cov_10.114456",70676,0.00807702474452873,0.756002910502062
"31","Bacteria_NZ_AP023239_31_length_65454_cov_10.059160",65454,0.033026639237781,0.526800873150619
"32","Bacteria_NZ_AP023239_32_length_65452_cov_10.074117",65452,0.0452850711691464,0.469560999272374
"33","Bacteria_NZ_AP023239_33_length_63976_cov_10.390185",63976,0.0245020238813263,0.578826097501819
"34","Bacteria_NZ_AP023239_34_length_62309_cov_9.320799",62309,0.00858803665258578,0.74812030075188
"35","Bacteria_NZ_AP023239_35_length_60561_cov_9.338016",60561,0.025975531360578,0.571064758670871
"36","Bacteria_NZ_AP023239_36_length_58080_cov_10.322688",58080,0.00580173094973348,0.798932815910745
"37","Bacteria_NZ_AP023239_37_length_55892_cov_9.441553",55892,0.0201679615250963,0.613994664079554
"38","Bacteria_NZ_AP023239_38_length_55278_cov_9.994912",55278,0.157272920831439,0.262187727382974
"39","Bacteria_NZ_AP023239_39_length_54466_cov_10.129441",54466,0.0262792886414056,0.569366965801601
