ID,Predicted_Label,Contig_Length,True_Label
Bacteria_NZ_AP023239_1_length_37974_cov_3.963712,negative,37974,Bacteria
Bacteria_NZ_AP023239_2_length_31711_cov_4.082575,negative,31711,Bacteria
Bacteria_NZ_AP023239_3_length_26583_cov_3.729343,negative,26583,Bacteria
Bacteria_NZ_AP023239_4_length_25688_cov_4.246986,negative,25688,Bacteria
Bacteria_NZ_AP023239_5_length_24700_cov_4.347616,negative,24700,Bacteria
Bacteria_NZ_AP023239_6_length_24679_cov_3.923774,negative,24679,Bacteria
Bacteria_NZ_AP023239_7_length_22726_cov_3.970711,negative,22726,Bacteria
Bacteria_NZ_AP023239_8_length_22537_cov_3.885775,negative,22537,Bacteria
Bacteria_NZ_AP023239_9_length_22191_cov_5.540567,negative,22191,Bacteria
Bacteria_NZ_AP023239_10_length_21844_cov_4.320253,negative,21844,Bacteria
Bacteria_NZ_AP023239_11_length_21480_cov_5.185671,negative,21480,Bacteria
Bacteria_NZ_AP023239_12_length_21325_cov_3.837424,negative,21325,Bacteria
Bacteria_NZ_AP023239_13_length_20733_cov_3.949512,negative,20733,Bacteria
Bacteria_NZ_AP023239_14_length_20555_cov_4.250341,negative,20555,Bacteria
Bacteria_NZ_AP023239_15_length_20483_cov_3.955698,negative,20483,Bacteria
Bacteria_NZ_AP023239_16_length_20461_cov_3.596099,negative,20461,Bacteria
Bacteria_NZ_AP023239_17_length_19694_cov_3.824431,negative,19694,Bacteria
Bacteria_NZ_AP023239_18_length_19359_cov_3.803978,negative,19359,Bacteria
Bacteria_NZ_AP023239_19_length_18904_cov_4.167807,negative,18904,Bacteria
Bacteria_NZ_AP023239_20_length_18757_cov_4.055021,negative,18757,Bacteria
Bacteria_NZ_AP023239_21_length_18705_cov_3.801609,negative,18705,Bacteria
Bacteria_NZ_AP023239_22_length_18429_cov_3.486013,negative,18429,Bacteria
Bacteria_NZ_AP023239_23_length_18281_cov_5.436629,negative,18281,Bacteria
Bacteria_NZ_AP023239_24_length_18179_cov_3.999503,negative,18179,Bacteria
Bacteria_NZ_AP023239_25_length_17974_cov_3.515263,negative,17974,Bacteria
Bacteria_NZ_AP023239_26_length_17915_cov_4.142945,phage,17915,Bacteria
Bacteria_NZ_AP023239_27_length_17818_cov_4.123797,negative,17818,Bacteria
Bacteria_NZ_AP023239_28_length_17736_cov_4.375205,negative,17736,Bacteria
