ID,Predicted_Label,Contig_Length,True_Label
Bacteria_NZ_CP040586_1_length_446831_cov_244.036551,negative,446831,Bacteria
Bacteria_NZ_CP040586_2_length_291891_cov_243.981880,negative,291891,Bacteria
Bacteria_NZ_CP040586_3_length_182205_cov_243.335355,negative,182205,Bacteria
Bacteria_NZ_CP040586_4_length_141630_cov_241.637365,negative,141630,Bacteria
Bacteria_NZ_CP040586_5_length_132244_cov_243.160702,negative,132244,Bacteria
Bacteria_NZ_CP040586_6_length_131399_cov_242.628814,negative,131399,Bacteria
Bacteria_NZ_CP040586_7_length_121043_cov_244.561204,negative,121043,Bacteria
Bacteria_NZ_CP040586_8_length_118152_cov_243.316833,negative,118152,Bacteria
Bacteria_NZ_CP040586_9_length_116990_cov_244.106563,negative,116990,Bacteria
Bacteria_NZ_CP040586_10_length_115947_cov_242.999560,negative,115947,Bacteria
Bacteria_NZ_CP040586_11_length_96848_cov_244.526774,negative,96848,Bacteria
Bacteria_NZ_CP040586_12_length_85650_cov_242.795747,negative,85650,Bacteria
Bacteria_NZ_CP040586_13_length_78315_cov_242.718732,negative,78315,Bacteria
Bacteria_NZ_CP040586_14_length_75045_cov_243.445153,negative,75045,Bacteria
Bacteria_NZ_CP040586_15_length_71941_cov_242.668948,negative,71941,Bacteria
Bacteria_NZ_CP040586_16_length_69646_cov_241.275452,negative,69646,Bacteria
Bacteria_NZ_CP040586_17_length_62437_cov_244.234571,negative,62437,Bacteria
Bacteria_NZ_CP040586_18_length_60655_cov_239.226403,negative,60655,Bacteria
Bacteria_NZ_CP040586_19_length_60639_cov_267.967978,negative,60639,Bacteria
Bacteria_NZ_CP040586_20_length_54453_cov_243.082889,negative,54453,Bacteria
Bacteria_NZ_CP040586_21_length_37846_cov_242.568786,negative,37846,Bacteria
Bacteria_NZ_CP040586_22_length_33706_cov_242.744376,negative,33706,Bacteria
Bacteria_NZ_CP040586_23_length_26667_cov_245.103600,negative,26667,Bacteria
Bacteria_NZ_CP040586_24_length_19990_cov_242.662603,negative,19990,Bacteria
Bacteria_NZ_CP040586_25_length_18737_cov_242.273044,negative,18737,Bacteria
Bacteria_NZ_CP040586_26_length_18092_cov_249.174142,negative,18092,Bacteria
Bacteria_NZ_CP040586_27_length_14600_cov_239.680028,phage,14600,Bacteria
Bacteria_NZ_CP040586_28_length_14110_cov_255.875987,phage,14110,Bacteria
Bacteria_NZ_CP040586_29_length_8573_cov_241.973116,negative,8573,Bacteria
Bacteria_NZ_CP040586_30_length_3246_cov_967.944845,negative,3246,Bacteria
Bacteria_NZ_CP040586_31_length_1734_cov_967.147707,negative,1734,Bacteria
Bacteria_NZ_CP040586_32_length_1732_cov_253.028026,negative,1732,Bacteria
Bacteria_NZ_CP040586_33_length_1726_cov_1434.563734,negative,1726,Bacteria
Bacteria_NZ_CP040586_34_length_1686_cov_702.799510,negative,1686,Bacteria
Bacteria_NZ_CP040586_35_length_1642_cov_1354.429112,phage,1642,Bacteria
Bacteria_NZ_CP040586_36_length_1549_cov_964.349398,negative,1549,Bacteria
Bacteria_NZ_CP040586_37_length_1497_cov_723.298197,negative,1497,Bacteria
Bacteria_NZ_CP045702_1_length_375435_cov_15.634163,negative,375435,Bacteria
Bacteria_NZ_CP045702_2_length_365742_cov_14.458411,negative,365742,Bacteria
Bacteria_NZ_CP045702_3_length_336612_cov_14.438681,negative,336612,Bacteria
Bacteria_NZ_CP045702_4_length_315405_cov_14.947037,negative,315405,Bacteria
Bacteria_NZ_CP045702_5_length_283721_cov_14.220587,negative,283721,Bacteria
Bacteria_NZ_CP045702_6_length_262086_cov_14.499017,negative,262086,Bacteria
Bacteria_NZ_CP045702_7_length_249074_cov_15.333428,negative,249074,Bacteria
Bacteria_NZ_CP045702_8_length_212075_cov_14.091609,negative,212075,Bacteria
Bacteria_NZ_CP045702_9_length_210225_cov_14.671899,negative,210225,Bacteria
Bacteria_NZ_CP045702_10_length_209979_cov_14.584097,negative,209979,Bacteria
Bacteria_NZ_CP045702_11_length_206968_cov_14.977010,negative,206968,Bacteria
Bacteria_NZ_CP045702_12_length_204339_cov_16.406610,negative,204339,Bacteria
Bacteria_NZ_CP045702_13_length_198867_cov_14.604340,negative,198867,Bacteria
Bacteria_NZ_CP045702_14_length_188180_cov_14.711527,negative,188180,Bacteria
Bacteria_NZ_CP045702_15_length_179135_cov_14.158527,negative,179135,Bacteria
Bacteria_NZ_CP045702_16_length_158583_cov_14.997811,negative,158583,Bacteria
Bacteria_NZ_CP045702_17_length_145895_cov_14.932069,negative,145895,Bacteria
Bacteria_NZ_CP045702_18_length_145808_cov_13.793527,negative,145808,Bacteria
Bacteria_NZ_CP045702_19_length_139522_cov_13.786767,negative,139522,Bacteria
Prophage_NZ_CP045702_20_length_138241_cov_14.496881,phage,138241,Prophage
Bacteria_NZ_CP045702_21_length_134310_cov_15.586332,negative,134310,Bacteria
Bacteria_NZ_CP045702_22_length_132277_cov_14.047171,negative,132277,Bacteria
Bacteria_NZ_CP045702_23_length_123489_cov_14.574890,negative,123489,Bacteria
Bacteria_NZ_CP045702_24_length_122012_cov_14.022754,phage,122012,Bacteria
Bacteria_NZ_CP045702_25_length_116824_cov_14.379664,negative,116824,Bacteria
Bacteria_NZ_CP045702_26_length_105509_cov_14.267614,negative,105509,Bacteria
Bacteria_NZ_CP045702_27_length_104508_cov_14.738954,negative,104508,Bacteria
Bacteria_NZ_CP045702_28_length_98329_cov_15.333679,negative,98329,Bacteria
Bacteria_NZ_CP045702_29_length_85665_cov_14.851700,phage,85665,Bacteria
Bacteria_NZ_CP045702_30_length_80786_cov_14.176425,negative,80786,Bacteria
Bacteria_NZ_CP045702_31_length_76752_cov_16.246190,negative,76752,Bacteria
Bacteria_NZ_CP045702_32_length_75314_cov_15.841826,negative,75314,Bacteria
Bacteria_NZ_CP045702_33_length_57861_cov_14.063090,negative,57861,Bacteria
Bacteria_NZ_CP045702_34_length_56382_cov_14.240844,negative,56382,Bacteria
Bacteria_NZ_CP045702_35_length_55458_cov_14.008195,negative,55458,Bacteria
Bacteria_NZ_CP045702_36_length_54401_cov_16.037206,negative,54401,Bacteria
Bacteria_NZ_CP045702_37_length_53577_cov_13.488098,negative,53577,Bacteria
Bacteria_NZ_CP045702_38_length_53335_cov_14.881269,negative,53335,Bacteria
Bacteria_NZ_CP045702_39_length_53215_cov_14.511682,negative,53215,Bacteria
Bacteria_NZ_CP045702_40_length_52891_cov_14.190514,negative,52891,Bacteria
Bacteria_NZ_CP045702_41_length_52623_cov_20.707027,negative,52623,Bacteria
Bacteria_NZ_CP045702_42_length_50115_cov_13.717938,negative,50115,Bacteria
Bacteria_NZ_CP045702_43_length_49086_cov_15.091962,negative,49086,Bacteria
Bacteria_NZ_CP045702_44_length_48582_cov_14.253055,negative,48582,Bacteria
Bacteria_NZ_CP045702_45_length_47834_cov_14.506227,negative,47834,Bacteria
Bacteria_NZ_CP045702_46_length_45319_cov_15.526356,negative,45319,Bacteria
Bacteria_NZ_CP045702_47_length_40580_cov_14.027242,negative,40580,Bacteria
Bacteria_NZ_CP045702_48_length_39786_cov_13.671591,negative,39786,Bacteria
Bacteria_NZ_CP045702_49_length_38460_cov_15.286317,negative,38460,Bacteria
Bacteria_NZ_CP045702_50_length_38450_cov_13.650788,negative,38450,Bacteria
Bacteria_NZ_CP045702_51_length_36684_cov_14.379590,negative,36684,Bacteria
Bacteria_NZ_CP045702_52_length_35370_cov_14.672774,negative,35370,Bacteria
Bacteria_NZ_CP045702_53_length_35142_cov_14.971927,negative,35142,Bacteria
Bacteria_NZ_CP045702_54_length_34631_cov_15.077510,negative,34631,Bacteria
Bacteria_NZ_CP045702_55_length_34333_cov_14.368400,negative,34333,Bacteria
Bacteria_NZ_CP045702_56_length_33935_cov_15.918418,negative,33935,Bacteria
Bacteria_NZ_CP045702_57_length_33741_cov_14.991065,negative,33741,Bacteria
Bacteria_NZ_CP045702_58_length_32305_cov_14.317705,negative,32305,Bacteria
Bacteria_NZ_CP045702_59_length_29947_cov_16.513816,negative,29947,Bacteria
Bacteria_NZ_CP045702_60_length_29727_cov_14.279321,negative,29727,Bacteria
Bacteria_NZ_CP045702_61_length_29606_cov_14.497174,negative,29606,Bacteria
Bacteria_NZ_CP045702_62_length_27388_cov_13.695057,negative,27388,Bacteria
Bacteria_NZ_CP045702_63_length_25462_cov_16.125753,negative,25462,Bacteria
Bacteria_NZ_CP045702_64_length_25328_cov_14.830926,negative,25328,Bacteria
Bacteria_NZ_CP045702_65_length_24710_cov_13.834679,phage,24710,Bacteria
Bacteria_NZ_CP045702_66_length_24633_cov_15.128652,negative,24633,Bacteria
Bacteria_NZ_CP045702_67_length_24143_cov_14.415352,negative,24143,Bacteria
Bacteria_NZ_CP045702_68_length_21690_cov_14.899931,negative,21690,Bacteria
Bacteria_NZ_CP045702_69_length_21491_cov_14.730593,negative,21491,Bacteria
Bacteria_NZ_CP045702_70_length_19790_cov_17.463542,negative,19790,Bacteria
