"","name","length","score","pvalue"
"1","Bacteria_NZ_CP040586_1_length_447240_cov_85.750683",447240,0.273653866917291,0.176934271161775
"2","Bacteria_NZ_CP040586_2_length_291891_cov_85.635100",291891,0.298561437925527,0.162624302692214
"3","Bacteria_NZ_CP040586_3_length_182205_cov_85.446956",182205,0.184407592732134,0.236720834343924
"4","Bacteria_NZ_CP040586_4_length_141630_cov_84.578068",141630,0.335858009739408,0.145525103080281
"5","Bacteria_NZ_CP040586_5_length_132244_cov_85.377860",132244,0.407413823005889,0.117390249818094
"6","Bacteria_NZ_CP040586_6_length_131318_cov_85.072526",131318,0.176098806859199,0.244360902255639
"7","Bacteria_NZ_CP040586_7_length_121043_cov_85.144709",121043,0.303789991858109,0.159228716953675
"8","Bacteria_NZ_CP040586_8_length_118150_cov_86.009577",118150,0.383251885245937,0.126121756002911
"9","Bacteria_NZ_CP040586_9_length_116990_cov_86.282063",116990,0.227213276822587,0.202643706039292
"10","Bacteria_NZ_CP040586_10_length_115947_cov_85.368843",115947,0.303945940352592,0.159228716953675
"11","Bacteria_NZ_CP040586_11_length_85688_cov_85.096820",85688,0.267446049366785,0.180087315061848
"12","Bacteria_NZ_CP040586_12_length_80681_cov_85.270372",80681,0.159094441783447,0.260732476352171
"13","Bacteria_NZ_CP040586_13_length_78315_cov_85.893867",78315,0.317863894451871,0.154135338345865
"14","Bacteria_NZ_CP040586_14_length_75045_cov_85.224337",75045,0.120601224838429,0.304026194518554
"15","Bacteria_NZ_CP040586_15_length_71941_cov_85.220571",71941,0.162127521500627,0.258428328886733
"16","Bacteria_NZ_CP040586_16_length_69643_cov_84.899681",69643,0.272326239416789,0.177540625757943
"17","Bacteria_NZ_CP040586_17_length_62437_cov_85.201549",62437,0.123288165897866,0.300630608780015
"18","Bacteria_NZ_CP040586_18_length_60655_cov_83.152871",60655,0.29821833384957,0.162624302692214
"19","Bacteria_NZ_CP040586_19_length_60639_cov_94.206111",60639,0.266054478857464,0.180572398738782
"20","Bacteria_NZ_CP040586_20_length_54453_cov_85.485496",54453,0.384661038548952,0.125272859568276
"21","Bacteria_NZ_CP040586_21_length_37846_cov_85.215078",37846,0.469301111108049,0.0964103807906864
"22","Bacteria_NZ_CP040586_22_length_33706_cov_85.676978",33706,0.267032238766181,0.180329856900315
"23","Bacteria_NZ_CP040586_23_length_26667_cov_87.376559",26667,0.386865991263906,0.125151588649042
"24","Bacteria_NZ_CP040586_24_length_19990_cov_86.772160",19990,0.368551368377272,0.130608780014553
"25","Bacteria_NZ_CP040586_25_length_18737_cov_83.271438",18737,0.219508636664225,0.207858355566335
"26","Bacteria_NZ_CP040586_26_length_17859_cov_86.001629",17859,0.48769988999968,0.0909531894251758
"27","Bacteria_NZ_CP040586_27_length_16020_cov_85.400313",16020,0.130639027733307,0.290565122483628
"28","Bacteria_NZ_CP040586_28_length_14995_cov_90.578046",14995,0.370396027734591,0.130244967256852
"29","Bacteria_NZ_CP040586_29_length_14600_cov_82.880990",14600,0.393094362284717,0.123089983022071
"30","Bacteria_NZ_CP040586_30_length_8573_cov_84.047664",8573,0.133294240151821,0.286684453068154
"31","Bacteria_NZ_CP040586_31_length_3246_cov_334.436854",3246,0.00630317365553854,0.789352413291293
"32","Bacteria_NZ_CP040586_32_length_1734_cov_338.918999",1734,0.1841616388288,0.401642284848726
"33","Bacteria_NZ_CP040586_33_length_1726_cov_495.407540",1726,0.902176116497975,0.01626340335632
"34","Bacteria_NZ_CP040586_34_length_1689_cov_85.682375",1689,0.435497597081319,0.187906086817874
