"","name","length","score","pvalue"
"1","Bacteria_NZ_AP023239_1_length_83250_cov_5.343771",83250,0.0115217498852479,0.704220227989328
"2","Bacteria_NZ_AP023239_2_length_73209_cov_5.143437",73209,0.0448915461128255,0.47077370846471
"3","Bacteria_NZ_AP023239_3_length_66753_cov_5.658715",66753,0.0253538134436732,0.57409653165171
"4","Bacteria_NZ_AP023239_4_length_64374_cov_5.270838",64374,0.00599699939736848,0.795658501091438
"5","Bacteria_NZ_AP023239_5_length_61457_cov_5.258770",61457,0.0159867171274707,0.652922629153529
"6","Bacteria_NZ_AP023239_6_length_59613_cov_5.089224",59613,0.0315778972476495,0.535289837496968
"7","Bacteria_NZ_AP023239_7_length_59073_cov_6.037921",59073,0.0231258035822817,0.59143827310211
"8","Bacteria_NZ_AP023239_8_length_58887_cov_5.476951",58887,0.0369868650446376,0.505578462284744
"9","Bacteria_NZ_AP023239_9_length_57972_cov_5.619110",57972,0.0135339357657792,0.67911714770798
"10","Bacteria_NZ_AP023239_10_length_57456_cov_5.181687",57456,0.028903290270651,0.550812515158865
"11","Bacteria_NZ_AP023239_11_length_53416_cov_5.390566",53416,0.014920524522064,0.665656075673054
"12","Bacteria_NZ_AP023239_12_length_53376_cov_5.400818",53376,0.121927292791757,0.302328401649284
"13","Bacteria_NZ_AP023239_13_length_53263_cov_5.294693",53263,0.0154447458702674,0.659471258792142
"14","Bacteria_NZ_AP023239_14_length_50193_cov_5.216024",50193,0.0182823333212937,0.631700218287655
"15","Bacteria_NZ_AP023239_15_length_45830_cov_5.393687",45830,0.0297338006070656,0.545719136551055
"16","Bacteria_NZ_AP023239_16_length_45594_cov_5.734294",45594,0.029937282200968,0.544506427358719
"17","Bacteria_NZ_AP023239_17_length_44895_cov_5.475491",44895,0.0118026305295314,0.700097016735387
"18","Bacteria_NZ_AP023239_18_length_42397_cov_5.728071",42397,0.0134227966622819,0.679966044142615
"19","Bacteria_NZ_AP023239_19_length_42197_cov_5.090575",42197,0.117085702624828,0.309119573126364
"20","Bacteria_NZ_AP023239_20_length_41791_cov_5.246142",41791,0.0265077338391806,0.567790443851564
"21","Bacteria_NZ_AP023239_21_length_40807_cov_5.294121",40807,0.0146830427399678,0.667838952219258
"22","Bacteria_NZ_AP023239_22_length_40147_cov_5.233114",40147,0.0223325232681011,0.597744360902256
"23","Bacteria_NZ_AP023239_23_length_40078_cov_6.055368",40078,0.0436672365691577,0.475139461557119
"24","Bacteria_NZ_AP023239_24_length_39682_cov_5.488783",39682,0.0255672907350635,0.573126364297841
"25","Bacteria_NZ_AP023239_25_length_39317_cov_5.182594",39317,0.015976730270456,0.653043900072763
"26","Bacteria_NZ_AP023239_26_length_37981_cov_4.773480",37981,0.0118557466037158,0.699611933058453
"27","Bacteria_NZ_AP023239_27_length_37590_cov_5.279046",37590,0.0719858243173193,0.391341256366723
"28","Bacteria_NZ_AP023239_28_length_37584_cov_4.976258",37584,0.0673753468626996,0.400679117147708
"29","Bacteria_NZ_AP023239_29_length_36864_cov_5.099731",36864,0.015047705921028,0.663958282803784
"30","Bacteria_NZ_AP023239_30_length_36519_cov_6.415944",36519,0.0203024343413861,0.612781954887218
"31","Bacteria_NZ_AP023239_31_length_36461_cov_5.191891",36461,0.00639881483191319,0.787654620422023
"32","Bacteria_NZ_AP023239_32_length_36298_cov_5.563888",36298,0.0312667415773802,0.536745088527771
"33","Bacteria_NZ_AP023239_33_length_35585_cov_5.574106",35585,0.00651766392567214,0.784380305602716
"34","Bacteria_NZ_AP023239_34_length_34944_cov_5.730660",34944,0.016991944964327,0.644433664807179
"35","Bacteria_NZ_AP023239_35_length_34870_cov_5.549505",34870,0.0142775954591465,0.672447247150133
"36","Bacteria_NZ_AP023239_36_length_34352_cov_5.479721",34352,0.229412995362564,0.200703371331555
"37","Bacteria_NZ_AP023239_37_length_34118_cov_5.033937",34118,0.0237883499950709,0.584525830705797
"38","Bacteria_NZ_AP023239_38_length_34030_cov_4.899220",34030,0.00621745241387604,0.790807664322096
"39","Bacteria_NZ_AP023239_39_length_33458_cov_5.409125",33458,0.00834293582369817,0.751152073732719
"40","Bacteria_NZ_AP023239_40_length_32943_cov_5.272561",32943,0.0120281860990009,0.697429056512248
"41","Bacteria_NZ_AP023239_41_length_32844_cov_5.307969",32844,0.0255192214531245,0.573247635217075
"42","Bacteria_NZ_AP023239_42_length_32830_cov_5.462578",32830,0.0105859856095094,0.716468590831918
"43","Bacteria_NZ_AP023239_43_length_32692_cov_5.255385",32692,0.0449142642035066,0.470531166626243
"44","Bacteria_NZ_AP023239_44_length_32259_cov_4.711806",32259,0.00622665294896673,0.790686393402862
"45","Bacteria_NZ_AP023239_45_length_31832_cov_5.602197",31832,0.0119520305310595,0.698277952946883
"46","Bacteria_NZ_AP023239_46_length_30933_cov_5.527657",30933,0.0284332072214416,0.55505699733204
"47","Bacteria_NZ_AP023239_47_length_30753_cov_5.181087",30753,0.0250805068285137,0.575066699005578
"48","Bacteria_NZ_AP023239_48_length_30524_cov_5.452296",30524,0.00929121918481786,0.737327188940092
"49","Bacteria_NZ_AP023239_49_length_30479_cov_4.841737",30479,0.0300311310993663,0.543778801843318
"50","Bacteria_NZ_AP023239_50_length_29563_cov_5.510675",29563,0.0188589474665295,0.625879214164443
"51","Bacteria_NZ_AP023239_51_length_29374_cov_5.517753",29374,0.146804538510184,0.27225321367936
"52","Bacteria_NZ_AP023239_52_length_28217_cov_5.521909",28217,0.00400252108761875,0.837375697307786
"53","Bacteria_NZ_AP023239_53_length_27531_cov_5.602890",27531,0.0642548549895785,0.407955372301722
"54","Bacteria_NZ_AP023239_54_length_27381_cov_5.186672",27381,0.00696508327760529,0.775406257579432
"55","Bacteria_NZ_AP023239_55_length_27373_cov_5.483601",27373,0.0108841056760431,0.711860295901043
"56","Bacteria_NZ_AP023239_56_length_27313_cov_5.422885",27313,0.0627301339279469,0.411836041717196
"57","Bacteria_NZ_AP023239_57_length_27203_cov_5.668116",27203,0.00625520073127304,0.790080038806694
"58","Bacteria_NZ_AP023239_58_length_27058_cov_5.235122",27058,0.0245542690814078,0.578462284744118
"59","Bacteria_NZ_AP023239_59_length_26329_cov_5.797480",26329,0.0311494906107025,0.537472714043172
"60","Bacteria_NZ_AP023239_60_length_25922_cov_4.509723",25922,0.0262533382039594,0.569488236720834
"61","Bacteria_NZ_AP023239_61_length_25868_cov_5.463410",25868,0.0226988867256645,0.595440213436818
"62","Bacteria_NZ_AP023239_62_length_25407_cov_5.574866",25407,0.00599735125667262,0.795658501091438
"63","Bacteria_NZ_AP023239_63_length_25335_cov_6.573062",25335,0.041213026473847,0.486296386126607
"64","Bacteria_NZ_AP023239_64_length_25098_cov_5.152777",25098,0.022456017538287,0.596774193548387
"65","Bacteria_NZ_AP023239_65_length_25056_cov_7.896804",25056,0.238345810230376,0.195003638127577
"66","Bacteria_NZ_AP023239_66_length_25016_cov_5.416570",25016,0.0309465348533436,0.538927965073975
"67","Bacteria_NZ_AP023239_67_length_24997_cov_5.499800",24997,0.0236074660863457,0.586466165413534
"68","Bacteria_NZ_AP023239_68_length_24973_cov_5.403764",24973,0.0127279048911434,0.689425175842833
"69","Bacteria_NZ_AP023239_69_length_24839_cov_5.647555",24839,0.015956083733332,0.65328644191123
"70","Bacteria_NZ_AP023239_70_length_24156_cov_5.014564",24156,0.0195270611006532,0.619936939121999
"71","Bacteria_NZ_AP023239_71_length_23917_cov_5.772106",23917,0.0128590718177726,0.687484841135096
"72","Bacteria_NZ_AP023239_72_length_23563_cov_6.017356",23563,0.0146919921091891,0.667717681300024
"73","Bacteria_NZ_AP023239_73_length_23240_cov_5.536942",23240,0.0522832155303768,0.445428086344895
"74","Bacteria_NZ_AP023239_74_length_23085_cov_5.327877",23085,0.0296745131917013,0.546325491147223
"75","Bacteria_NZ_AP023239_75_length_23062_cov_7.745947",23062,0.0118530583743654,0.699611933058453
"76","Bacteria_NZ_AP023239_76_length_22662_cov_5.730924",22662,0.0472749587200743,0.46228474411836
"77","Bacteria_NZ_AP023239_77_length_22356_cov_5.277073",22356,0.171058564271343,0.249090468105748
"78","Bacteria_NZ_AP023239_78_length_22261_cov_5.581014",22261,0.0180346059056917,0.633761823914625
"79","Bacteria_NZ_AP023239_79_length_22154_cov_5.082447",22154,0.0130022013344158,0.685423235508125
"80","Bacteria_NZ_AP023239_80_length_22035_cov_5.192766",22035,0.0330207515691958,0.526922144069852
"81","Bacteria_NZ_AP023239_81_length_21895_cov_5.523764",21895,0.0172755787455328,0.641644433664807
"82","Bacteria_NZ_AP023239_82_length_21632_cov_4.803309",21632,0.0424394032582904,0.481445549357264
"83","Bacteria_NZ_AP023239_83_length_21188_cov_5.616902",21188,0.0796741034789581,0.375818578704827
"84","Bacteria_NZ_AP023239_84_length_20893_cov_5.604377",20893,0.0143301260241689,0.671840892553966
"85","Bacteria_NZ_AP023239_85_length_20730_cov_5.311149",20730,0.13475758333782,0.285471743875819
"86","Bacteria_NZ_AP023239_86_length_20674_cov_6.023376",20674,0.0944898340332345,0.344773223381033
"87","Bacteria_NZ_AP023239_87_length_20598_cov_5.427445",20598,0.00460774837753275,0.821125394130487
"88","Bacteria_NZ_AP023239_88_length_20490_cov_4.865035",20490,0.0289207424154825,0.550448702401164
"89","Bacteria_NZ_AP023239_89_length_20424_cov_4.789877",20424,0.00269822806157765,0.872908076643221
"90","Bacteria_NZ_AP023239_90_length_20256_cov_5.926390",20256,0.0121089783517828,0.696701430996847
"91","Bacteria_NZ_AP023239_91_length_19957_cov_5.401769",19957,0.0205573392870331,0.609992723744846
"92","Bacteria_NZ_AP023239_92_length_19930_cov_5.062692",19930,0.0026782932430488,0.873756973077856
