seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
Phage_NC_048650_1_length_112357_cov_85.227262||full	1.000	0.027	1.000	dsDNAphage	112302	8	33.000	2.800
Bacteria_NZ_CP040586_2_length_291891_cov_85.635100||0_partial	0.960	0.000	0.960	dsDNAphage	86614	15	33.600	19.600
Bacteria_NZ_CP040586_3_length_182205_cov_85.446956||0_partial	0.833	0.000	0.833	dsDNAphage	12277	1	33.300	16.700
Bacteria_NZ_CP040586_28_length_14995_cov_90.578046||full	0.613	0.080	0.613	dsDNAphage	14901	0	66.700	11.100
Prophage_NZ_CP045702_21_length_138241_cov_28.353241||0_partial	0.960	0.067	0.960	dsDNAphage	53825	8	58.700	17.500
Bacteria_NZ_CP045702_24_length_122012_cov_27.241290||full	0.860	0.000	0.860	dsDNAphage	114362	12	40.000	18.000
Bacteria_NZ_CP045702_30_length_80786_cov_27.707015||0_partial	0.853	0.000	0.853	dsDNAphage	33958	4	22.600	22.600
Bacteria_NZ_CP053841_1_length_418130_cov_88.669392||0_partial	0.973	0.000	0.973	dsDNAphage	16952	4	46.200	11.500
Bacteria_NZ_CP053841_2_length_392460_cov_88.787956||0_partial	0.813	0.000	0.813	dsDNAphage	15312	3	15.400	38.500
Bacteria_NZ_CP053841_8_length_83673_cov_90.720228||0_partial	0.953	0.000	0.953	dsDNAphage	25801	7	43.300	26.700
Bacteria_NZ_CP053841_16_length_2607_cov_103.088950||full	0.973	0.840	0.973	dsDNAphage	2421	0	85.700	0.000
Bacteria_NZ_CP053929_8_length_302558_cov_21.519932||0_partial	0.940	0.020	0.940	dsDNAphage	10975	1	12.500	8.300
Bacteria_NZ_CP053929_9_length_261613_cov_21.456694||0_partial	0.953	0.013	0.953	dsDNAphage	34045	12	43.800	31.200
Bacteria_NZ_CP053929_41_length_2289_cov_56.044315||full	0.860	0.760	0.860	dsDNAphage	1974	0	50.000	0.000
Bacteria_NZ_CP054920_7_length_362863_cov_36.515945||0_partial	0.847	0.000	0.847	dsDNAphage	22614	4	23.100	23.100
Bacteria_NZ_CP054920_9_length_281117_cov_36.252016||0_partial	0.900	0.000	0.900	dsDNAphage	15569	3	36.400	4.500
Bacteria_NZ_CP054920_12_length_234471_cov_36.203365||0_partial	0.760	0.000	0.760	dsDNAphage	11595	1	14.300	14.300
Bacteria_NZ_CP058259_9_length_127812_cov_211.035129||0_partial	0.793	0.027	0.793	dsDNAphage	10538	1	21.100	26.300
Bacteria_NZ_CP059603_2_length_339671_cov_205.471017||0_partial	0.973	0.000	0.973	dsDNAphage	34949	5	40.500	19.000
Bacteria_NZ_CP059603_14_length_42632_cov_191.007915||full	0.980	0.000	0.980	dsDNAphage	41644	6	46.000	4.800
Bacteria_NZ_CP059603_20_length_4854_cov_388.307564||full	0.907	0.593	0.907	dsDNAphage	4198	0	80.000	0.000
Bacteria_NZ_CP060192_2_length_381202_cov_20.541914||0_partial	0.727	0.000	0.727	dsDNAphage	11382	1	23.500	52.900
Bacteria_NZ_CP060192_3_length_376576_cov_21.175658||0_partial	0.893	0.000	0.893	dsDNAphage	25301	6	40.600	40.600
Bacteria_NZ_CP060192_8_length_259995_cov_20.825610||0_partial	0.940	0.000	0.940	dsDNAphage	85255	14	31.100	20.200
Bacteria_NZ_CP060192_8_length_259995_cov_20.825610||1_partial	0.967	0.007	0.967	dsDNAphage	16802	3	42.300	30.800
Bacteria_NZ_CP060192_9_length_238559_cov_20.937510||0_partial	0.953	0.000	0.953	dsDNAphage	58750	11	41.000	25.600
Bacteria_NZ_CP060192_10_length_199846_cov_20.480117||0_partial	0.767	0.000	0.767	dsDNAphage	15671	1	28.600	38.100
Bacteria_NZ_CP060192_12_length_154694_cov_20.164260||0_partial	0.907	0.000	0.907	dsDNAphage	11766	1	27.300	22.700
Bacteria_NZ_CP060192_19_length_43233_cov_22.063319||full	0.960	0.007	0.960	dsDNAphage	42984	10	42.200	10.900
Bacteria_NZ_LR824569_1_length_1075728_cov_13.047345||0_partial	0.960	0.013	0.960	dsDNAphage	80929	6	31.900	11.800
Bacteria_NZ_LR824569_4_length_587334_cov_13.108747||0_partial	0.847	0.000	0.847	dsDNAphage	20422	1	16.000	20.000
Bacteria_NZ_LR824569_5_length_370571_cov_12.864335||0_partial	0.920	0.007	0.920	dsDNAphage	18096	4	29.200	16.700
Bacteria_NZ_LR824569_5_length_370571_cov_12.864335||1_partial	0.960	0.080	0.960	dsDNAphage	15082	1	41.200	17.600
Bacteria_NZ_LR824569_22_length_2043_cov_23.105634||full	0.527	0.960	0.960	ssDNA	2041	0	33.300	0.000
Phage_NC_047764_1_length_73779_cov_150.389724||full	1.000	0.080	1.000	dsDNAphage	71905	9	52.100	2.000
Phage_NC_048099_1_length_38314_cov_410.060718||full	0.993	0.040	0.993	dsDNAphage	38144	8	39.700	2.900
Phage_NC_048166_1_length_88401_cov_358.087678||full	1.000	0.073	1.000	dsDNAphage	88340	11	30.500	0.000
Phage_NC_048639_1_length_44791_cov_413.841850||full	1.000	0.007	1.000	dsDNAphage	44599	6	63.900	5.600
Phage_NC_048639_2_length_14249_cov_405.895026||full	0.980	0.387	0.980	dsDNAphage	14030	0	48.000	0.000
Phage_NC_048639_3_length_11572_cov_423.158982||full	0.980	0.233	0.980	dsDNAphage	11570	0	43.500	0.000
Phage_NC_048698_1_length_41815_cov_465.718367||full	1.000	0.207	1.000	dsDNAphage	41677	12	75.900	0.000
Phage_NC_048739_1_length_19678_cov_2126.403608||full	1.000	0.087	1.000	dsDNAphage	19307	5	35.700	0.000
Phage_NC_048806_1_length_65687_cov_210.263743||full	1.000	0.247	1.000	dsDNAphage	64726	26	95.600	0.000
Phage_NC_049478_1_length_60181_cov_75.203872||full	0.993	0.053	0.993	dsDNAphage	60103	5	38.200	2.900
Phage_NC_049972_1_length_18930_cov_306.181987||full	1.000	0.040	1.000	dsDNAphage	18753	4	42.900	0.000
Bacteria_NZ_CP060192_25_length_1791_cov_19.792627||lt2gene	nan	nan	nan	dsDNAphage	1791	2	100.000	0.000
