ID,True_Label,Contig_Length,Assigned_TaxID,Predicted_Label
Bacteria_NZ_CP030047_1_length_1368538_cov_20.202233,Bacteria,1368538,2057741,Bacteria
Bacteria_NZ_CP030047_2_length_951071_cov_20.433586,Bacteria,951071,2057741,Bacteria
Bacteria_NZ_CP030047_3_length_802127_cov_20.338310,Bacteria,802127,2057741,Bacteria
Bacteria_NZ_CP030047_4_length_643709_cov_19.871560,Bacteria,643709,2057741,Bacteria
Bacteria_NZ_CP030047_5_length_518993_cov_20.316300,Bacteria,518993,2057741,Bacteria
Bacteria_NZ_CP030047_6_length_445074_cov_20.091470,Bacteria,445074,2057741,Bacteria
Bacteria_NZ_CP030047_7_length_383055_cov_20.174462,Bacteria,383055,2057741,Bacteria
Bacteria_NZ_CP030047_8_length_373885_cov_20.866094,Bacteria,373885,2057741,Bacteria
Bacteria_NZ_CP030047_9_length_363407_cov_19.969294,Bacteria,363407,2057741,Bacteria
Bacteria_NZ_CP030047_10_length_361822_cov_20.172465,Bacteria,361822,2057741,Bacteria
Bacteria_NZ_CP030047_11_length_358912_cov_20.826591,Bacteria,358912,2057741,Bacteria
Bacteria_NZ_CP030047_12_length_352219_cov_20.462029,Bacteria,352219,2057741,Bacteria
Bacteria_NZ_CP030047_13_length_294216_cov_20.249013,Bacteria,294216,2057741,Bacteria
Bacteria_NZ_CP030047_14_length_289496_cov_19.815911,Bacteria,289496,2057741,Bacteria
Bacteria_NZ_CP030047_15_length_286447_cov_20.473774,Bacteria,286447,2057741,Bacteria
Bacteria_NZ_CP030047_17_length_215781_cov_20.062088,Bacteria,215781,2057741,Bacteria
Bacteria_NZ_CP030047_18_length_200196_cov_20.350348,Bacteria,200196,2057741,Bacteria
Bacteria_NZ_CP030047_19_length_154632_cov_19.586601,Bacteria,154632,2057741,Bacteria
Bacteria_NZ_CP030047_22_length_80691_cov_21.978781,Bacteria,80691,2057741,Bacteria
Bacteria_NZ_CP030047_24_length_62423_cov_19.955474,Bacteria,62423,2057741,Bacteria
Bacteria_NZ_CP030047_25_length_51723_cov_19.933847,Bacteria,51723,2057741,Bacteria
Bacteria_NZ_CP030047_26_length_47525_cov_20.732399,Bacteria,47525,2057741,Bacteria
Bacteria_NZ_CP030047_28_length_5612_cov_19.862156,Bacteria,5612,2057741,Bacteria
Bacteria_NZ_CP030047_16_length_261759_cov_20.207001,Bacteria,261759,1274631,Bacteria
Bacteria_NZ_CP030047_20_length_136749_cov_20.097107,Bacteria,136749,1355477,Bacteria
Bacteria_NZ_CP030047_21_length_91941_cov_19.457839,Bacteria,91941,1355477,Bacteria
Bacteria_NZ_CP030047_23_length_74842_cov_20.461417,Bacteria,74842,224911,Bacteria
Bacteria_NZ_CP030047_27_length_43682_cov_19.641781,Bacteria,43682,374,Bacteria
Bacteria_NZ_CP030047_29_length_2746_cov_60.500929,Bacteria,2746,288000,Bacteria
Bacteria_NZ_CP030047_31_length_1666_cov_42.693358,Bacteria,1666,2018025,Bacteria
Bacteria_NZ_CP040094_1_length_416780_cov_145.042328,Bacteria,416780,63737,Bacteria
Bacteria_NZ_CP040094_2_length_372814_cov_157.241735,Bacteria,372814,63737,Bacteria
Bacteria_NZ_CP040094_3_length_354158_cov_124.462120,Bacteria,354158,63737,Bacteria
Bacteria_NZ_CP040094_4_length_263910_cov_98.819223,Bacteria,263910,63737,Bacteria
Bacteria_NZ_CP040094_5_length_240727_cov_116.133917,Bacteria,240727,63737,Bacteria
Bacteria_NZ_CP040094_6_length_215264_cov_101.499798,Bacteria,215264,63737,Bacteria
Bacteria_NZ_CP040094_7_length_210648_cov_119.829178,Bacteria,210648,63737,Bacteria
Bacteria_NZ_CP040094_8_length_192877_cov_136.970190,Bacteria,192877,63737,Bacteria
Bacteria_NZ_CP040094_9_length_182100_cov_101.106474,Bacteria,182100,63737,Bacteria
Bacteria_NZ_CP040094_10_length_167923_cov_112.498183,Bacteria,167923,63737,Bacteria
Bacteria_NZ_CP040094_11_length_167106_cov_130.332030,Bacteria,167106,63737,Bacteria
Bacteria_NZ_CP040094_12_length_148426_cov_97.168692,Bacteria,148426,63737,Bacteria
Bacteria_NZ_CP040094_13_length_147132_cov_96.764375,Bacteria,147132,63737,Bacteria
Bacteria_NZ_CP040094_14_length_142119_cov_126.958125,Bacteria,142119,63737,Bacteria
Bacteria_NZ_CP040094_15_length_133770_cov_147.848185,Bacteria,133770,63737,Bacteria
Bacteria_NZ_CP040094_16_length_128041_cov_98.120787,Bacteria,128041,63737,Bacteria
Bacteria_NZ_CP040094_17_length_126962_cov_99.281387,Bacteria,126962,63737,Bacteria
Bacteria_NZ_CP040094_18_length_121614_cov_159.216167,Bacteria,121614,63737,Bacteria
Bacteria_NZ_CP040094_19_length_120594_cov_100.245000,Bacteria,120594,63737,Bacteria
Bacteria_NZ_CP040094_20_length_116060_cov_99.287496,Bacteria,116060,63737,Bacteria
Bacteria_NZ_CP040094_21_length_109851_cov_131.982850,Bacteria,109851,63737,Bacteria
Bacteria_NZ_CP040094_22_length_109528_cov_133.622272,Bacteria,109528,63737,Bacteria
Bacteria_NZ_CP040094_23_length_107882_cov_131.421518,Bacteria,107882,63737,Bacteria
Bacteria_NZ_CP040094_24_length_106335_cov_96.934691,Bacteria,106335,63737,Bacteria
Bacteria_NZ_CP040094_25_length_103001_cov_141.199376,Bacteria,103001,63737,Bacteria
Bacteria_NZ_CP040094_26_length_102010_cov_172.750753,Bacteria,102010,63737,Bacteria
Bacteria_NZ_CP040094_27_length_100658_cov_162.625478,Bacteria,100658,63737,Bacteria
Bacteria_NZ_CP040094_28_length_89328_cov_96.804387,Bacteria,89328,63737,Bacteria
Bacteria_NZ_CP040094_29_length_88626_cov_95.557541,Bacteria,88626,63737,Bacteria
Bacteria_NZ_CP040094_30_length_87689_cov_117.205799,Bacteria,87689,63737,Bacteria
Bacteria_NZ_CP040094_31_length_87170_cov_101.258348,Bacteria,87170,63737,Bacteria
Bacteria_NZ_CP040094_32_length_86779_cov_140.626378,Bacteria,86779,63737,Bacteria
Bacteria_NZ_CP040094_35_length_80692_cov_195.126096,Bacteria,80692,63737,Bacteria
Bacteria_NZ_CP040094_36_length_78682_cov_104.058402,Bacteria,78682,63737,Bacteria
Bacteria_NZ_CP040094_37_length_76410_cov_101.500963,Bacteria,76410,63737,Bacteria
Bacteria_NZ_CP040094_38_length_76360_cov_98.420929,Bacteria,76360,63737,Bacteria
Bacteria_NZ_CP040094_39_length_73394_cov_96.411132,Bacteria,73394,63737,Bacteria
Bacteria_NZ_CP040094_40_length_71581_cov_105.237075,Bacteria,71581,63737,Bacteria
Bacteria_NZ_CP040094_41_length_70229_cov_194.288982,Bacteria,70229,63737,Bacteria
Bacteria_NZ_CP040094_42_length_66992_cov_96.873000,Bacteria,66992,63737,Bacteria
Bacteria_NZ_CP040094_43_length_64018_cov_96.575849,Bacteria,64018,63737,Bacteria
Bacteria_NZ_CP040094_44_length_62577_cov_218.979159,Bacteria,62577,63737,Bacteria
Bacteria_NZ_CP040094_45_length_57440_cov_180.006117,Bacteria,57440,63737,Bacteria
Bacteria_NZ_CP040094_46_length_56921_cov_99.800918,Bacteria,56921,63737,Bacteria
Bacteria_NZ_CP040094_47_length_55383_cov_146.915088,Bacteria,55383,63737,Bacteria
Bacteria_NZ_CP040094_48_length_53955_cov_150.834341,Bacteria,53955,63737,Bacteria
Bacteria_NZ_CP040094_49_length_53903_cov_96.395502,Bacteria,53903,63737,Bacteria
Bacteria_NZ_CP040094_50_length_53415_cov_222.651649,Bacteria,53415,63737,Bacteria
Bacteria_NZ_CP040094_51_length_48527_cov_255.114870,Bacteria,48527,63737,Bacteria
Bacteria_NZ_CP040094_52_length_47500_cov_115.065571,Bacteria,47500,63737,Bacteria
Bacteria_NZ_CP040094_53_length_47334_cov_172.431016,Bacteria,47334,63737,Bacteria
Bacteria_NZ_CP040094_54_length_46942_cov_179.668949,Bacteria,46942,63737,Bacteria
Bacteria_NZ_CP040094_55_length_46618_cov_179.324034,Bacteria,46618,63737,Bacteria
Bacteria_NZ_CP040094_56_length_41725_cov_166.987689,Bacteria,41725,63737,Bacteria
Bacteria_NZ_CP040094_57_length_40311_cov_125.362902,Bacteria,40311,63737,Bacteria
Bacteria_NZ_CP040094_58_length_39781_cov_192.177214,Bacteria,39781,63737,Bacteria
Bacteria_NZ_CP040094_59_length_38858_cov_97.107672,Bacteria,38858,63737,Bacteria
Bacteria_NZ_CP040094_60_length_37214_cov_198.300116,Bacteria,37214,63737,Bacteria
Bacteria_NZ_CP040094_61_length_34870_cov_375.998449,Bacteria,34870,63737,Bacteria
Bacteria_NZ_CP040094_62_length_34748_cov_98.607471,Bacteria,34748,63737,Bacteria
Bacteria_NZ_CP040094_63_length_34557_cov_97.552374,Bacteria,34557,63737,Bacteria
Bacteria_NZ_CP040094_64_length_34412_cov_94.847862,Bacteria,34412,63737,Bacteria
Bacteria_NZ_CP040094_65_length_32276_cov_121.065920,Bacteria,32276,63737,Bacteria
Bacteria_NZ_CP040094_66_length_31723_cov_95.639447,Bacteria,31723,63737,Bacteria
Bacteria_NZ_CP040094_68_length_30719_cov_96.375848,Bacteria,30719,63737,Bacteria
Bacteria_NZ_CP040094_69_length_27030_cov_240.190695,Bacteria,27030,63737,Bacteria
Bacteria_NZ_CP040094_71_length_26266_cov_107.848651,Bacteria,26266,63737,Bacteria
Bacteria_NZ_CP040094_73_length_25667_cov_95.998165,Bacteria,25667,63737,Bacteria
Bacteria_NZ_CP040094_74_length_25436_cov_219.902171,Bacteria,25436,63737,Bacteria
Bacteria_NZ_CP040094_75_length_23534_cov_101.210571,Bacteria,23534,63737,Bacteria
