ID,Predicted_Label,Contig_Length,True_Label
Bacteria_NZ_CP040586_1_length_447076_cov_99.793316,negative,447076,Bacteria
Bacteria_NZ_CP040586_2_length_291891_cov_99.790701,negative,291891,Bacteria
Bacteria_NZ_CP040586_3_length_182205_cov_99.406429,negative,182205,Bacteria
Bacteria_NZ_CP040586_4_length_141630_cov_98.427455,negative,141630,Bacteria
Bacteria_NZ_CP040586_5_length_132244_cov_99.311024,negative,132244,Bacteria
Bacteria_NZ_CP040586_6_length_131318_cov_99.291773,negative,131318,Bacteria
Bacteria_NZ_CP040586_7_length_121043_cov_99.509050,negative,121043,Bacteria
Bacteria_NZ_CP040586_8_length_118152_cov_100.145584,negative,118152,Bacteria
Bacteria_NZ_CP040586_9_length_116990_cov_100.378518,negative,116990,Bacteria
Bacteria_NZ_CP040586_10_length_115947_cov_99.936165,negative,115947,Bacteria
Bacteria_NZ_CP040586_11_length_85688_cov_98.874826,negative,85688,Bacteria
Bacteria_NZ_CP040586_12_length_80681_cov_99.373688,negative,80681,Bacteria
Bacteria_NZ_CP040586_13_length_78315_cov_99.730705,negative,78315,Bacteria
Bacteria_NZ_CP040586_14_length_75045_cov_99.350233,negative,75045,Bacteria
Bacteria_NZ_CP040586_15_length_71941_cov_99.324444,negative,71941,Bacteria
Bacteria_NZ_CP040586_16_length_69645_cov_98.771634,negative,69645,Bacteria
Bacteria_NZ_CP040586_17_length_62437_cov_98.638485,negative,62437,Bacteria
Bacteria_NZ_CP040586_18_length_60655_cov_96.877888,negative,60655,Bacteria
Bacteria_NZ_CP040586_19_length_54453_cov_99.830031,negative,54453,Bacteria
Bacteria_NZ_CP040586_20_length_37846_cov_99.005557,negative,37846,Bacteria
Bacteria_NZ_CP040586_21_length_33706_cov_99.653680,negative,33706,Bacteria
Bacteria_NZ_CP040586_22_length_30548_cov_100.000918,negative,30548,Bacteria
Bacteria_NZ_CP040586_23_length_28803_cov_98.363608,phage,28803,Bacteria
Bacteria_NZ_CP040586_24_length_26667_cov_101.185330,negative,26667,Bacteria
Bacteria_NZ_CP040586_25_length_19990_cov_101.187409,negative,19990,Bacteria
