ID,True_Label,Contig_Length,Assigned_TaxID,Predicted_Label
Bacteria_NZ_CP030047_1_length_1164968_cov_25.331137,Bacteria,1164968,2057741,Bacteria
Bacteria_NZ_CP030047_2_length_962086_cov_24.852693,Bacteria,962086,2057741,Bacteria
Bacteria_NZ_CP030047_3_length_903237_cov_25.622075,Bacteria,903237,2057741,Bacteria
Bacteria_NZ_CP030047_4_length_843452_cov_24.847644,Bacteria,843452,2057741,Bacteria
Bacteria_NZ_CP030047_5_length_716767_cov_25.480978,Bacteria,716767,2057741,Bacteria
Bacteria_NZ_CP030047_6_length_654056_cov_25.331714,Bacteria,654056,2057741,Bacteria
Bacteria_NZ_CP030047_7_length_591109_cov_24.900322,Bacteria,591109,2057741,Bacteria
Bacteria_NZ_CP030047_8_length_549860_cov_25.518964,Bacteria,549860,2057741,Bacteria
Bacteria_NZ_CP030047_9_length_522822_cov_25.280467,Bacteria,522822,2057741,Bacteria
Bacteria_NZ_CP030047_10_length_445074_cov_24.905489,Bacteria,445074,2057741,Bacteria
Bacteria_NZ_CP030047_11_length_358912_cov_25.715536,Bacteria,358912,2057741,Bacteria
Bacteria_NZ_CP030047_12_length_344816_cov_25.525405,Bacteria,344816,2057741,Bacteria
Bacteria_NZ_CP030047_13_length_286447_cov_25.267867,Bacteria,286447,2057741,Bacteria
Bacteria_NZ_CP030047_15_length_215781_cov_24.788064,Bacteria,215781,2057741,Bacteria
Bacteria_NZ_CP030047_19_length_51723_cov_25.278567,Bacteria,51723,2057741,Bacteria
Bacteria_NZ_CP030047_14_length_261759_cov_25.041299,Bacteria,261759,1274631,Bacteria
Bacteria_NZ_CP030047_16_length_136749_cov_25.242081,Bacteria,136749,1355477,Bacteria
Bacteria_NZ_CP030047_17_length_91941_cov_23.947359,Bacteria,91941,1355477,Bacteria
Bacteria_NZ_CP030047_18_length_74793_cov_25.262571,Bacteria,74793,224911,Bacteria
Bacteria_NZ_CP030047_20_length_43865_cov_24.192171,Bacteria,43865,374,Bacteria
Bacteria_NZ_CP030047_21_length_7930_cov_27.967111,Bacteria,7930,931866,Bacteria
Bacteria_NZ_CP030047_22_length_2746_cov_77.342995,Bacteria,2746,288000,Bacteria
Bacteria_NZ_CP030047_23_length_1666_cov_54.649907,Bacteria,1666,2018025,Bacteria
Bacteria_NZ_CP040094_1_length_354158_cov_37.405207,Bacteria,354158,63737,Bacteria
Bacteria_NZ_CP040094_2_length_268419_cov_32.576877,Bacteria,268419,63737,Bacteria
Bacteria_NZ_CP040094_3_length_256635_cov_36.665313,Bacteria,256635,63737,Bacteria
Bacteria_NZ_CP040094_4_length_245149_cov_50.809591,Bacteria,245149,63737,Bacteria
Bacteria_NZ_CP040094_5_length_235123_cov_31.569797,Bacteria,235123,63737,Bacteria
Bacteria_NZ_CP040094_6_length_164044_cov_29.705986,Bacteria,164044,63737,Bacteria
Bacteria_NZ_CP040094_7_length_161340_cov_51.136901,Bacteria,161340,63737,Bacteria
Bacteria_NZ_CP040094_8_length_160638_cov_28.841503,Bacteria,160638,63737,Bacteria
Bacteria_NZ_CP040094_9_length_151410_cov_37.428773,Bacteria,151410,63737,Bacteria
Bacteria_NZ_CP040094_10_length_144220_cov_50.731627,Bacteria,144220,63737,Bacteria
Bacteria_NZ_CP040094_11_length_142401_cov_38.746568,Bacteria,142401,63737,Bacteria
Bacteria_NZ_CP040094_12_length_139415_cov_29.264251,Bacteria,139415,63737,Bacteria
Bacteria_NZ_CP040094_13_length_137210_cov_29.029908,Bacteria,137210,63737,Bacteria
Bacteria_NZ_CP040094_14_length_128884_cov_37.903904,Bacteria,128884,63737,Bacteria
Bacteria_NZ_CP040094_15_length_126962_cov_29.679372,Bacteria,126962,63737,Bacteria
Bacteria_NZ_CP040094_16_length_120785_cov_30.102278,Bacteria,120785,63737,Bacteria
Bacteria_NZ_CP040094_17_length_116073_cov_30.014610,Bacteria,116073,63737,Bacteria
Bacteria_NZ_CP040094_18_length_111763_cov_45.291349,Bacteria,111763,63737,Bacteria
Bacteria_NZ_CP040094_19_length_109956_cov_28.934305,Bacteria,109956,63737,Bacteria
Bacteria_NZ_CP040094_20_length_109549_cov_40.756736,Bacteria,109549,63737,Bacteria
Bacteria_NZ_CP040094_21_length_106335_cov_28.804065,Bacteria,106335,63737,Bacteria
Bacteria_NZ_CP040094_22_length_106101_cov_29.980386,Bacteria,106101,63737,Bacteria
Bacteria_NZ_CP040094_23_length_105801_cov_30.975763,Bacteria,105801,63737,Bacteria
Bacteria_NZ_CP040094_24_length_103001_cov_43.140171,Bacteria,103001,63737,Bacteria
Bacteria_NZ_CP040094_25_length_102031_cov_52.661116,Bacteria,102031,63737,Bacteria
Bacteria_NZ_CP040094_26_length_94796_cov_28.863934,Bacteria,94796,63737,Bacteria
Bacteria_NZ_CP040094_27_length_92860_cov_39.360099,Bacteria,92860,63737,Bacteria
Bacteria_NZ_CP040094_28_length_88711_cov_29.222264,Bacteria,88711,63737,Bacteria
Bacteria_NZ_CP040094_29_length_88629_cov_42.555998,Bacteria,88629,63737,Bacteria
Bacteria_NZ_CP040094_30_length_88345_cov_29.396115,Bacteria,88345,63737,Bacteria
Bacteria_NZ_CP040094_31_length_87170_cov_30.515629,Bacteria,87170,63737,Bacteria
Bacteria_NZ_CP040094_33_length_86779_cov_42.251499,Bacteria,86779,63737,Bacteria
Bacteria_NZ_CP040094_35_length_85968_cov_29.166203,Bacteria,85968,63737,Bacteria
Bacteria_NZ_CP040094_36_length_85870_cov_28.617794,Bacteria,85870,63737,Bacteria
Bacteria_NZ_CP040094_37_length_81068_cov_28.145557,Bacteria,81068,63737,Bacteria
Bacteria_NZ_CP040094_38_length_78721_cov_30.879122,Bacteria,78721,63737,Bacteria
Bacteria_NZ_CP040094_39_length_76360_cov_29.890007,Bacteria,76360,63737,Bacteria
Bacteria_NZ_CP040094_40_length_71574_cov_31.383982,Bacteria,71574,63737,Bacteria
Bacteria_NZ_CP040094_41_length_70892_cov_30.311504,Bacteria,70892,63737,Bacteria
Bacteria_NZ_CP040094_42_length_70732_cov_35.036702,Bacteria,70732,63737,Bacteria
Bacteria_NZ_CP040094_43_length_70420_cov_28.669921,Bacteria,70420,63737,Bacteria
Bacteria_NZ_CP040094_44_length_70229_cov_59.909667,Bacteria,70229,63737,Bacteria
Bacteria_NZ_CP040094_45_length_69866_cov_47.752188,Bacteria,69866,63737,Bacteria
Bacteria_NZ_CP040094_46_length_66992_cov_29.767274,Bacteria,66992,63737,Bacteria
