ID,True_Label,Contig_Length,Assigned_TaxID,Predicted_Label
Bacteria_NZ_CP040586_1_length_447076_cov_99.793316,Bacteria,447076,637971,Bacteria
Bacteria_NZ_CP040586_3_length_182205_cov_99.406429,Bacteria,182205,637971,Bacteria
Bacteria_NZ_CP040586_2_length_291891_cov_99.790701,Bacteria,291891,1582,Bacteria
Bacteria_NZ_CP040586_4_length_141630_cov_98.427455,Bacteria,141630,2100422,Bacteria
Bacteria_NZ_CP040586_5_length_132244_cov_99.311024,Bacteria,132244,152331,Bacteria
Bacteria_NZ_CP040586_6_length_131318_cov_99.291773,Bacteria,131318,1598,Bacteria
Bacteria_NZ_CP040586_7_length_121043_cov_99.509050,Bacteria,121043,1590,Bacteria
Bacteria_NZ_CP040586_13_length_78315_cov_99.730705,Bacteria,78315,1590,Bacteria
Bacteria_NZ_CP059603_15_length_40482_cov_105.937022,Bacteria,40482,1590,Bacteria
Bacteria_NZ_CP040586_8_length_118152_cov_100.145584,Bacteria,118152,375175,Bacteria
Bacteria_NZ_CP040586_28_length_16020_cov_98.583777,Bacteria,16020,375175,Bacteria
Bacteria_NZ_CP040586_32_length_3246_cov_388.820746,Bacteria,3246,375175,Bacteria
Bacteria_NZ_CP040586_9_length_116990_cov_100.378518,Bacteria,116990,1580,Bacteria
Bacteria_NZ_CP040586_14_length_75045_cov_99.350233,Bacteria,75045,1580,Bacteria
Bacteria_NZ_CP040586_27_length_18090_cov_101.332631,Bacteria,18090,1580,Bacteria
Bacteria_NZ_CP059603_2_length_339671_cov_119.100278,Bacteria,339671,1580,Bacteria
Bacteria_NZ_CP059603_20_length_4854_cov_222.067306,Bacteria,4854,1580,Bacteria
Bacteria_NZ_CP040586_10_length_115947_cov_99.936165,Bacteria,115947,267363,Bacteria
Bacteria_NZ_CP040586_12_length_80681_cov_99.373688,Bacteria,80681,267363,Bacteria
Bacteria_NZ_CP059603_1_length_577975_cov_124.154213,Bacteria,577975,267363,Bacteria
Bacteria_NZ_CP059603_3_length_289846_cov_129.541494,Bacteria,289846,267363,Bacteria
Bacteria_NZ_CP059603_5_length_141199_cov_121.152171,Bacteria,141199,267363,Bacteria
Bacteria_NZ_CP059603_6_length_133148_cov_112.621302,Bacteria,133148,267363,Bacteria
Bacteria_NZ_CP059603_7_length_129784_cov_124.028991,Bacteria,129784,267363,Bacteria
Bacteria_NZ_CP059603_8_length_119750_cov_125.357793,Bacteria,119750,267363,Bacteria
Bacteria_NZ_CP059603_9_length_110956_cov_126.393865,Bacteria,110956,267363,Bacteria
Bacteria_NZ_CP059603_10_length_88429_cov_114.354799,Bacteria,88429,267363,Bacteria
Bacteria_NZ_CP059603_11_length_70595_cov_165.403572,Bacteria,70595,267363,Bacteria
Bacteria_NZ_CP059603_12_length_55969_cov_180.350038,Bacteria,55969,267363,Bacteria
