seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
Phage_NC_047859_1_length_108713_cov_33.537153||full	1.000	0.273	1.000	dsDNAphage	108663	14	93.400	0.000
Phage_NC_048135_1_length_39745_cov_92.094281||full	0.987	0.133	0.987	dsDNAphage	39690	11	78.000	0.000
Phage_NC_048681_1_length_38569_cov_94.837150||full	1.000	0.140	1.000	dsDNAphage	38455	11	88.500	0.000
Phage_NC_048849_1_length_174176_cov_20.980094||full	1.000	0.280	1.000	dsDNAphage	174121	50	79.400	1.000
Phage_NC_048852_1_length_108121_cov_33.825440||full	1.000	0.160	1.000	dsDNAphage	108051	15	91.000	0.000
Phage_NC_050144_1_length_65597_cov_55.736581||full	1.000	0.260	1.000	dsDNAphage	65542	26	97.800	0.000
Bacteria_NZ_CP061769_21_length_37529_cov_25.961520||full	1.000	0.293	1.000	dsDNAphage	37432	6	61.700	0.000
Bacteria_NZ_CP061769_24_length_4151_cov_24.351318||full	0.887	0.227	0.887	dsDNAphage	4077	0	14.300	0.000
Bacteria_NZ_CP062156_8_length_176458_cov_13.460933||0_partial	0.960	0.000	0.960	dsDNAphage	91962	5	33.100	14.000
Bacteria_NZ_CP062156_9_length_150460_cov_13.550234||0_partial	0.913	0.000	0.913	dsDNAphage	24741	1	30.000	13.300
Bacteria_NZ_CP062156_21_length_61160_cov_13.649832||full	0.993	0.033	0.993	dsDNAphage	61157	17	69.600	10.100
Bacteria_NZ_CP062156_22_length_61084_cov_13.614265||full	0.987	0.040	0.987	dsDNAphage	61080	17	70.600	10.300
Bacteria_NZ_CP062156_23_length_57410_cov_12.906059||full	0.860	0.000	0.860	dsDNAphage	57298	6	33.900	44.600
Bacteria_NZ_CP062156_31_length_21307_cov_14.391493||full	0.987	0.013	0.987	dsDNAphage	21305	7	59.100	13.600
Bacteria_NZ_CP062156_45_length_3392_cov_18.187594||full	0.793	0.073	0.793	dsDNAphage	3390	0	40.000	0.000
Bacteria_NZ_CP062156_49_length_1244_cov_256.750210||full	0.907	0.973	0.973	ssDNA	1151	0	100.000	0.000
Bacteria_NZ_CP062938_2_length_581147_cov_18.971717||0_partial	0.953	0.000	0.953	dsDNAphage	101235	7	23.400	11.700
Bacteria_NZ_CP062938_8_length_115867_cov_18.833998||0_partial	0.780	0.000	0.780	dsDNAphage	23724	1	18.200	30.300
Bacteria_NZ_CP062939_1_length_658936_cov_19.768987||0_partial	0.773	0.973	0.973	ssDNA	5044	1	36.400	0.000
Bacteria_NZ_CP062939_4_length_208015_cov_19.648379||0_partial	0.840	0.000	0.840	dsDNAphage	14828	1	36.400	13.600
Bacteria_NZ_CP062939_6_length_144968_cov_19.380608||0_partial	0.980	0.020	0.980	dsDNAphage	15435	1	22.700	4.500
Bacteria_NZ_CP062948_6_length_193022_cov_18.756585||0_partial	0.953	0.000	0.953	dsDNAphage	26195	3	32.600	14.000
Bacteria_NZ_CP062948_15_length_59450_cov_18.962017||0_partial	0.707	0.007	0.707	dsDNAphage	13147	1	12.500	43.800
Bacteria_NZ_CP063374_1_length_275303_cov_7.152085||0_partial	0.947	0.000	0.947	dsDNAphage	13798	1	19.200	15.400
Bacteria_NZ_CP063374_152_length_1306_cov_13.064748||full	0.767	0.427	0.767	dsDNAphage	1193	0	100.000	0.000
Bacteria_NZ_CP064663_1_length_744683_cov_11.487469||0_partial	0.820	0.000	0.820	dsDNAphage	16437	1	29.200	41.700
