seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
Phage_NC_047747_1_length_40338_cov_1472.842043||full	1.000	0.180	1.000	dsDNAphage	40283	15	87.800	0.000
Phage_NC_048706_1_length_45935_cov_163.600697||full	0.993	0.007	0.993	dsDNAphage	45880	2	36.900	3.100
Phage_NC_049456_1_length_75471_cov_45.715445||full	1.000	0.147	1.000	dsDNAphage	75416	5	57.900	0.000
Bacteria_NZ_CP030047_4_length_643709_cov_19.871560||0_partial	0.960	0.000	0.960	dsDNAphage	28774	2	21.400	7.100
Bacteria_NZ_CP030047_7_length_383055_cov_20.174462||0_partial	0.713	0.000	0.713	dsDNAphage	12305	1	20.000	35.000
Bacteria_NZ_CP040094_12_length_148426_cov_97.168692||full	0.873	0.000	0.873	dsDNAphage	148043	8	21.500	11.000
Bacteria_NZ_CP040094_17_length_126962_cov_99.281387||0_partial	0.807	0.013	0.807	dsDNAphage	24609	1	20.000	5.000
Bacteria_NZ_CP040094_18_length_121614_cov_159.216167||0_partial	0.720	0.000	0.720	dsDNAphage	16588	1	17.400	26.100
Bacteria_NZ_CP040094_31_length_87170_cov_101.258348||0_partial	0.967	0.000	0.967	dsDNAphage	19453	1	14.800	3.700
Bacteria_NZ_CP040094_124_length_1546_cov_180.734406||full	0.927	1.000	1.000	ssDNA	1522	0	66.700	0.000
Prophage_NZ_CP041372_5_length_213887_cov_61.337896||full	0.707	0.000	0.707	dsDNAphage	213648	13	20.400	27.700
Bacteria_NZ_CP041372_29_length_47159_cov_61.444782||full	0.993	0.000	0.993	dsDNAphage	46368	10	51.400	4.200
Bacteria_NZ_CP041372_31_length_31634_cov_124.389373||full	1.000	0.033	1.000	dsDNAphage	31535	12	56.900	3.900
Bacteria_NZ_CP041372_51_length_3864_cov_124.779995||full	1.000	0.113	1.000	dsDNAphage	3610	1	42.900	0.000
Bacteria_NZ_CP041372_55_length_1398_cov_178.584512||full	0.873	0.933	0.933	ssDNA	1216	0	66.700	0.000
Bacteria_NZ_CP048810_151_length_7424_cov_2.783824||full	0.920	0.000	0.920	dsDNAphage	7424	1	50.000	25.000
Bacteria_NZ_CP048810_181_length_6921_cov_3.373289||full	0.993	0.007	0.993	dsDNAphage	6920	4	62.500	25.000
Bacteria_NZ_CP048810_208_length_6626_cov_3.575407||full	0.967	0.060	0.967	dsDNAphage	6626	2	72.700	18.200
Bacteria_NZ_CP048810_210_length_6607_cov_3.439103||full	0.993	0.153	0.993	dsDNAphage	6605	6	53.800	0.000
Bacteria_NZ_CP048810_468_length_4376_cov_3.671372||full	0.987	0.040	0.987	dsDNAphage	4374	3	55.600	22.200
Bacteria_NZ_CP048810_506_length_4163_cov_3.276290||full	0.560	0.020	0.560	dsDNAphage	4114	0	28.600	14.300
Bacteria_NZ_CP048810_548_length_3870_cov_2.257143||full	1.000	0.047	1.000	dsDNAphage	3789	2	42.900	28.600
Bacteria_NZ_CP048810_549_length_3869_cov_2.920818||full	0.460	0.500	0.500	ssDNA	3866	0	50.000	0.000
Bacteria_NZ_CP048810_638_length_3408_cov_3.372502||full	0.540	0.293	0.540	dsDNAphage	3399	0	66.700	0.000
Bacteria_NZ_CP048810_692_length_3141_cov_3.660402||full	0.567	0.040	0.567	dsDNAphage	3006	0	28.600	14.300
Bacteria_NZ_CP048810_727_length_3019_cov_2.902497||full	0.700	0.107	0.700	dsDNAphage	3016	1	33.300	0.000
Bacteria_NZ_CP048810_799_length_2741_cov_2.462025||full	0.633	0.787	0.787	ssDNA	2739	0	25.000	0.000
Bacteria_NZ_CP048810_868_length_2457_cov_3.044546||full	0.627	0.360	0.627	dsDNAphage	1973	0	100.000	0.000
Bacteria_NZ_CP048810_903_length_2354_cov_3.535015||full	0.633	0.280	0.633	dsDNAphage	2352	0	33.300	0.000
Bacteria_NZ_CP048810_908_length_2347_cov_2.788831||full	0.740	0.193	0.740	dsDNAphage	2259	0	33.300	0.000
Bacteria_NZ_CP048810_933_length_2270_cov_2.257336||full	0.753	0.920	0.920	ssDNA	2269	0	33.300	0.000
Bacteria_NZ_CP048810_1014_length_2029_cov_3.166160||full	0.640	0.413	0.640	dsDNAphage	2028	0	66.700	0.000
Bacteria_NZ_CP048810_1022_length_2011_cov_2.232106||full	0.687	0.067	0.687	dsDNAphage	2010	0	50.000	25.000
Bacteria_NZ_CP048810_1113_length_1797_cov_3.095293||full	0.907	0.040	0.907	dsDNAphage	1629	1	66.700	33.300
Bacteria_NZ_CP048810_1136_length_1756_cov_2.512052||full	1.000	0.993	1.000	dsDNAphage	1753	3	100.000	0.000
Bacteria_NZ_CP048810_1150_length_1707_cov_3.253027||full	0.967	0.787	0.967	dsDNAphage	1705	0	25.000	0.000
Bacteria_NZ_CP048810_1179_length_1644_cov_3.466331||full	0.987	0.733	0.987	dsDNAphage	1584	1	100.000	0.000
Bacteria_NZ_CP048810_1219_length_1568_cov_4.082617||full	0.233	0.980	0.980	ssDNA	1407	0	50.000	0.000
Bacteria_NZ_CP053109_2_length_506193_cov_14.578969||0_partial	0.953	0.013	0.953	dsDNAphage	43292	5	32.800	12.500
Bacteria_NZ_CP053109_10_length_339546_cov_14.512700||0_partial	0.740	0.000	0.740	dsDNAphage	39289	4	21.200	24.200
Bacteria_NZ_CP053109_13_length_305929_cov_14.704359||0_partial	0.947	0.000	0.947	dsDNAphage	25751	1	21.600	9.800
Bacteria_NZ_CP053109_19_length_176281_cov_14.481876||0_partial	0.960	0.007	0.960	dsDNAphage	58841	5	27.300	6.100
Bacteria_NZ_CP053109_45_length_49751_cov_15.031572||full	0.813	0.000	0.813	dsDNAphage	48607	6	27.600	15.500
Bacteria_NZ_CP053109_89_length_1288_cov_187.730738||full	0.867	0.520	0.867	dsDNAphage	1184	0	100.000	0.000
Bacteria_NZ_CP053609_1_length_490283_cov_39.412781||0_partial	0.953	0.007	0.953	dsDNAphage	62849	15	47.500	22.500
Bacteria_NZ_CP053609_10_length_118060_cov_39.243303||0_partial	0.927	0.000	0.927	dsDNAphage	15243	2	44.400	22.200
Bacteria_NZ_CP061335_1_length_710683_cov_27.024409||0_partial	0.967	0.007	0.967	dsDNAphage	58295	11	40.200	19.500
Bacteria_NZ_CP061335_9_length_238117_cov_26.615751||0_partial	0.827	0.013	0.827	dsDNAphage	10870	1	29.400	47.100
Bacteria_NZ_CP061335_40_length_1419_cov_119.277859||full	0.467	0.887	0.887	ssDNA	1197	0	50.000	0.000
Bacteria_NZ_LR824639_1_length_483931_cov_64.527005||0_partial	0.907	0.000	0.907	dsDNAphage	25783	4	32.300	41.900
Phage_NC_047933_1_length_43183_cov_1036.697227||full	1.000	0.187	1.000	dsDNAphage	42928	9	61.800	0.000
Phage_NC_047954_1_length_46602_cov_28.362107||full	1.000	0.093	1.000	dsDNAphage	45596	7	63.300	0.000
Phage_NC_048168_1_length_43445_cov_745.792994||full	1.000	0.153	1.000	dsDNAphage	43392	14	92.600	0.000
Phage_NC_048639_1_length_41548_cov_69.407298||full	1.000	0.007	1.000	dsDNAphage	41356	6	67.600	5.900
Phage_NC_048639_2_length_14232_cov_66.657756||full	0.973	0.380	0.973	dsDNAphage	14021	0	48.000	0.000
Phage_NC_048639_3_length_11572_cov_68.486846||full	0.980	0.233	0.980	dsDNAphage	11570	0	43.500	0.000
Phage_NC_048641_1_length_40384_cov_342.490987||full	1.000	0.013	1.000	dsDNAphage	39992	11	63.300	6.700
Phage_NC_048675_1_length_66180_cov_106.799758||full	1.000	0.320	1.000	dsDNAphage	65218	26	97.800	0.000
Phage_NC_049976_1_length_18751_cov_431.874947||full	1.000	0.093	1.000	dsDNAphage	18292	5	60.000	0.000
