ID,Confidence,Predicted,True_Label,Contig_Length
VIRSorter_Phage_NC_047747_1_length_40338_cov_453_530546-circular,1,Viruses,Phage,40338
VIRSorter_Phage_NC_048168_1_length_43444_cov_423_196870,1,Viruses,Phage,43444
VIRSorter_Phage_NC_048641_1_length_40384_cov_439_053113,1,Viruses,Phage,40384
VIRSorter_Phage_NC_048675_1_length_66181_cov_276_520945,1,Viruses,Phage,66181
VIRSorter_Bacteria_NZ_CP041372_25_length_47159_cov_57_817510,2,Viruses,Bacteria,47159
VIRSorter_Bacteria_NZ_CP041372_28_length_31632_cov_117_199132,2,Viruses,Bacteria,31632
VIRSorter_Phage_NC_047933_1_length_43183_cov_423_500649,2,Viruses,Phage,43183
VIRSorter_Phage_NC_047954_1_length_46642_cov_392_224870,2,Viruses,Phage,46642
VIRSorter_Phage_NC_048639_1_length_44791_cov_257_128398,2,Viruses,Phage,44791
VIRSorter_Phage_NC_048639_2_length_14249_cov_250_890517,2,Viruses,Phage,14249
VIRSorter_Phage_NC_048639_3_length_11572_cov_262_246332,2,Viruses,Phage,11572
VIRSorter_Phage_NC_048706_1_length_45935_cov_398_210920-circular,2,Viruses,Phage,45935
VIRSorter_Phage_NC_049456_1_length_75471_cov_242_199016-circular,2,Viruses,Phage,75471
VIRSorter_Phage_NC_049976_1_length_18751_cov_977_517062,2,Viruses,Phage,18751
