ID,Confidence,Predicted,True_Label,Contig_Length
VIRSorter_Phage_NC_047764_1_length_73780_cov_247_777660,1,Viruses,Phage,73780
VIRSorter_Phage_NC_048698_1_length_41814_cov_437_473335,1,Viruses,Phage,41814
VIRSorter_Phage_NC_048806_1_length_65688_cov_278_348179,1,Viruses,Phage,65688
VIRSorter_Bacteria_NZ_CP040586_29_length_14995_cov_105_634270,2,Viruses,Bacteria,14995
VIRSorter_Bacteria_NZ_CP045702_24_length_122012_cov_36_243381,2,Viruses,Bacteria,122012
VIRSorter_Bacteria_NZ_CP059603_13_length_42632_cov_108_418583,2,Viruses,Bacteria,42632
VIRSorter_Bacteria_NZ_CP059603_20_length_4854_cov_222_067306,2,Viruses,Bacteria,4854
VIRSorter_Phage_NC_048099_1_length_38314_cov_477_559842,2,Viruses,Phage,38314
VIRSorter_Phage_NC_048166_1_length_88401_cov_206_791354,2,Viruses,Phage,88401
VIRSorter_Phage_NC_048639_1_length_44791_cov_257_128398,2,Viruses,Phage,44791
VIRSorter_Phage_NC_048639_2_length_14249_cov_250_890517,2,Viruses,Phage,14249
VIRSorter_Phage_NC_048639_3_length_11572_cov_262_246332,2,Viruses,Phage,11572
VIRSorter_Phage_NC_048739_1_length_19678_cov_931_210416,2,Viruses,Phage,19678
VIRSorter_Phage_NC_049478_1_length_60199_cov_303_756484,2,Viruses,Phage,60199
VIRSorter_Phage_NC_049972_1_length_18931_cov_967_807904,2,Viruses,Phage,18931
