ID,Confidence,Predicted,True_Label,Contig_Length
VIRSorter_Bacteria_NZ_CP044546_177_length_11613_cov_4_571293,1,Viruses,Bacteria,11613
VIRSorter_Bacteria_NZ_CP044546_381_length_5065_cov_3_997405,1,Viruses,Bacteria,5065
VIRSorter_Bacteria_NZ_CP051857_139_length_5235_cov_2_621042,1,Viruses,Bacteria,5235
VIRSorter_Bacteria_NZ_CP051857_203_length_4566_cov_3_122811,1,Viruses,Bacteria,4566
VIRSorter_Bacteria_NZ_CP054880_216_length_7803_cov_3_997161,1,Viruses,Bacteria,7803
VIRSorter_Bacteria_NZ_CP054880_372_length_5671_cov_3_365385,1,Viruses,Bacteria,5671
VIRSorter_Bacteria_NZ_CP054880_399_length_5391_cov_3_244753,1,Viruses,Bacteria,5391
VIRSorter_Bacteria_NZ_CP054880_529_length_4156_cov_3_252134,1,Viruses,Bacteria,4156
VIRSorter_Bacteria_NZ_CP054929_219_length_4555_cov_3_438222,1,Viruses,Bacteria,4555
VIRSorter_Bacteria_NZ_CP054929_837_length_2695_cov_3_140530,1,Viruses,Bacteria,2695
VIRSorter_Bacteria_NZ_CP058556_328_length_2338_cov_2_492773,1,Viruses,Bacteria,2338
VIRSorter_Bacteria_NZ_CP058556_826_length_1659_cov_2_326683,1,Viruses,Bacteria,1659
VIRSorter_Bacteria_NZ_CP060404_8_length_6211_cov_2_457927,1,Viruses,Bacteria,6211
VIRSorter_Phage_NC_047794_1_length_39414_cov_20_196880,1,Viruses,Phage,39414
VIRSorter_Phage_NC_048085_2_length_8830_cov_26_244103,1,Viruses,Phage,8830
VIRSorter_Phage_NC_048168_1_length_43400_cov_23_130188,1,Viruses,Phage,43400
VIRSorter_Phage_NC_048192_1_length_43009_cov_27_646925,1,Viruses,Phage,43009
VIRSorter_Phage_NC_048624_1_length_42453_cov_25_612340,1,Viruses,Phage,42453
VIRSorter_Phage_NC_048628_1_length_42892_cov_22_553447,1,Viruses,Phage,42892
VIRSorter_Phage_NC_048681_1_length_38054_cov_7_713966,1,Viruses,Phage,38054
VIRSorter_Phage_NC_048711_1_length_43173_cov_132_737697,1,Viruses,Phage,43173
VIRSorter_Phage_NC_048737_1_length_40654_cov_28_869553,1,Viruses,Phage,40654
