ID,Predicted_Label,Contig_Length,True_Label
Prophage_NZ_AP023189_1_length_552821_cov_17.852668,negative,552821,Prophage
Bacteria_NZ_AP023189_2_length_485259_cov_18.239423,negative,485259,Bacteria
Bacteria_NZ_AP023189_3_length_448338_cov_17.672508,negative,448338,Bacteria
Bacteria_NZ_AP023189_4_length_389569_cov_18.101190,negative,389569,Bacteria
Bacteria_NZ_AP023189_5_length_252612_cov_18.122950,negative,252612,Bacteria
Bacteria_NZ_AP023189_6_length_236446_cov_17.273361,negative,236446,Bacteria
Prophage_NZ_AP023189_7_length_222801_cov_18.398297,negative,222801,Prophage
Bacteria_NZ_AP023189_8_length_221781_cov_17.820211,negative,221781,Bacteria
Bacteria_NZ_AP023189_9_length_209597_cov_17.635777,negative,209597,Bacteria
Bacteria_NZ_AP023189_10_length_208577_cov_17.830056,negative,208577,Bacteria
Bacteria_NZ_AP023189_11_length_199806_cov_17.697619,negative,199806,Bacteria
Bacteria_NZ_AP023189_12_length_197007_cov_18.333894,negative,197007,Bacteria
Bacteria_NZ_AP023189_13_length_180760_cov_18.151501,negative,180760,Bacteria
Bacteria_NZ_AP023189_14_length_176290_cov_17.662553,negative,176290,Bacteria
Bacteria_NZ_AP023189_15_length_170523_cov_18.686258,negative,170523,Bacteria
Bacteria_NZ_AP023189_16_length_161496_cov_17.713443,negative,161496,Bacteria
Bacteria_NZ_AP023189_17_length_151366_cov_17.500644,negative,151366,Bacteria
Bacteria_NZ_AP023189_18_length_148066_cov_17.580315,negative,148066,Bacteria
Bacteria_NZ_AP023189_19_length_139354_cov_17.732044,negative,139354,Bacteria
Bacteria_NZ_AP023189_20_length_123296_cov_17.991091,negative,123296,Bacteria
Bacteria_NZ_AP023189_21_length_116254_cov_17.478971,negative,116254,Bacteria
Bacteria_NZ_AP023189_22_length_110005_cov_18.088759,negative,110005,Bacteria
Bacteria_NZ_AP023189_23_length_100867_cov_17.925247,negative,100867,Bacteria
Bacteria_NZ_AP023189_24_length_98577_cov_17.753903,negative,98577,Bacteria
Bacteria_NZ_AP023189_25_length_95957_cov_17.864633,negative,95957,Bacteria
Bacteria_NZ_AP023189_26_length_92726_cov_18.171801,negative,92726,Bacteria
Bacteria_NZ_AP023189_27_length_90953_cov_18.392638,negative,90953,Bacteria
Bacteria_NZ_AP023189_28_length_68040_cov_17.774730,negative,68040,Bacteria
Bacteria_NZ_AP023189_29_length_66649_cov_17.725336,negative,66649,Bacteria
Bacteria_NZ_AP023189_30_length_64536_cov_18.417658,negative,64536,Bacteria
Bacteria_NZ_AP023189_31_length_64308_cov_18.387966,negative,64308,Bacteria
Bacteria_NZ_AP023189_32_length_62172_cov_17.335415,negative,62172,Bacteria
Bacteria_NZ_AP023189_33_length_59547_cov_17.630118,negative,59547,Bacteria
Bacteria_NZ_AP023189_34_length_59270_cov_17.587554,negative,59270,Bacteria
Bacteria_NZ_AP023189_35_length_54322_cov_18.395673,negative,54322,Bacteria
Bacteria_NZ_AP023189_36_length_54304_cov_17.804531,negative,54304,Bacteria
Bacteria_NZ_AP023189_37_length_51145_cov_18.402153,negative,51145,Bacteria
Bacteria_NZ_AP023189_38_length_45308_cov_18.318631,negative,45308,Bacteria
Bacteria_NZ_AP023189_39_length_43164_cov_17.528010,negative,43164,Bacteria
Bacteria_NZ_AP023189_40_length_42703_cov_17.698345,negative,42703,Bacteria
Bacteria_NZ_AP023189_41_length_42467_cov_19.490993,negative,42467,Bacteria
Bacteria_NZ_AP023189_42_length_41718_cov_18.565130,negative,41718,Bacteria
Bacteria_NZ_AP023189_43_length_40969_cov_17.462776,negative,40969,Bacteria
Bacteria_NZ_AP023189_44_length_39772_cov_17.828889,negative,39772,Bacteria
Bacteria_NZ_AP023189_45_length_39752_cov_17.340026,phage,39752,Bacteria
Bacteria_NZ_AP023189_46_length_36738_cov_21.105171,negative,36738,Bacteria
Bacteria_NZ_AP023189_47_length_33461_cov_17.794917,negative,33461,Bacteria
Bacteria_NZ_AP023189_48_length_30875_cov_18.248670,negative,30875,Bacteria
Bacteria_NZ_AP023189_49_length_24044_cov_17.618742,negative,24044,Bacteria
Bacteria_NZ_AP023189_50_length_18840_cov_17.351557,negative,18840,Bacteria
Bacteria_NZ_AP023189_51_length_17894_cov_18.300577,negative,17894,Bacteria
Bacteria_NZ_AP023189_52_length_15415_cov_17.236003,negative,15415,Bacteria
Prophage_NZ_AP023189_53_length_8405_cov_18.319880,phage,8405,Prophage
Prophage_NZ_AP023189_54_length_8348_cov_18.755577,phage,8348,Prophage
Prophage_NZ_AP023189_55_length_7751_cov_33.585629,phage,7751,Prophage
Bacteria_NZ_AP023189_56_length_7469_cov_17.733207,phage,7469,Bacteria
Bacteria_NZ_AP023189_57_length_6555_cov_17.227846,negative,6555,Bacteria
Bacteria_NZ_AP023189_58_length_5469_cov_69.042298,phage,5469,Bacteria
Bacteria_NZ_AP023189_59_length_5254_cov_14.916138,negative,5254,Bacteria
Bacteria_NZ_AP023189_60_length_4529_cov_37.957309,phage,4529,Bacteria
Prophage_NZ_AP023189_61_length_2864_cov_39.145603,phage,2864,Prophage
Bacteria_NZ_AP023189_62_length_2605_cov_51.820392,negative,2605,Bacteria
Bacteria_NZ_AP023189_63_length_2369_cov_49.472774,negative,2369,Bacteria
Prophage_NZ_AP023189_64_length_1833_cov_38.915636,phage,1833,Prophage
Bacteria_NZ_AP023189_65_length_1313_cov_87.258347,phage,1313,Bacteria
Bacteria_NZ_AP023189_66_length_1209_cov_18.701040,negative,1209,Bacteria
Prophage_NZ_AP023189_67_length_1181_cov_25.899645,negative,1181,Prophage
Prophage_NZ_AP023189_68_length_1181_cov_24.099467,negative,1181,Prophage
Bacteria_NZ_AP023440_1_length_938091_cov_12.168014,negative,938091,Bacteria
Bacteria_NZ_AP023440_2_length_588390_cov_12.483167,negative,588390,Bacteria
Bacteria_NZ_AP023440_3_length_479355_cov_12.424225,negative,479355,Bacteria
Bacteria_NZ_AP023440_4_length_464961_cov_12.334678,negative,464961,Bacteria
Bacteria_NZ_AP023440_5_length_434139_cov_12.284247,negative,434139,Bacteria
Bacteria_NZ_AP023440_6_length_429158_cov_12.304151,negative,429158,Bacteria
Bacteria_NZ_AP023440_7_length_418561_cov_12.042384,negative,418561,Bacteria
Bacteria_NZ_AP023440_8_length_406534_cov_12.380462,negative,406534,Bacteria
Bacteria_NZ_AP023440_9_length_401370_cov_11.848172,negative,401370,Bacteria
Bacteria_NZ_AP023440_10_length_373383_cov_12.010763,negative,373383,Bacteria
Bacteria_NZ_AP023440_11_length_370637_cov_12.310328,negative,370637,Bacteria
Bacteria_NZ_AP023440_12_length_362246_cov_12.269126,negative,362246,Bacteria
Bacteria_NZ_AP023440_13_length_317011_cov_12.503530,negative,317011,Bacteria
Bacteria_NZ_AP023440_14_length_295284_cov_11.899238,negative,295284,Bacteria
Bacteria_NZ_AP023440_15_length_287877_cov_12.364611,negative,287877,Bacteria
Bacteria_NZ_AP023440_16_length_270270_cov_11.700216,negative,270270,Bacteria
Bacteria_NZ_AP023440_17_length_254843_cov_12.024738,negative,254843,Bacteria
Bacteria_NZ_AP023440_18_length_184001_cov_11.840535,negative,184001,Bacteria
Bacteria_NZ_AP023440_19_length_175319_cov_12.470713,negative,175319,Bacteria
Bacteria_NZ_AP023440_20_length_173810_cov_12.078542,negative,173810,Bacteria
Bacteria_NZ_AP023440_21_length_160175_cov_11.990819,negative,160175,Bacteria
Bacteria_NZ_AP023440_22_length_145729_cov_12.250759,negative,145729,Bacteria
Bacteria_NZ_AP023440_23_length_120556_cov_12.223865,negative,120556,Bacteria
Bacteria_NZ_AP023440_24_length_119535_cov_12.267350,negative,119535,Bacteria
Bacteria_NZ_AP023440_25_length_116376_cov_12.154495,negative,116376,Bacteria
Bacteria_NZ_AP023440_26_length_115898_cov_12.429253,negative,115898,Bacteria
Bacteria_NZ_AP023440_27_length_114376_cov_12.078682,negative,114376,Bacteria
Bacteria_NZ_AP023440_28_length_106965_cov_12.271574,negative,106965,Bacteria
Bacteria_NZ_AP023440_29_length_106346_cov_12.156711,negative,106346,Bacteria
Bacteria_NZ_AP023440_30_length_99759_cov_12.099645,negative,99759,Bacteria
Bacteria_NZ_AP023440_31_length_96991_cov_12.128683,negative,96991,Bacteria
