ID,Confidence,Predicted,True_Label,Contig_Length
VIRSorter_Phage_NC_047792_1_length_37814_cov_96_764692,1,Viruses,Phage,37814
VIRSorter_Phage_NC_047794_1_length_39516_cov_92_644434,1,Viruses,Phage,39516
VIRSorter_Phage_NC_048085_2_length_8830_cov_24_952365,1,Viruses,Phage,8830
VIRSorter_Phage_NC_048135_1_length_39745_cov_92_094281-circular,1,Viruses,Phage,39745
VIRSorter_Phage_NC_048168_1_length_43429_cov_84_688362,1,Viruses,Phage,43429
VIRSorter_Phage_NC_048192_1_length_43009_cov_85_054989,1,Viruses,Phage,43009
VIRSorter_Phage_NC_048624_1_length_42457_cov_86_221216,1,Viruses,Phage,42457
VIRSorter_Phage_NC_048628_1_length_42908_cov_85_256761,1,Viruses,Phage,42908
VIRSorter_Phage_NC_048657_1_length_43500_cov_84_126712,1,Viruses,Phage,43500
VIRSorter_Phage_NC_048681_1_length_38569_cov_94_837150-circular,1,Viruses,Phage,38569
VIRSorter_Phage_NC_048711_1_length_43164_cov_84_801109,1,Viruses,Phage,43164
VIRSorter_Phage_NC_048737_1_length_40705_cov_89_897958,1,Viruses,Phage,40705
VIRSorter_Phage_NC_048745_1_length_66066_cov_55_338534,1,Viruses,Phage,66066
VIRSorter_Phage_NC_049962_1_length_27196_cov_134_588335,1,Viruses,Phage,27196
VIRSorter_Phage_NC_049964_1_length_26055_cov_140_522385,1,Viruses,Phage,26055
VIRSorter_Phage_NC_050143_1_length_60717_cov_60_263625,1,Viruses,Phage,60717
VIRSorter_Phage_NC_050144_1_length_65597_cov_55_736581-circular,1,Viruses,Phage,65597
VIRSorter_Prophage_NZ_AP023189_94_length_7751_cov_15_462838,1,Viruses,Prophage,7751
VIRSorter_Bacteria_NZ_AP023440_175_length_17825_cov_5_424311,2,Viruses,Bacteria,17825
VIRSorter_Bacteria_NZ_AP023440_268_length_7491_cov_4_853281,2,Viruses,Bacteria,7491
VIRSorter_Bacteria_NZ_CP048882_78_length_19790_cov_7_301292,2,Viruses,Bacteria,19790
VIRSorter_Bacteria_NZ_CP054929_23_length_72729_cov_6_116589,2,Viruses,Bacteria,72729
VIRSorter_Bacteria_NZ_CP054929_8_length_119620_cov_6_319659,2,Viruses,Bacteria,119620
VIRSorter_Bacteria_NZ_CP056030_81_length_14174_cov_11_024860,2,Viruses,Bacteria,14174
VIRSorter_Bacteria_NZ_CP059567_36_length_24103_cov_30_963323,2,Viruses,Bacteria,24103
VIRSorter_Bacteria_NZ_CP059856_38_length_40346_cov_20_653670,2,Viruses,Bacteria,40346
VIRSorter_Bacteria_NZ_CP061072_122_length_16315_cov_6_297663,2,Viruses,Bacteria,16315
VIRSorter_Bacteria_NZ_CP061769_21_length_37529_cov_25_961520,2,Viruses,Bacteria,37529
VIRSorter_Bacteria_NZ_CP062156_31_length_21307_cov_14_391493,2,Viruses,Bacteria,21307
VIRSorter_Bacteria_NZ_CP063374_110_length_12366_cov_7_663715,2,Viruses,Bacteria,12366
VIRSorter_Bacteria_NZ_CP063374_113_length_12132_cov_7_292043,2,Viruses,Bacteria,12132
VIRSorter_Bacteria_NZ_CP063374_143_length_3058_cov_7_670663,2,Viruses,Bacteria,3058
VIRSorter_Bacteria_NZ_CP063374_32_length_81327_cov_6_921166,2,Viruses,Bacteria,81327
VIRSorter_Phage_NC_047859_1_length_108713_cov_33_537153-circular,2,Viruses,Phage,108713
VIRSorter_Phage_NC_047906_1_length_42866_cov_85_310271,2,Viruses,Phage,42866
VIRSorter_Phage_NC_047918_1_length_81053_cov_45_103546,2,Viruses,Phage,81053
VIRSorter_Phage_NC_047933_1_length_43167_cov_84_756796,2,Viruses,Phage,43167
VIRSorter_Phage_NC_048009_1_length_110063_cov_33_203885,2,Viruses,Phage,110063
VIRSorter_Phage_NC_048062_1_length_114218_cov_31_989935,2,Viruses,Phage,114218
VIRSorter_Phage_NC_048085_1_length_131503_cov_26_097263,2,Viruses,Phage,131503
VIRSorter_Phage_NC_048096_1_length_44089_cov_83_027206,2,Viruses,Phage,44089
VIRSorter_Phage_NC_048110_1_length_111796_cov_32_697309,2,Viruses,Phage,111796
VIRSorter_Phage_NC_048139_1_length_83148_cov_44_001853,2,Viruses,Phage,83148
