ID,Confidence,Predicted,True_Label,Contig_Length
VIRSorter_Bacteria_NZ_AP023239_126_length_9571_cov_4_402690,1,Viruses,Bacteria,9571
VIRSorter_Bacteria_NZ_CP056269_182_length_9065_cov_3_946393,1,Viruses,Bacteria,9065
VIRSorter_Bacteria_NZ_CP056269_366_length_4964_cov_4_367692,1,Viruses,Bacteria,4964
VIRSorter_Bacteria_NZ_CP056269_602_length_2112_cov_4_625182,1,Viruses,Bacteria,2112
VIRSorter_Bacteria_NZ_CP056284_108_length_16847_cov_5_517806,1,Viruses,Bacteria,16847
VIRSorter_Bacteria_NZ_CP056284_144_length_12083_cov_10_100682,1,Viruses,Bacteria,12083
VIRSorter_Bacteria_NZ_CP056284_184_length_9263_cov_4_404974,1,Viruses,Bacteria,9263
VIRSorter_Bacteria_NZ_CP056284_239_length_6221_cov_8_520110,1,Viruses,Bacteria,6221
VIRSorter_Bacteria_NZ_CP056284_240_length_6194_cov_9_087474,1,Viruses,Bacteria,6194
VIRSorter_Bacteria_NZ_CP056284_247_length_6025_cov_4_136683,1,Viruses,Bacteria,6025
VIRSorter_Bacteria_NZ_CP056284_260_length_5259_cov_4_529593,1,Viruses,Bacteria,5259
VIRSorter_Bacteria_NZ_CP056284_263_length_5173_cov_4_431223,1,Viruses,Bacteria,5173
VIRSorter_Bacteria_NZ_CP056284_274_length_4778_cov_3_639848,1,Viruses,Bacteria,4778
VIRSorter_Bacteria_NZ_CP056284_303_length_3212_cov_3_821033,1,Viruses,Bacteria,3212
VIRSorter_Bacteria_NZ_CP056284_314_length_2847_cov_4_412966,1,Viruses,Bacteria,2847
VIRSorter_Bacteria_NZ_CP056284_319_length_2664_cov_4_063243,1,Viruses,Bacteria,2664
VIRSorter_Bacteria_NZ_CP056284_95_length_18558_cov_5_121170,1,Viruses,Bacteria,18558
VIRSorter_Bacteria_NZ_CP056834_113_length_4053_cov_3_364182,1,Viruses,Bacteria,4053
VIRSorter_Bacteria_NZ_CP056834_140_length_3782_cov_2_616850,1,Viruses,Bacteria,3782
VIRSorter_Bacteria_NZ_CP056834_445_length_2281_cov_1_851752,1,Viruses,Bacteria,2281
VIRSorter_Bacteria_NZ_CP058556_231_length_3386_cov_2_489943,1,Viruses,Bacteria,3386
VIRSorter_Bacteria_NZ_CP058556_450_length_2675_cov_3_065649,1,Viruses,Bacteria,2675
VIRSorter_Bacteria_NZ_CP058556_870_length_1947_cov_3_202431,1,Viruses,Bacteria,1947
VIRSorter_Phage_NC_047826_1_length_40050_cov_265_494637-circular,1,Viruses,Phage,40050
