seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
Bacteria_NZ_CP053841_17_length_8408_cov_7.913444||full	1.000	0.060	1.000	dsDNAphage	8316	5	60.000	10.000
Bacteria_NZ_CP053841_22_length_2928_cov_10.444831||full	0.987	0.800	0.987	dsDNAphage	2853	0	100.000	0.000
Phage_NC_047773_1_length_41156_cov_146.615873||full	1.000	0.213	1.000	dsDNAphage	41101	11	92.000	0.000
Phage_NC_047783_1_length_44486_cov_26.611983||full	0.987	0.100	0.987	dsDNAphage	44014	8	70.200	0.000
Phage_NC_047798_1_length_40994_cov_35.748211||full	1.000	0.207	1.000	dsDNAphage	40939	11	91.700	0.000
Phage_NC_047827_1_length_40327_cov_21.943782||full	1.000	0.187	1.000	dsDNAphage	40272	15	83.300	0.000
Phage_NC_047859_1_length_108713_cov_14.364566||full	1.000	0.273	1.000	dsDNAphage	108663	14	93.400	0.000
Phage_NC_048002_1_length_39763_cov_15.929460||full	0.993	0.193	0.993	dsDNAphage	39708	12	77.100	0.000
Phage_NC_048143_1_length_49084_cov_41.310877||full	1.000	0.240	1.000	dsDNAphage	48803	15	74.000	0.000
Phage_NC_048686_1_length_45874_cov_28.614505||full	0.993	0.000	0.993	dsDNAphage	45745	1	34.400	3.300
Phage_NC_048700_1_length_73330_cov_14.245568||full	1.000	0.180	1.000	dsDNAphage	73275	7	76.600	0.000
Phage_NC_049832_1_length_49992_cov_131.244248||full	0.993	0.140	0.993	dsDNAphage	49937	15	94.800	0.000
Phage_NC_050144_1_length_65597_cov_60.183379||full	1.000	0.260	1.000	dsDNAphage	65542	26	97.800	0.000
Bacteria_NZ_CP060008_208_length_2320_cov_1.895364||full	0.607	0.073	0.607	dsDNAphage	2318	0	50.000	25.000
Bacteria_NZ_CP060008_321_length_2025_cov_2.061421||full	0.853	0.807	0.853	dsDNAphage	2024	0	100.000	0.000
Bacteria_NZ_CP060008_330_length_2004_cov_2.622884||full	0.480	0.827	0.827	ssDNA	2003	0	25.000	0.000
Bacteria_NZ_CP060008_376_length_1925_cov_2.366845||full	0.953	0.860	0.953	dsDNAphage	1786	1	33.300	0.000
Bacteria_NZ_CP060008_382_length_1916_cov_1.518538||full	0.913	0.113	0.913	dsDNAphage	1887	2	75.000	25.000
Bacteria_NZ_CP060008_480_length_1728_cov_1.897788||full	0.967	0.453	0.967	dsDNAphage	1726	3	100.000	0.000
Bacteria_NZ_CP060008_530_length_1659_cov_1.670823||full	0.407	0.520	0.520	ssDNA	1657	0	33.300	0.000
Bacteria_NZ_CP060008_532_length_1656_cov_2.356652||full	0.687	0.160	0.687	dsDNAphage	1656	0	60.000	20.000
Bacteria_NZ_CP060008_578_length_1607_cov_2.518686||full	0.553	0.800	0.800	ssDNA	1605	0	33.300	0.000
Bacteria_NZ_CP060008_585_length_1597_cov_1.649157||full	0.673	0.913	0.913	ssDNA	1593	0	50.000	0.000
Bacteria_NZ_CP060008_595_length_1585_cov_2.024837||full	0.447	0.847	0.847	ssDNA	1584	0	33.300	0.000
Bacteria_NZ_CP060008_622_length_1548_cov_1.924983||full	0.793	0.240	0.793	dsDNAphage	1548	0	50.000	25.000
Bacteria_NZ_CP060008_637_length_1521_cov_1.977490||full	0.500	0.053	0.500	dsDNAphage	1519	0	33.300	0.000
Bacteria_NZ_CP060008_687_length_1457_cov_2.170471||full	0.727	0.833	0.833	ssDNA	1451	0	50.000	0.000
Bacteria_NZ_CP060008_808_length_1301_cov_1.391653||full	0.967	0.953	0.967	dsDNAphage	1301	3	100.000	0.000
Bacteria_NZ_CP060008_902_length_1187_cov_1.627208||full	0.933	1.000	1.000	ssDNA	901	0	50.000	0.000
