ID,True_Label,Contig_Length,Assigned_TaxID,Predicted_Label
Bacteria_NZ_CP030047_1_length_2524254_cov_60.377954,Bacteria,2524254,2057741,Bacteria
Bacteria_NZ_CP030047_2_length_2042484_cov_60.619525,Bacteria,2042484,2057741,Bacteria
Bacteria_NZ_CP030047_3_length_1471167_cov_60.955068,Bacteria,1471167,2057741,Bacteria
Bacteria_NZ_CP030047_4_length_843779_cov_58.976849,Bacteria,843779,2057741,Bacteria
Bacteria_NZ_CP030047_5_length_716767_cov_60.556955,Bacteria,716767,2057741,Bacteria
Bacteria_NZ_CP030047_6_length_516603_cov_58.773793,Bacteria,516603,2057741,Bacteria
Bacteria_NZ_CP030047_7_length_286303_cov_59.550799,Bacteria,286303,2057741,Bacteria
Bacteria_NZ_CP030047_9_length_215781_cov_58.828634,Bacteria,215781,2057741,Bacteria
Bacteria_NZ_CP030047_13_length_51723_cov_60.069482,Bacteria,51723,2057741,Bacteria
Bacteria_NZ_CP030047_8_length_261759_cov_58.898015,Bacteria,261759,1274631,Bacteria
Bacteria_NZ_CP030047_10_length_136781_cov_59.169990,Bacteria,136781,1355477,Bacteria
Bacteria_NZ_CP030047_11_length_91941_cov_58.124078,Bacteria,91941,1355477,Bacteria
Bacteria_NZ_CP030047_12_length_74797_cov_60.139881,Bacteria,74797,224911,Bacteria
Bacteria_NZ_CP030047_14_length_2751_cov_182.057493,Bacteria,2751,288000,Bacteria
Bacteria_NZ_CP030047_15_length_1637_cov_114.674463,Bacteria,1637,2018025,Bacteria
Bacteria_NZ_CP040094_1_length_247320_cov_12.067470,Bacteria,247320,63737,Bacteria
Bacteria_NZ_CP040094_2_length_215264_cov_10.070954,Bacteria,215264,63737,Bacteria
Bacteria_NZ_CP040094_3_length_177917_cov_9.464264,Bacteria,177917,63737,Bacteria
Bacteria_NZ_CP040094_4_length_162173_cov_9.496965,Bacteria,162173,63737,Bacteria
Bacteria_NZ_CP040094_5_length_157950_cov_9.330498,Bacteria,157950,63737,Bacteria
Bacteria_NZ_CP040094_6_length_148978_cov_9.749689,Bacteria,148978,63737,Bacteria
Bacteria_NZ_CP040094_7_length_137210_cov_9.297342,Bacteria,137210,63737,Bacteria
Bacteria_NZ_CP040094_8_length_128041_cov_9.517142,Bacteria,128041,63737,Bacteria
Bacteria_NZ_CP040094_9_length_126963_cov_9.335314,Bacteria,126963,63737,Bacteria
Bacteria_NZ_CP040094_10_length_108192_cov_9.334964,Bacteria,108192,63737,Bacteria
Bacteria_NZ_CP040094_11_length_107884_cov_12.659795,Bacteria,107884,63737,Bacteria
Bacteria_NZ_CP040094_12_length_106336_cov_9.571748,Bacteria,106336,63737,Bacteria
Bacteria_NZ_CP040094_13_length_102754_cov_9.880973,Bacteria,102754,63737,Bacteria
Bacteria_NZ_CP040094_14_length_101576_cov_9.247988,Bacteria,101576,63737,Bacteria
Bacteria_NZ_CP040094_15_length_101360_cov_9.213020,Bacteria,101360,63737,Bacteria
Bacteria_NZ_CP040094_16_length_94797_cov_9.461369,Bacteria,94797,63737,Bacteria
Bacteria_NZ_CP040094_17_length_92860_cov_12.454372,Bacteria,92860,63737,Bacteria
Bacteria_NZ_CP040094_18_length_88711_cov_9.309624,Bacteria,88711,63737,Bacteria
Bacteria_NZ_CP040094_19_length_88327_cov_9.362403,Bacteria,88327,63737,Bacteria
Bacteria_NZ_CP040094_20_length_87170_cov_9.520852,Bacteria,87170,63737,Bacteria
Bacteria_NZ_CP040094_21_length_86813_cov_9.184559,Bacteria,86813,63737,Bacteria
Bacteria_NZ_CP040094_22_length_85655_cov_9.181729,Bacteria,85655,63737,Bacteria
Bacteria_NZ_CP040094_23_length_82255_cov_9.614051,Bacteria,82255,63737,Bacteria
Bacteria_NZ_CP040094_24_length_81709_cov_9.527372,Bacteria,81709,63737,Bacteria
Bacteria_NZ_CP040094_25_length_80762_cov_9.084255,Bacteria,80762,63737,Bacteria
Bacteria_NZ_CP040094_26_length_78721_cov_10.033127,Bacteria,78721,63737,Bacteria
Bacteria_NZ_CP040094_27_length_78688_cov_14.464093,Bacteria,78688,63737,Bacteria
Bacteria_NZ_CP040094_28_length_75994_cov_9.530360,Bacteria,75994,63737,Bacteria
Bacteria_NZ_CP040094_29_length_75347_cov_9.682463,Bacteria,75347,63737,Bacteria
Bacteria_NZ_CP040094_30_length_75335_cov_9.388802,Bacteria,75335,63737,Bacteria
Bacteria_NZ_CP040094_31_length_73966_cov_8.804075,Bacteria,73966,63737,Bacteria
Bacteria_NZ_CP040094_32_length_71575_cov_9.924427,Bacteria,71575,63737,Bacteria
Bacteria_NZ_CP040094_33_length_70762_cov_9.615498,Bacteria,70762,63737,Bacteria
Bacteria_NZ_CP040094_34_length_70372_cov_9.234339,Bacteria,70372,63737,Bacteria
Bacteria_NZ_CP040094_35_length_69435_cov_9.239983,Bacteria,69435,63737,Bacteria
Bacteria_NZ_CP040094_36_length_66248_cov_10.275996,Bacteria,66248,63737,Bacteria
Bacteria_NZ_CP040094_37_length_64018_cov_9.200741,Bacteria,64018,63737,Bacteria
Bacteria_NZ_CP040094_38_length_63369_cov_9.166172,Bacteria,63369,63737,Bacteria
Bacteria_NZ_CP040094_39_length_63316_cov_14.459541,Bacteria,63316,63737,Bacteria
Bacteria_NZ_CP040094_40_length_59698_cov_9.475479,Bacteria,59698,63737,Bacteria
Bacteria_NZ_CP040094_41_length_57507_cov_10.167322,Bacteria,57507,63737,Bacteria
Bacteria_NZ_CP040094_42_length_56773_cov_9.492524,Bacteria,56773,63737,Bacteria
Bacteria_NZ_CP040094_43_length_56261_cov_16.972814,Bacteria,56261,63737,Bacteria
Bacteria_NZ_CP040094_44_length_55964_cov_9.847466,Bacteria,55964,63737,Bacteria
Bacteria_NZ_CP040094_45_length_55847_cov_10.196121,Bacteria,55847,63737,Bacteria
Bacteria_NZ_CP040094_46_length_54249_cov_17.341846,Bacteria,54249,63737,Bacteria
Bacteria_NZ_CP040094_47_length_53904_cov_9.489127,Bacteria,53904,63737,Bacteria
Bacteria_NZ_CP040094_48_length_53659_cov_16.921722,Bacteria,53659,63737,Bacteria
Bacteria_NZ_CP040094_49_length_52200_cov_8.930425,Bacteria,52200,63737,Bacteria
Bacteria_NZ_CP040094_50_length_51748_cov_9.705163,Bacteria,51748,63737,Bacteria
Bacteria_NZ_CP040094_51_length_51724_cov_9.204475,Bacteria,51724,63737,Bacteria
Bacteria_NZ_CP040094_52_length_51313_cov_16.466834,Bacteria,51313,63737,Bacteria
Bacteria_NZ_CP040094_53_length_51068_cov_9.501892,Bacteria,51068,63737,Bacteria
Bacteria_NZ_CP040094_54_length_50520_cov_9.693907,Bacteria,50520,63737,Bacteria
Bacteria_NZ_CP040094_55_length_50279_cov_16.721886,Bacteria,50279,63737,Bacteria
Bacteria_NZ_CP040094_56_length_49042_cov_10.530773,Bacteria,49042,63737,Bacteria
Bacteria_NZ_CP040094_57_length_49017_cov_9.069278,Bacteria,49017,63737,Bacteria
Bacteria_NZ_CP040094_58_length_48871_cov_9.752704,Bacteria,48871,63737,Bacteria
Bacteria_NZ_CP040094_59_length_48447_cov_10.084001,Bacteria,48447,63737,Bacteria
Bacteria_NZ_CP040094_60_length_48255_cov_9.705705,Bacteria,48255,63737,Bacteria
Bacteria_NZ_CP040094_61_length_48011_cov_16.780299,Bacteria,48011,63737,Bacteria
