ID,Predicted_Label,Contig_Length,True_Label
Bacteria_NZ_CP040586_1_length_447240_cov_85.750683,negative,447240,Bacteria
Bacteria_NZ_CP040586_2_length_291891_cov_85.635100,negative,291891,Bacteria
Bacteria_NZ_CP040586_3_length_182205_cov_85.446956,negative,182205,Bacteria
Bacteria_NZ_CP040586_4_length_141630_cov_84.578068,negative,141630,Bacteria
Bacteria_NZ_CP040586_5_length_132244_cov_85.377860,negative,132244,Bacteria
Bacteria_NZ_CP040586_6_length_131318_cov_85.072526,negative,131318,Bacteria
Bacteria_NZ_CP040586_7_length_121043_cov_85.144709,negative,121043,Bacteria
Bacteria_NZ_CP040586_8_length_118150_cov_86.009577,negative,118150,Bacteria
Bacteria_NZ_CP040586_9_length_116990_cov_86.282063,negative,116990,Bacteria
Bacteria_NZ_CP040586_10_length_115947_cov_85.368843,negative,115947,Bacteria
Bacteria_NZ_CP040586_11_length_85688_cov_85.096820,negative,85688,Bacteria
Bacteria_NZ_CP040586_12_length_80681_cov_85.270372,negative,80681,Bacteria
Bacteria_NZ_CP040586_13_length_78315_cov_85.893867,negative,78315,Bacteria
Bacteria_NZ_CP040586_14_length_75045_cov_85.224337,negative,75045,Bacteria
Bacteria_NZ_CP040586_15_length_71941_cov_85.220571,negative,71941,Bacteria
Bacteria_NZ_CP040586_16_length_69643_cov_84.899681,negative,69643,Bacteria
Bacteria_NZ_CP040586_17_length_62437_cov_85.201549,negative,62437,Bacteria
Bacteria_NZ_CP040586_18_length_60655_cov_83.152871,negative,60655,Bacteria
Bacteria_NZ_CP040586_19_length_60639_cov_94.206111,negative,60639,Bacteria
Bacteria_NZ_CP040586_20_length_54453_cov_85.485496,negative,54453,Bacteria
Bacteria_NZ_CP040586_21_length_37846_cov_85.215078,negative,37846,Bacteria
Bacteria_NZ_CP040586_22_length_33706_cov_85.676978,negative,33706,Bacteria
Bacteria_NZ_CP040586_23_length_26667_cov_87.376559,negative,26667,Bacteria
Bacteria_NZ_CP040586_24_length_19990_cov_86.772160,negative,19990,Bacteria
Bacteria_NZ_CP040586_25_length_18737_cov_83.271438,negative,18737,Bacteria
Bacteria_NZ_CP040586_26_length_17859_cov_86.001629,negative,17859,Bacteria
Bacteria_NZ_CP040586_27_length_16020_cov_85.400313,negative,16020,Bacteria
Bacteria_NZ_CP040586_28_length_14995_cov_90.578046,phage,14995,Bacteria
Bacteria_NZ_CP040586_29_length_14600_cov_82.880990,phage,14600,Bacteria
Bacteria_NZ_CP040586_30_length_8573_cov_84.047664,negative,8573,Bacteria
Bacteria_NZ_CP040586_31_length_3246_cov_334.436854,negative,3246,Bacteria
Bacteria_NZ_CP040586_32_length_1734_cov_338.918999,negative,1734,Bacteria
Bacteria_NZ_CP040586_33_length_1726_cov_495.407540,negative,1726,Bacteria
Bacteria_NZ_CP040586_34_length_1689_cov_85.682375,negative,1689,Bacteria
Bacteria_NZ_CP040586_35_length_1686_cov_249.537707,negative,1686,Bacteria
Bacteria_NZ_CP040586_36_length_1549_cov_339.785141,negative,1549,Bacteria
Bacteria_NZ_CP040586_37_length_1497_cov_250.248960,negative,1497,Bacteria
Bacteria_NZ_CP045702_1_length_391092_cov_28.165286,negative,391092,Bacteria
Bacteria_NZ_CP045702_2_length_375435_cov_30.614948,negative,375435,Bacteria
Bacteria_NZ_CP045702_3_length_365742_cov_28.407611,negative,365742,Bacteria
Bacteria_NZ_CP045702_4_length_341328_cov_29.005415,negative,341328,Bacteria
Bacteria_NZ_CP045702_5_length_336720_cov_28.443889,negative,336720,Bacteria
Bacteria_NZ_CP045702_6_length_315405_cov_29.589475,negative,315405,Bacteria
Bacteria_NZ_CP045702_7_length_262086_cov_28.194714,negative,262086,Bacteria
Bacteria_NZ_CP045702_8_length_249074_cov_29.772728,negative,249074,Bacteria
Bacteria_NZ_CP045702_9_length_212073_cov_27.953579,negative,212073,Bacteria
