"","name","length","score","pvalue"
"1","Bacteria_NZ_CP040586_1_length_447076_cov_99.793316",447076,0.273712332802182,0.176934271161775
"2","Bacteria_NZ_CP040586_2_length_291891_cov_99.790701",291891,0.298261843180243,0.162624302692214
"3","Bacteria_NZ_CP040586_3_length_182205_cov_99.406429",182205,0.184407592732134,0.236720834343924
"4","Bacteria_NZ_CP040586_4_length_141630_cov_98.427455",141630,0.335858009739408,0.145525103080281
"5","Bacteria_NZ_CP040586_5_length_132244_cov_99.311024",132244,0.407413823005889,0.117390249818094
"6","Bacteria_NZ_CP040586_6_length_131318_cov_99.291773",131318,0.176439795481445,0.243997089497938
"7","Bacteria_NZ_CP040586_7_length_121043_cov_99.509050",121043,0.303789991858109,0.159228716953675
"8","Bacteria_NZ_CP040586_8_length_118152_cov_100.145584",118152,0.383257240162343,0.126121756002911
"9","Bacteria_NZ_CP040586_9_length_116990_cov_100.378518",116990,0.227213276822587,0.202643706039292
"10","Bacteria_NZ_CP040586_10_length_115947_cov_99.936165",115947,0.303945940352592,0.159228716953675
"11","Bacteria_NZ_CP040586_11_length_85688_cov_98.874826",85688,0.267312416730866,0.180087315061848
"12","Bacteria_NZ_CP040586_12_length_80681_cov_99.373688",80681,0.159094441783447,0.260732476352171
"13","Bacteria_NZ_CP040586_13_length_78315_cov_99.730705",78315,0.317863894451871,0.154135338345865
"14","Bacteria_NZ_CP040586_14_length_75045_cov_99.350233",75045,0.120601224838429,0.304026194518554
"15","Bacteria_NZ_CP040586_15_length_71941_cov_99.324444",71941,0.162127521500627,0.258428328886733
"16","Bacteria_NZ_CP040586_16_length_69645_cov_98.771634",69645,0.271936846940071,0.177661896677177
"17","Bacteria_NZ_CP040586_17_length_62437_cov_98.638485",62437,0.123288165897866,0.300630608780015
"18","Bacteria_NZ_CP040586_18_length_60655_cov_96.877888",60655,0.29821833384957,0.162624302692214
"19","Bacteria_NZ_CP040586_19_length_54453_cov_99.830031",54453,0.384661038548952,0.125272859568276
"20","Bacteria_NZ_CP040586_20_length_37846_cov_99.005557",37846,0.469301111108049,0.0964103807906864
"21","Bacteria_NZ_CP040586_21_length_33706_cov_99.653680",33706,0.267032238766181,0.180329856900315
"22","Bacteria_NZ_CP040586_22_length_30548_cov_100.000918",30548,0.139200052280497,0.280742178025709
"23","Bacteria_NZ_CP040586_23_length_28803_cov_98.363608",28803,0.451281734654372,0.103322823187
"24","Bacteria_NZ_CP040586_24_length_26667_cov_101.185330",26667,0.386865991263906,0.125151588649042
"25","Bacteria_NZ_CP040586_25_length_19990_cov_101.187409",19990,0.368551368377272,0.130608780014553
"26","Bacteria_NZ_CP040586_26_length_18737_cov_97.192003",18737,0.219508636664225,0.207858355566335
"27","Bacteria_NZ_CP040586_27_length_18090_cov_101.332631",18090,0.48457043204902,0.0918020858598108
"28","Bacteria_NZ_CP040586_28_length_16020_cov_98.583777",16020,0.130639027733307,0.290565122483628
"29","Bacteria_NZ_CP040586_29_length_14995_cov_105.634270",14995,0.372641743576295,0.130002425418385
"30","Bacteria_NZ_CP040586_30_length_14600_cov_95.959092",14600,0.393094362284717,0.123089983022071
"31","Bacteria_NZ_CP040586_31_length_8573_cov_98.142874",8573,0.133294240151821,0.286684453068154
"32","Bacteria_NZ_CP040586_32_length_3246_cov_388.820746",3246,0.00630317365553854,0.789352413291293
"33","Bacteria_NZ_CP040586_33_length_1734_cov_399.844550",1734,0.1841616388288,0.401642284848726
"34","Bacteria_NZ_CP040586_34_length_1726_cov_578.968881",1726,0.902176116497975,0.01626340335632
