"","name","length","score","pvalue"
"1","Bacteria_NZ_CP040586_1_length_447240_cov_136.565587",447240,0.273917967242832,0.176934271161775
"2","Bacteria_NZ_CP040586_2_length_291893_cov_136.380780",291893,0.298380048080271,0.162624302692214
"3","Bacteria_NZ_CP040586_3_length_182205_cov_135.831337",182205,0.184407592732134,0.236720834343924
"4","Bacteria_NZ_CP040586_4_length_141630_cov_134.595592",141630,0.33535293555763,0.145646373999515
"5","Bacteria_NZ_CP040586_5_length_132244_cov_136.134890",132244,0.407413823005889,0.117390249818094
"6","Bacteria_NZ_CP040586_6_length_131318_cov_135.965527",131318,0.176439795481445,0.243997089497938
"7","Bacteria_NZ_CP040586_7_length_118152_cov_136.980321",118152,0.384507160495537,0.125394130487509
"8","Bacteria_NZ_CP040586_8_length_116990_cov_136.834241",116990,0.227213276822587,0.202643706039292
"9","Bacteria_NZ_CP040586_9_length_115947_cov_136.791642",115947,0.303945940352592,0.159228716953675
"10","Bacteria_NZ_CP040586_10_length_85688_cov_134.671318",85688,0.267446049366785,0.180087315061848
"11","Bacteria_NZ_CP040586_11_length_80681_cov_135.810880",80681,0.159094441783447,0.260732476352171
"12","Bacteria_NZ_CP040586_12_length_78315_cov_135.442090",78315,0.317863894451871,0.154135338345865
"13","Bacteria_NZ_CP040586_13_length_77729_cov_137.216894",77729,0.295049591160342,0.164079553723017
"14","Bacteria_NZ_CP040586_14_length_75045_cov_135.893506",75045,0.120601224838429,0.304026194518554
"15","Bacteria_NZ_CP040586_15_length_71941_cov_135.289013",71941,0.162127521500627,0.258428328886733
"16","Bacteria_NZ_CP040586_16_length_69645_cov_134.946285",69645,0.2739497162012,0.176934271161775
"17","Bacteria_NZ_CP040586_17_length_62437_cov_135.109583",62437,0.123288165897866,0.300630608780015
"18","Bacteria_NZ_CP040586_18_length_60655_cov_133.659043",60655,0.29821833384957,0.162624302692214
"19","Bacteria_NZ_CP040586_19_length_60639_cov_149.656477",60639,0.268087741290159,0.179359689546447
"20","Bacteria_NZ_CP040586_20_length_54453_cov_136.328064",54453,0.384661038548952,0.125272859568276
"21","Bacteria_NZ_CP040586_21_length_43273_cov_134.444953",43273,0.322980192047487,0.152073732718894
"22","Bacteria_NZ_CP040586_22_length_37846_cov_135.480988",37846,0.469301111108049,0.0964103807906864
"23","Bacteria_NZ_CP040586_23_length_33706_cov_134.949838",33706,0.267032238766181,0.180329856900315
"24","Bacteria_NZ_CP040586_24_length_26667_cov_138.530513",26667,0.386865991263906,0.125151588649042
"25","Bacteria_NZ_CP040586_25_length_19990_cov_137.529019",19990,0.368551368377272,0.130608780014553
"26","Bacteria_NZ_CP040586_26_length_18737_cov_134.408896",18737,0.219508636664225,0.207858355566335
"27","Bacteria_NZ_CP040586_27_length_18090_cov_139.516329",18090,0.48457043204902,0.0918020858598108
"28","Bacteria_NZ_CP040586_28_length_16020_cov_134.814469",16020,0.130266602373885,0.290686393402862
"29","Bacteria_NZ_CP040586_29_length_14600_cov_133.691165",14600,0.393094362284717,0.123089983022071
"30","Bacteria_NZ_CP040586_30_length_14110_cov_144.739879",14110,0.372501424016122,0.130002425418385
"31","Bacteria_NZ_CP040586_31_length_8573_cov_135.127964",8573,0.133294240151821,0.286684453068154
"32","Bacteria_NZ_CP040586_32_length_3246_cov_533.926982",3246,0.00672770596866573,0.780014552510308
"33","Bacteria_NZ_CP040586_33_length_1734_cov_546.375819",1734,0.1841616388288,0.401642284848726
"34","Bacteria_NZ_CP040586_34_length_1732_cov_138.156828",1732,0.461140569507881,0.174353250687607
"35","Bacteria_NZ_CP040586_35_length_1726_cov_789.314183",1726,0.902176116497975,0.01626340335632
"36","Bacteria_NZ_CP040586_36_length_1686_cov_397.458614",1686,0.878205639024086,0.0221230119185235
"37","Bacteria_NZ_CP040586_37_length_1643_cov_782.155542",1643,0.834343716551558,0.0343604257184996
"38","Bacteria_NZ_CP040586_38_length_1549_cov_540.124498",1549,0.373593257510445,0.224179854107705
"39","Bacteria_NZ_CP040586_39_length_1497_cov_403.127601",1497,0.0750309554381354,0.604177462430741
"40","Bacteria_NZ_CP045702_1_length_365742_cov_10.071419",365742,0.0329512702016669,0.527407227746786
"41","Bacteria_NZ_CP045702_2_length_336720_cov_10.037607",336720,0.0216772229424835,0.60162503031773
"42","Bacteria_NZ_CP045702_3_length_288400_cov_10.028664",288400,0.0422781358466214,0.482051903953432
"43","Bacteria_NZ_CP045702_4_length_262086_cov_10.001382",262086,0.0263382233634802,0.5690031530439
"44","Bacteria_NZ_CP045702_5_length_249074_cov_10.747320",249074,0.0470020621136637,0.463133640552995
"45","Bacteria_NZ_CP045702_6_length_211938_cov_9.784457",211938,0.0344985038853791,0.519645888915838
"46","Bacteria_NZ_CP045702_7_length_209979_cov_10.102061",209979,0.0237688103338515,0.584768372544264
"47","Bacteria_NZ_CP045702_8_length_206785_cov_10.373308",206785,0.0401883062897581,0.490298326461315
"48","Bacteria_NZ_CP045702_9_length_204339_cov_11.431385",204339,0.041743934038144,0.483870967741935
"49","Bacteria_NZ_CP045702_10_length_198867_cov_10.122699",198867,0.0453828052093842,0.468954644676207
"50","Bacteria_NZ_CP045702_11_length_188177_cov_10.054326",188177,0.0211385030154455,0.606233325248605
"51","Bacteria_NZ_CP045702_12_length_181941_cov_10.036930",181941,0.0240824525094434,0.582221683240359
"52","Bacteria_NZ_CP045702_13_length_169250_cov_10.374237",169250,0.0319362592708204,0.533106960950764
"53","Bacteria_NZ_CP045702_14_length_166993_cov_10.552475",166993,0.031238329328259,0.536866359447005
"54","Bacteria_NZ_CP045702_15_length_164971_cov_10.039875",164971,0.0342485446561029,0.520494785350473
"55","Bacteria_NZ_CP045702_16_length_158583_cov_10.423162",158583,0.0298762164311831,0.54487024011642
"56","Bacteria_NZ_CP045702_17_length_145895_cov_10.435923",145895,0.0664808747076274,0.401649284501576
"57","Bacteria_NZ_CP045702_18_length_145808_cov_9.441583",145808,0.0757844147413126,0.383943730293476
"58","Bacteria_NZ_CP045702_19_length_139351_cov_9.384907",139351,0.0272187224342071,0.563303419839922
"59","Prophage_NZ_CP045702_20_length_138240_cov_10.172349",138240,0.164810908346052,0.255881639582828
"60","Bacteria_NZ_CP045702_21_length_134310_cov_10.676332",134310,0.0453069131583223,0.469560999272374
"61","Bacteria_NZ_CP045702_22_length_132277_cov_9.730605",132277,0.0180060051263245,0.634125636672326
"62","Bacteria_NZ_CP045702_23_length_126553_cov_10.672509",126553,0.0209429221420799,0.606960950764007
"63","Bacteria_NZ_CP045702_24_length_123489_cov_10.124982",123489,0.03849747576782,0.496483143342227
"64","Bacteria_NZ_CP045702_25_length_122012_cov_9.723927",122012,0.492095818677374,0.0902255639097744
"65","Bacteria_NZ_CP045702_26_length_116824_cov_10.035909",116824,0.0646587525339414,0.406621392190153
"66","Bacteria_NZ_CP045702_27_length_105509_cov_9.876809",105509,0.034431774408416,0.520009701673539
"67","Bacteria_NZ_CP045702_28_length_104508_cov_10.104018",104508,0.0386242858126589,0.495876788746059
"68","Bacteria_NZ_CP045702_29_length_98500_cov_11.375357",98500,0.0606322619877482,0.419354838709677
"69","Bacteria_NZ_CP045702_30_length_87339_cov_10.348529",87339,0.025691550314777,0.572762551540141
"70","Bacteria_NZ_CP045702_31_length_80786_cov_9.855012",80786,0.0229150326951371,0.593378607809847
"71","Bacteria_NZ_CP045702_32_length_76752_cov_11.556893",76752,0.036091116015196,0.510429299054087
"72","Bacteria_NZ_CP045702_33_length_75145_cov_10.270023",75145,0.0281552283089114,0.556512248362843
"73","Bacteria_NZ_CP045702_34_length_63993_cov_11.162486",63993,0.0340471714326857,0.521222410865874
"74","Bacteria_NZ_CP045702_35_length_59623_cov_10.222653",59623,0.0315993573616258,0.535047295658501
"75","Bacteria_NZ_CP045702_36_length_56382_cov_9.863529",56382,0.0361068369712815,0.510429299054087
"76","Bacteria_NZ_CP045702_37_length_55458_cov_9.791744",55458,0.071150121706672,0.392796507397526
"77","Bacteria_NZ_CP045702_38_length_53578_cov_9.349270",53578,0.026965117587364,0.565001212709192
"78","Bacteria_NZ_CP045702_39_length_53335_cov_10.186749",53335,0.0915622509532652,0.350836769342712
"79","Bacteria_NZ_CP045702_40_length_53215_cov_10.108032",53215,0.0408265489533861,0.487630366238176
"80","Bacteria_NZ_CP045702_41_length_52891_cov_9.746915",52891,0.0401138868519944,0.490783410138249
"81","Bacteria_NZ_CP045702_42_length_49086_cov_10.061145",49086,0.0639435243611869,0.40856172689789
"82","Bacteria_NZ_CP045702_43_length_48732_cov_10.633749",48732,0.0639985090484292,0.408440455978656
"83","Bacteria_NZ_CP045702_44_length_48582_cov_9.800173",48582,0.0783014682884229,0.3793354353626
"84","Bacteria_NZ_CP045702_45_length_47834_cov_10.048013",47834,0.0473122481172832,0.46192093136066
"85","Bacteria_NZ_CP045702_46_length_46693_cov_10.729534",46693,0.0247445332588528,0.576885762794082
"86","Bacteria_NZ_CP045702_47_length_45320_cov_11.096255",45320,0.0244871599000879,0.578826097501819
"87","Bacteria_NZ_CP045702_48_length_42607_cov_10.695619",42607,0.0488019051778069,0.455978656318215
"88","Bacteria_NZ_CP045702_49_length_41030_cov_9.602465",41030,0.0722942849747476,0.390492359932088
"89","Bacteria_NZ_CP045702_50_length_40580_cov_9.527279",40580,0.0545907459243586,0.438273102110114
"90","Bacteria_NZ_CP045702_51_length_39786_cov_9.455413",39786,0.0679172734820346,0.399708949793839
"91","Bacteria_NZ_CP045702_52_length_39027_cov_10.052448",39027,0.0190960610942894,0.623696337618239
"92","Bacteria_NZ_CP045702_53_length_38478_cov_10.421805",38478,0.0432352132626249,0.477322338103323
"93","Bacteria_NZ_CP045702_54_length_38441_cov_9.693274",38441,0.0145295470054656,0.669415474169294
"94","Bacteria_NZ_CP045702_55_length_35714_cov_9.493536",35714,0.175525692252807,0.244845985932573
"95","Bacteria_NZ_CP045702_56_length_35370_cov_10.413167",35370,0.0399568875171039,0.491025951976716
"96","Bacteria_NZ_CP045702_57_length_35142_cov_10.049221",35142,0.0456775334998935,0.467741935483871
"97","Bacteria_NZ_CP045702_58_length_34631_cov_10.832803",34631,0.00614640032846688,0.792869269949066
"98","Bacteria_NZ_CP045702_59_length_34333_cov_9.790099",34333,0.0414681883002595,0.485083676934271
"99","Bacteria_NZ_CP045702_60_length_33935_cov_11.137869",33935,0.0163128162615611,0.650375939849624
"100","Bacteria_NZ_CP045702_61_length_33741_cov_10.424063",33741,0.0607289932393406,0.41911229687121
"101","Bacteria_NZ_CP045702_62_length_31199_cov_9.750257",31199,0.231046230572223,0.199611933058453
"102","Bacteria_NZ_CP045702_63_length_29947_cov_11.324200",29947,0.0952665465255229,0.343803056027165
"103","Bacteria_NZ_CP045702_64_length_29727_cov_9.876314",29727,0.0229265111477064,0.593257336890614
"104","Bacteria_NZ_CP045702_65_length_29671_cov_10.805443",29671,0.0495272131824128,0.454038321610478
"105","Bacteria_NZ_CP045702_66_length_27241_cov_9.484698",27241,0.0125705082260221,0.690759155954402
"106","Bacteria_NZ_CP045702_67_length_26065_cov_19.950827",26065,0.0568749508384757,0.430026679602231
"107","Bacteria_NZ_CP045702_68_length_25688_cov_9.342800",25688,0.0281573416382804,0.556512248362843
"108","Bacteria_NZ_CP045702_69_length_25442_cov_11.154685",25442,0.342576428197502,0.14140189182634
"109","Bacteria_NZ_CP045702_70_length_25328_cov_10.314921",25328,0.175213623398451,0.245088527771041
"110","Bacteria_NZ_CP045702_71_length_24694_cov_8.944641",24694,0.0622268659222612,0.413776376424933
"111","Bacteria_NZ_CP045702_72_length_24633_cov_10.628163",24633,0.294122179804414,0.164564637399952
"112","Bacteria_NZ_CP045702_73_length_24371_cov_8.991857",24371,0.0781268183544501,0.379456706281834
"113","Bacteria_NZ_CP045702_74_length_24143_cov_10.127781",24143,0.0593612402774796,0.422750424448217
"114","Bacteria_NZ_CP045702_75_length_21690_cov_10.383407",21690,0.0921964404530737,0.349987872908077
"115","Bacteria_NZ_CP045702_76_length_21494_cov_9.988899",21494,0.0272578466751037,0.563182148920689
"116","Bacteria_NZ_CP045702_77_length_19790_cov_11.680263",19790,0.00996306568148866,0.725321367935969
"117","Bacteria_NZ_CP045702_78_length_18282_cov_9.593735",18282,0.0279592431047201,0.558331312151346
"118","Bacteria_NZ_CP045702_79_length_17879_cov_12.145815",17879,0.14286367460999,0.276740237691002
"119","Bacteria_NZ_CP045702_80_length_17209_cov_10.855311",17209,0.0321385517913727,0.532015522677662
"120","Bacteria_NZ_CP045702_81_length_14308_cov_8.875465",14308,0.00548513701646318,0.805602716468591
"121","Bacteria_NZ_CP045702_82_length_8565_cov_9.121152",8565,0.0114130884353904,0.70531166626243
"122","Bacteria_NZ_CP045702_83_length_7474_cov_9.328751",7474,0.0100832995319273,0.723623575066699
"123","Bacteria_NZ_CP045702_84_length_6933_cov_8.627944",6933,0.0477795914204317,0.46022313849139
"124","Bacteria_NZ_CP045702_85_length_5836_cov_13.730496",5836,0.184969926834158,0.236357021586224
"125","Bacteria_NZ_CP045702_86_length_5493_cov_10.982346",5493,0.227357980737274,0.202522435120058
"126","Bacteria_NZ_CP045702_87_length_5476_cov_59.153477",5476,0.0144310564564181,0.670870725200097
"127","Bacteria_NZ_CP045702_88_length_5286_cov_11.277385",5286,0.116471651139223,0.310089740480233
"128","Bacteria_NZ_CP045702_89_length_5235_cov_8.676062",5235,0.0544131943757165,0.438879456706282
"129","Bacteria_NZ_CP045702_90_length_4846_cov_10.226466",4846,0.590205145146072,0.0683967984477322
"130","Bacteria_NZ_CP045702_91_length_4552_cov_13.182121",4552,0.840203109170214,0.0229202037351443
"131","Bacteria_NZ_CP045702_92_length_4375_cov_11.048148",4375,0.839862004376962,0.0229202037351443
"132","Bacteria_NZ_CP045702_93_length_3235_cov_10.162579",3235,0.115860761612862,0.310453553237934
"133","Bacteria_NZ_CP045702_94_length_3145_cov_10.860518",3145,0.00154441979405114,0.91741450400194
"134","Bacteria_NZ_CP045702_95_length_2088_cov_24.240531",2088,0.548743637357621,0.133296129469446
"135","Bacteria_NZ_CP045702_96_length_2012_cov_11.185999",2012,0.0369703191843915,0.741698887870212
"136","Bacteria_NZ_CP045702_97_length_1829_cov_19.926156",1829,0.132367909835427,0.478375254115677
"137","Bacteria_NZ_CP045702_98_length_1687_cov_54.143995",1687,0.035997460150748,0.746282935384861
"138","Bacteria_NZ_CP045702_99_length_1676_cov_46.359655",1676,0.111441340539327,0.517200143500618
"139","Bacteria_NZ_CP045702_100_length_1538_cov_40.775455",1538,0.348446744371136,0.24191812492526
"140","Bacteria_NZ_CP045702_101_length_1535_cov_79.219595",1535,0.165744196700484,0.427871008889066
"141","Bacteria_NZ_CP045702_102_length_1494_cov_16.893676",1494,0.133942032792022,0.475943715868777
