seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
Phage_NC_047747_1_length_40338_cov_731.024576||full	1.000	0.180	1.000	dsDNAphage	40283	15	87.800	0.000
Phage_NC_048706_1_length_45935_cov_689.462511||full	0.993	0.007	0.993	dsDNAphage	45880	2	36.900	3.100
Phage_NC_049456_1_length_75471_cov_59.919155||full	1.000	0.147	1.000	dsDNAphage	75416	5	57.900	0.000
Bacteria_NZ_CP030047_4_length_843164_cov_32.007915||0_partial	0.980	0.000	0.980	dsDNAphage	29533	2	18.000	8.000
Bacteria_NZ_CP030047_5_length_717793_cov_33.074667||0_partial	0.680	0.000	0.680	dsDNAphage	13574	1	18.200	40.900
Bacteria_NZ_CP040094_13_length_126962_cov_13.739707||0_partial	0.687	0.000	0.687	dsDNAphage	24938	1	17.600	5.900
Bacteria_NZ_CP040094_15_length_120484_cov_19.006826||0_partial	0.720	0.000	0.720	dsDNAphage	11747	1	19.000	28.600
Bacteria_NZ_CP040094_26_length_88432_cov_13.472940||full	0.900	0.000	0.900	dsDNAphage	78443	2	20.800	9.900
Bacteria_NZ_CP040094_28_length_85786_cov_13.146633||full	0.873	0.000	0.873	dsDNAphage	80715	6	18.700	11.200
Bacteria_NZ_CP040094_39_length_59038_cov_13.128088||0_partial	0.960	0.000	0.960	dsDNAphage	18409	1	12.500	12.500
Bacteria_NZ_CP040094_185_length_1546_cov_25.682093||full	0.927	1.000	1.000	ssDNA	1522	0	66.700	0.000
Prophage_NZ_CP041372_4_length_281070_cov_82.615700||0_partial	0.953	0.000	0.953	dsDNAphage	81059	12	31.900	16.400
Bacteria_NZ_CP041372_26_length_47059_cov_82.507276||full	0.987	0.000	0.987	dsDNAphage	46368	10	51.400	4.200
Bacteria_NZ_CP041372_28_length_31632_cov_166.615670||full	0.980	0.033	0.980	dsDNAphage	31533	13	58.500	3.800
Bacteria_NZ_CP041372_43_length_3864_cov_164.825413||full	1.000	0.113	1.000	dsDNAphage	3610	1	42.900	0.000
Bacteria_NZ_CP041372_48_length_1398_cov_247.227848||full	0.873	0.933	0.933	ssDNA	1216	0	66.700	0.000
Bacteria_NZ_CP048810_2_length_522410_cov_32.162797||0_partial	0.960	0.000	0.960	dsDNAphage	57428	12	33.800	28.600
Bacteria_NZ_CP048810_33_length_36665_cov_31.997105||full	0.887	0.000	0.887	dsDNAphage	33664	13	37.800	28.900
Bacteria_NZ_CP048810_41_length_1930_cov_127.833067||full	0.553	0.873	0.873	ssDNA	1859	0	50.000	0.000
Bacteria_NZ_CP053109_1_length_506193_cov_13.053132||0_partial	0.953	0.000	0.953	dsDNAphage	55478	5	28.600	6.600
Bacteria_NZ_CP053109_5_length_355643_cov_13.190833||0_partial	0.953	0.000	0.953	dsDNAphage	26578	2	24.100	9.300
Bacteria_NZ_CP053109_5_length_355643_cov_13.190833||1_partial	0.953	0.000	0.953	dsDNAphage	28317	6	36.400	15.900
Bacteria_NZ_CP053109_7_length_339546_cov_12.968199||0_partial	0.820	0.000	0.820	dsDNAphage	30297	4	23.300	23.300
Bacteria_NZ_CP053109_17_length_188955_cov_12.915696||0_partial	0.953	0.000	0.953	dsDNAphage	60858	5	25.700	6.700
Bacteria_NZ_CP053109_96_length_1288_cov_169.778589||full	0.867	0.520	0.867	dsDNAphage	1184	0	100.000	0.000
Bacteria_NZ_CP053609_1_length_521766_cov_53.853952||0_partial	0.953	0.007	0.953	dsDNAphage	62849	15	47.500	22.500
Bacteria_NZ_CP053609_10_length_118060_cov_53.541045||0_partial	0.893	0.000	0.893	dsDNAphage	18470	2	29.600	22.200
Bacteria_NZ_CP061335_2_length_448682_cov_11.617003||0_partial	0.973	0.013	0.973	dsDNAphage	54312	11	47.100	17.600
Bacteria_NZ_CP061335_52_length_1250_cov_43.580753||full	0.800	1.000	1.000	ssDNA	1202	0	100.000	0.000
Bacteria_NZ_LR824639_1_length_483922_cov_84.880860||0_partial	0.907	0.000	0.907	dsDNAphage	25783	4	32.300	41.900
Phage_NC_047933_1_length_43182_cov_363.705219||full	0.993	0.227	0.993	dsDNAphage	42928	9	63.000	0.000
Phage_NC_047954_1_length_46643_cov_895.586589||full	0.993	0.087	0.993	dsDNAphage	46551	7	62.000	0.000
Phage_NC_048168_1_length_43432_cov_134.048920||full	1.000	0.153	1.000	dsDNAphage	43392	14	92.600	0.000
Phage_NC_048639_1_length_42158_cov_158.379332||full	1.000	0.007	1.000	dsDNAphage	41965	6	65.700	5.700
Phage_NC_048639_2_length_14245_cov_152.479986||full	0.980	0.387	0.980	dsDNAphage	14030	0	48.000	0.000
Phage_NC_048639_3_length_11572_cov_158.288790||full	0.980	0.233	0.980	dsDNAphage	11570	0	43.500	0.000
Phage_NC_048641_1_length_40095_cov_228.860789||full	1.000	0.013	1.000	dsDNAphage	39647	11	62.700	6.800
Phage_NC_048641_2_length_1134_cov_190.405931||full	0.907	0.933	0.933	ssDNA	734	0	66.700	0.000
Phage_NC_048675_1_length_66181_cov_208.833122||full	1.000	0.320	1.000	dsDNAphage	65218	26	97.800	0.000
Phage_NC_049976_1_length_18751_cov_1040.653883||full	1.000	0.093	1.000	dsDNAphage	18292	5	60.000	0.000
