ID,Confidence,Predicted,True_Label,Contig_Length
VIRSorter_Bacteria_NZ_AP022189_201_length_3464_cov_5_223819,1,Viruses,Bacteria,3464
VIRSorter_Bacteria_NZ_AP022195_243_length_7126_cov_4_053741,1,Viruses,Bacteria,7126
VIRSorter_Bacteria_NZ_AP022195_426_length_2555_cov_4_912000,1,Viruses,Bacteria,2555
VIRSorter_Bacteria_NZ_AP022201_274_length_1715_cov_2_446988,1,Viruses,Bacteria,1715
VIRSorter_Bacteria_NZ_AP022201_382_length_1519_cov_1_818306,1,Viruses,Bacteria,1519
VIRSorter_Bacteria_NZ_CP034105_441_length_3083_cov_4_454095,1,Viruses,Bacteria,3083
VIRSorter_Bacteria_NZ_CP034105_497_length_2775_cov_2_575735,1,Viruses,Bacteria,2775
VIRSorter_Bacteria_NZ_CP041372_1_length_9615_cov_3_926987,1,Viruses,Bacteria,9615
VIRSorter_Bacteria_NZ_CP045553_1179_length_1519_cov_2_733607,1,Viruses,Bacteria,1519
VIRSorter_Bacteria_NZ_CP045553_455_length_3697_cov_3_044206,1,Viruses,Bacteria,3697
VIRSorter_Bacteria_NZ_CP045702_17_length_4355_cov_2_972326,1,Viruses,Bacteria,4355
VIRSorter_Bacteria_NZ_CP048810_407_length_1667_cov_1_915633,1,Viruses,Bacteria,1667
VIRSorter_Bacteria_NZ_CP048810_99_length_2632_cov_1_762903,1,Viruses,Bacteria,2632
VIRSorter_Bacteria_NZ_CP051218_109_length_10826_cov_4_815059,1,Viruses,Bacteria,10826
VIRSorter_Bacteria_NZ_CP051218_165_length_9112_cov_4_774760,1,Viruses,Bacteria,9112
VIRSorter_Bacteria_NZ_CP051218_189_length_8473_cov_4_345688,1,Viruses,Bacteria,8473
VIRSorter_Bacteria_NZ_CP051218_341_length_4970_cov_3_715565,1,Viruses,Bacteria,4970
VIRSorter_Bacteria_NZ_CP051218_44_length_15025_cov_4_191450,1,Viruses,Bacteria,15025
VIRSorter_Bacteria_NZ_CP051218_588_length_2368_cov_6_974492,1,Viruses,Bacteria,2368
VIRSorter_Bacteria_NZ_CP053746_349_length_5120_cov_4_236920,1,Viruses,Bacteria,5120
VIRSorter_Bacteria_NZ_CP053841_17_length_8408_cov_7_913444-circular,1,Viruses,Bacteria,8408
VIRSorter_Bacteria_NZ_CP054880_5_length_4782_cov_2_372118,1,Viruses,Bacteria,4782
VIRSorter_Bacteria_NZ_CP056393_160_length_3440_cov_2_143870,1,Viruses,Bacteria,3440
VIRSorter_Bacteria_NZ_CP056393_343_length_2501_cov_2_388389,1,Viruses,Bacteria,2501
VIRSorter_Bacteria_NZ_CP056393_454_length_2228_cov_2_663139,1,Viruses,Bacteria,2228
VIRSorter_Bacteria_NZ_CP056393_462_length_2209_cov_1_921541,1,Viruses,Bacteria,2209
VIRSorter_Bacteria_NZ_CP056393_546_length_2038_cov_2_627837,1,Viruses,Bacteria,2038
VIRSorter_Bacteria_NZ_CP056393_79_length_4284_cov_2_217309,1,Viruses,Bacteria,4284
VIRSorter_Bacteria_NZ_CP056393_80_length_4279_cov_2_997869,1,Viruses,Bacteria,4279
VIRSorter_Bacteria_NZ_CP056552_144_length_5899_cov_3_318617,1,Viruses,Bacteria,5899
VIRSorter_Bacteria_NZ_CP056552_357_length_3828_cov_2_388815,1,Viruses,Bacteria,3828
VIRSorter_Bacteria_NZ_CP056552_707_length_2243_cov_2_730347,1,Viruses,Bacteria,2243
VIRSorter_Bacteria_NZ_CP056552_7_length_12681_cov_3_697925,1,Viruses,Bacteria,12681
VIRSorter_Bacteria_NZ_CP056552_81_length_7042_cov_2_656076,1,Viruses,Bacteria,7042
VIRSorter_Bacteria_NZ_CP056552_84_length_6965_cov_3_882200,1,Viruses,Bacteria,6965
VIRSorter_Bacteria_NZ_CP059569_58_length_7395_cov_4_212807,1,Viruses,Bacteria,7395
VIRSorter_Bacteria_NZ_CP059571_122_length_3753_cov_2_865062,1,Viruses,Bacteria,3753
VIRSorter_Bacteria_NZ_CP059571_403_length_1823_cov_2_092195,1,Viruses,Bacteria,1823
VIRSorter_Bacteria_NZ_CP059571_63_length_4801_cov_3_345765,1,Viruses,Bacteria,4801
VIRSorter_Bacteria_NZ_CP059571_90_length_4284_cov_2_866399,1,Viruses,Bacteria,4284
VIRSorter_Bacteria_NZ_CP059603_18_length_2527_cov_2_304612,1,Viruses,Bacteria,2527
VIRSorter_Bacteria_NZ_CP060008_111_length_2840_cov_2_299820,1,Viruses,Bacteria,2840
VIRSorter_Bacteria_NZ_CP060414_109_length_5984_cov_3_828639,1,Viruses,Bacteria,5984
VIRSorter_Bacteria_NZ_CP060414_150_length_4869_cov_3_097216,1,Viruses,Bacteria,4869
VIRSorter_Bacteria_NZ_CP060414_225_length_3779_cov_3_437970,1,Viruses,Bacteria,3779
VIRSorter_Bacteria_NZ_CP060414_349_length_2698_cov_3_181612,1,Viruses,Bacteria,2698
VIRSorter_Bacteria_NZ_CP060414_577_length_1256_cov_2_973356,1,Viruses,Bacteria,1256
VIRSorter_Bacteria_NZ_CP061801_114_length_8348_cov_5_805378,1,Viruses,Bacteria,8348
VIRSorter_Bacteria_NZ_CP062122_185_length_8440_cov_18_820632,1,Viruses,Bacteria,8440
VIRSorter_Bacteria_NZ_CP062976_177_length_1583_cov_1_552356,1,Viruses,Bacteria,1583
VIRSorter_Bacteria_NZ_CP062976_84_length_2024_cov_2_494667,1,Viruses,Bacteria,2024
VIRSorter_Bacteria_NZ_CP064663_168_length_6071_cov_2_963431,1,Viruses,Bacteria,6071
VIRSorter_Bacteria_NZ_CP064663_45_length_9871_cov_4_145986,1,Viruses,Bacteria,9871
VIRSorter_Bacteria_NZ_CP064663_513_length_3121_cov_4_750489,1,Viruses,Bacteria,3121
VIRSorter_Bacteria_NZ_CP064663_595_length_2744_cov_3_552994,1,Viruses,Bacteria,2744
VIRSorter_Bacteria_NZ_CP064663_600_length_2712_cov_3_713963,1,Viruses,Bacteria,2712
VIRSorter_Bacteria_NZ_CP064671_124_length_6300_cov_3_845957,1,Viruses,Bacteria,6300
VIRSorter_Bacteria_NZ_CP064671_191_length_5310_cov_3_152426,1,Viruses,Bacteria,5310
VIRSorter_Phage_NC_047748_1_length_14404_cov_4_133250,1,Viruses,Phage,14404
VIRSorter_Phage_NC_047748_3_length_5089_cov_3_363329,1,Viruses,Phage,5089
VIRSorter_Phage_NC_047764_1_length_73758_cov_17_218132,1,Viruses,Phage,73758
VIRSorter_Phage_NC_047766_1_length_27483_cov_22_041345,1,Viruses,Phage,27483
VIRSorter_Phage_NC_047766_2_length_11432_cov_19_193724,1,Viruses,Phage,11432
VIRSorter_Phage_NC_047773_1_length_41156_cov_146_615873-circular,1,Viruses,Phage,41156
VIRSorter_Phage_NC_047781_1_length_41681_cov_69_738457,1,Viruses,Phage,41681
VIRSorter_Phage_NC_047794_1_length_39340_cov_11_729006,1,Viruses,Phage,39340
VIRSorter_Phage_NC_047798_1_length_40994_cov_35_748211-circular,1,Viruses,Phage,40994
VIRSorter_Phage_NC_047806_1_length_43978_cov_42_465838,1,Viruses,Phage,43978
VIRSorter_Phage_NC_047855_1_length_17357_cov_52_241960,1,Viruses,Phage,17357
VIRSorter_Phage_NC_047893_1_length_45763_cov_13_577951,1,Viruses,Phage,45763
VIRSorter_Phage_NC_047900_4_length_12762_cov_4_899898,1,Viruses,Phage,12762
