seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
Phage_NC_047859_1_length_108713_cov_29.321624||full	1.000	0.273	1.000	dsDNAphage	108663	14	93.400	0.000
Phage_NC_048135_1_length_39745_cov_22.961577||full	0.987	0.133	0.987	dsDNAphage	39690	11	78.000	0.000
Phage_NC_048852_1_length_108121_cov_116.677003||full	1.000	0.173	1.000	dsDNAphage	108066	15	91.000	0.000
Phage_NC_050144_1_length_65597_cov_289.281896||full	1.000	0.260	1.000	dsDNAphage	65542	26	97.800	0.000
Phage_NC_048625_1_length_38247_cov_20.246753||full	0.993	0.127	0.993	dsDNAphage	38244	12	77.400	1.900
Phage_NC_048628_1_length_42892_cov_22.553447||full	0.993	0.207	0.993	dsDNAphage	42891	12	71.200	0.000
Phage_NC_048649_1_length_54837_cov_24.485397||full	1.000	0.007	1.000	dsDNAphage	54634	16	54.400	2.500
Phage_NC_048657_1_length_43505_cov_126.965362||full	1.000	0.067	1.000	dsDNAphage	42242	11	84.600	1.500
Phage_NC_048681_1_length_38054_cov_7.713966||full	1.000	0.140	1.000	dsDNAphage	37948	11	88.500	0.000
Phage_NC_048687_1_length_47809_cov_38.036437||full	1.000	0.107	1.000	dsDNAphage	47736	13	48.600	0.000
Phage_NC_048711_1_length_43173_cov_132.737697||full	0.993	0.047	0.993	dsDNAphage	41911	11	83.900	1.600
Phage_NC_048726_1_length_91542_cov_27.291265||full	0.987	0.440	0.987	dsDNAphage	91137	12	63.000	0.000
Phage_NC_048726_2_length_61660_cov_26.943105||full	1.000	0.213	1.000	dsDNAphage	61491	19	65.900	0.000
Phage_NC_048737_1_length_40654_cov_28.869553||full	0.973	0.053	0.973	dsDNAphage	40521	13	75.400	3.500
Phage_NC_048745_1_length_66061_cov_23.644729||full	1.000	0.320	1.000	dsDNAphage	66026	26	97.800	0.000
Phage_NC_048781_1_length_112506_cov_109.017723||full	1.000	0.167	1.000	dsDNAphage	112503	14	92.600	0.000
Phage_NC_048802_1_length_159312_cov_30.618679||full	1.000	0.127	1.000	dsDNAphage	158858	27	36.200	0.800
Phage_NC_048808_1_length_84135_cov_6.726510||full	1.000	0.167	1.000	dsDNAphage	83653	16	91.500	0.000
Phage_NC_048808_2_length_26949_cov_6.894326||full	1.000	0.407	1.000	dsDNAphage	26597	1	87.200	0.000
