seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
Phage_NC_048650_1_length_112357_cov_162.670335||full	1.000	0.027	1.000	dsDNAphage	112302	8	33.000	2.800
Bacteria_NZ_CP040586_2_length_291891_cov_99.790701||0_partial	0.953	0.000	0.953	dsDNAphage	78132	15	32.700	14.900
Bacteria_NZ_CP040586_29_length_14995_cov_105.634270||full	0.613	0.080	0.613	dsDNAphage	14901	0	66.700	11.100
Prophage_NZ_CP045702_21_length_138241_cov_37.576028||0_partial	0.953	0.013	0.953	dsDNAphage	62666	8	48.700	18.400
Bacteria_NZ_CP045702_24_length_122012_cov_36.243381||full	0.893	0.000	0.893	dsDNAphage	107772	12	40.300	18.100
Bacteria_NZ_CP045702_30_length_80786_cov_36.858047||0_partial	0.780	0.000	0.780	dsDNAphage	38745	4	19.400	27.800
Bacteria_NZ_CP053841_1_length_417937_cov_145.653081||0_partial	0.973	0.000	0.973	dsDNAphage	17533	4	38.200	26.500
Bacteria_NZ_CP053841_2_length_392484_cov_146.056945||0_partial	0.740	0.000	0.740	dsDNAphage	19319	3	13.300	26.700
Bacteria_NZ_CP053841_8_length_83672_cov_150.432639||0_partial	0.953	0.000	0.953	dsDNAphage	25801	7	43.300	26.700
Bacteria_NZ_CP053841_16_length_3307_cov_260.499385||full	0.973	0.393	0.973	dsDNAphage	2754	0	85.700	0.000
Bacteria_NZ_CP053929_2_length_585458_cov_40.778295||0_partial	0.953	0.013	0.953	dsDNAphage	34045	12	43.800	31.200
Bacteria_NZ_CP053929_8_length_302558_cov_41.159903||0_partial	0.940	0.020	0.940	dsDNAphage	10975	1	12.500	8.300
Bacteria_NZ_CP053929_44_length_2289_cov_99.413160||full	0.860	0.760	0.860	dsDNAphage	1974	0	50.000	0.000
Bacteria_NZ_CP054920_6_length_515700_cov_33.990181||0_partial	0.913	0.000	0.913	dsDNAphage	26700	4	31.200	6.200
Bacteria_NZ_CP054920_8_length_362863_cov_34.294619||0_partial	0.847	0.000	0.847	dsDNAphage	22614	4	23.100	23.100
Bacteria_NZ_CP058259_10_length_127835_cov_91.679152||0_partial	0.767	0.000	0.767	dsDNAphage	14085	1	18.200	27.300
