ID,Predicted_Label,Contig_Length,True_Label
Bacteria_NZ_CP030047_1_length_1524315_cov_32.542514,negative,1524315,Bacteria
Bacteria_NZ_CP030047_2_length_1237435_cov_32.733700,negative,1237435,Bacteria
Bacteria_NZ_CP030047_3_length_951071_cov_32.735634,negative,951071,Bacteria
Bacteria_NZ_CP030047_4_length_843164_cov_32.007915,negative,843164,Bacteria
Bacteria_NZ_CP030047_5_length_717793_cov_33.074667,negative,717793,Bacteria
Bacteria_NZ_CP030047_6_length_516595_cov_31.958572,negative,516595,Bacteria
Bacteria_NZ_CP030047_7_length_445074_cov_32.355908,negative,445074,Bacteria
Bacteria_NZ_CP030047_8_length_363389_cov_32.173386,negative,363389,Bacteria
Bacteria_NZ_CP030047_9_length_352219_cov_32.742833,negative,352219,Bacteria
Bacteria_NZ_CP030047_10_length_342938_cov_32.194130,negative,342938,Bacteria
Bacteria_NZ_CP030047_11_length_286447_cov_32.653475,negative,286447,Bacteria
Bacteria_NZ_CP030047_12_length_261759_cov_32.324344,negative,261759,Bacteria
Bacteria_NZ_CP030047_13_length_249429_cov_33.638242,negative,249429,Bacteria
Bacteria_NZ_CP030047_14_length_215781_cov_31.959898,negative,215781,Bacteria
Bacteria_NZ_CP030047_15_length_185499_cov_33.012311,negative,185499,Bacteria
Bacteria_NZ_CP030047_16_length_178605_cov_32.157424,negative,178605,Bacteria
Bacteria_NZ_CP030047_17_length_136781_cov_32.610330,negative,136781,Bacteria
Bacteria_NZ_CP030047_18_length_119584_cov_32.746313,negative,119584,Bacteria
Bacteria_NZ_CP030047_19_length_106411_cov_31.591024,negative,106411,Bacteria
Bacteria_NZ_CP030047_20_length_91941_cov_31.176719,negative,91941,Bacteria
Bacteria_NZ_CP030047_21_length_51723_cov_32.612720,negative,51723,Bacteria
Bacteria_NZ_CP030047_22_length_47525_cov_32.667601,negative,47525,Bacteria
Bacteria_NZ_CP030047_23_length_3179_cov_65.352433,phage,3179,Bacteria
Bacteria_NZ_CP030047_24_length_2751_cov_97.200668,phage,2751,Bacteria
Bacteria_NZ_CP030047_25_length_1666_cov_64.721291,negative,1666,Bacteria
Bacteria_NZ_CP040094_1_length_247159_cov_17.324879,negative,247159,Bacteria
Bacteria_NZ_CP040094_2_length_215264_cov_14.529978,negative,215264,Bacteria
Bacteria_NZ_CP040094_3_length_170062_cov_16.475022,negative,170062,Bacteria
Bacteria_NZ_CP040094_4_length_164044_cov_13.790157,negative,164044,Bacteria
Bacteria_NZ_CP040094_5_length_162226_cov_13.662128,negative,162226,Bacteria
Bacteria_NZ_CP040094_6_length_157949_cov_13.594107,negative,157949,Bacteria
Bacteria_NZ_CP040094_7_length_148978_cov_13.955252,negative,148978,Bacteria
Bacteria_NZ_CP040094_8_length_148875_cov_14.140680,negative,148875,Bacteria
Bacteria_NZ_CP040094_9_length_139129_cov_13.670348,negative,139129,Bacteria
Bacteria_NZ_CP040094_10_length_137210_cov_13.704903,negative,137210,Bacteria
Bacteria_NZ_CP040094_11_length_128900_cov_17.598293,negative,128900,Bacteria
Bacteria_NZ_CP040094_12_length_128041_cov_13.788782,negative,128041,Bacteria
Bacteria_NZ_CP040094_13_length_126962_cov_13.739707,negative,126962,Bacteria
Bacteria_NZ_CP040094_14_length_126871_cov_13.912133,negative,126871,Bacteria
Bacteria_NZ_CP040094_15_length_120484_cov_19.006826,negative,120484,Bacteria
Bacteria_NZ_CP040094_16_length_115018_cov_13.188713,negative,115018,Bacteria
Bacteria_NZ_CP040094_17_length_113253_cov_22.110258,negative,113253,Bacteria
Bacteria_NZ_CP040094_18_length_111447_cov_16.637748,negative,111447,Bacteria
Bacteria_NZ_CP040094_19_length_109441_cov_18.971029,negative,109441,Bacteria
Bacteria_NZ_CP040094_20_length_106335_cov_13.777917,negative,106335,Bacteria
