ID,True_Label,Contig_Length,Assigned_TaxID,Predicted_Label
Prophage_NZ_AP023189_1_length_552821_cov_17.852668,Viruses,552821,1245471,Bacteria
Bacteria_NZ_AP023189_4_length_389569_cov_18.101190,Bacteria,389569,1245471,Bacteria
Bacteria_NZ_AP023189_6_length_236446_cov_17.273361,Bacteria,236446,1245471,Bacteria
Prophage_NZ_AP023189_7_length_222801_cov_18.398297,Viruses,222801,1245471,Bacteria
Bacteria_NZ_AP023189_8_length_221781_cov_17.820211,Bacteria,221781,1245471,Bacteria
Bacteria_NZ_AP023189_9_length_209597_cov_17.635777,Bacteria,209597,1245471,Bacteria
Bacteria_NZ_AP023189_12_length_197007_cov_18.333894,Bacteria,197007,1245471,Bacteria
Bacteria_NZ_AP023189_15_length_170523_cov_18.686258,Bacteria,170523,1245471,Bacteria
Bacteria_NZ_AP023189_16_length_161496_cov_17.713443,Bacteria,161496,1245471,Bacteria
Bacteria_NZ_AP023189_18_length_148066_cov_17.580315,Bacteria,148066,1245471,Bacteria
Bacteria_NZ_AP023189_21_length_116254_cov_17.478971,Bacteria,116254,1245471,Bacteria
Bacteria_NZ_AP023189_22_length_110005_cov_18.088759,Bacteria,110005,1245471,Bacteria
Bacteria_NZ_AP023189_24_length_98577_cov_17.753903,Bacteria,98577,1245471,Bacteria
Bacteria_NZ_AP023189_25_length_95957_cov_17.864633,Bacteria,95957,1245471,Bacteria
Bacteria_NZ_AP023189_30_length_64536_cov_18.417658,Bacteria,64536,1245471,Bacteria
Bacteria_NZ_AP023189_44_length_39772_cov_17.828889,Bacteria,39772,1245471,Bacteria
Bacteria_NZ_AP023189_46_length_36738_cov_21.105171,Bacteria,36738,1245471,Bacteria
Bacteria_NZ_AP023189_50_length_18840_cov_17.351557,Bacteria,18840,1245471,Bacteria
Bacteria_NZ_AP023189_52_length_15415_cov_17.236003,Bacteria,15415,1245471,Bacteria
Bacteria_NZ_AP023189_57_length_6555_cov_17.227846,Bacteria,6555,1245471,Bacteria
Bacteria_NZ_AP023189_2_length_485259_cov_18.239423,Bacteria,485259,1149133,Bacteria
Bacteria_NZ_AP023189_10_length_208577_cov_17.830056,Bacteria,208577,1149133,Bacteria
Bacteria_NZ_AP023189_11_length_199806_cov_17.697619,Bacteria,199806,1149133,Bacteria
Bacteria_NZ_AP023189_13_length_180760_cov_18.151501,Bacteria,180760,1149133,Bacteria
Bacteria_NZ_AP023189_17_length_151366_cov_17.500644,Bacteria,151366,1149133,Bacteria
Bacteria_NZ_AP023189_20_length_123296_cov_17.991091,Bacteria,123296,1149133,Bacteria
Bacteria_NZ_AP023189_26_length_92726_cov_18.171801,Bacteria,92726,1149133,Bacteria
Bacteria_NZ_AP023189_27_length_90953_cov_18.392638,Bacteria,90953,1149133,Bacteria
Bacteria_NZ_AP023189_33_length_59547_cov_17.630118,Bacteria,59547,1149133,Bacteria
Bacteria_NZ_AP023189_42_length_41718_cov_18.565130,Bacteria,41718,1149133,Bacteria
Bacteria_NZ_AP023189_45_length_39752_cov_17.340026,Bacteria,39752,1149133,Bacteria
Bacteria_NZ_CP060008_26_length_1095_cov_1.181731,Bacteria,1095,1149133,Bacteria
Bacteria_NZ_AP023189_3_length_448338_cov_17.672508,Bacteria,448338,1225174,Bacteria
Bacteria_NZ_AP023189_38_length_45308_cov_18.318631,Bacteria,45308,1225174,Bacteria
Bacteria_NZ_AP023189_66_length_1209_cov_18.701040,Bacteria,1209,1225174,Bacteria
Bacteria_NZ_CP060008_5_length_1537_cov_1.199055,Bacteria,1537,1225174,Bacteria
Bacteria_NZ_CP060008_9_length_1315_cov_1.869048,Bacteria,1315,1225174,Bacteria
Bacteria_NZ_CP060008_12_length_1284_cov_1.338487,Bacteria,1284,1225174,Bacteria
Bacteria_NZ_CP060008_17_length_1216_cov_1.386736,Bacteria,1216,1225174,Bacteria
Bacteria_NZ_AP023189_5_length_252612_cov_18.122950,Bacteria,252612,381754,Bacteria
Bacteria_NZ_AP023189_32_length_62172_cov_17.335415,Bacteria,62172,381754,Bacteria
Bacteria_NZ_AP023189_14_length_176290_cov_17.662553,Bacteria,176290,150396,Bacteria
Bacteria_NZ_AP023189_19_length_139354_cov_17.732044,Bacteria,139354,287,Bacteria
Bacteria_NZ_AP023189_29_length_66649_cov_17.725336,Bacteria,66649,287,Bacteria
Bacteria_NZ_AP023189_34_length_59270_cov_17.587554,Bacteria,59270,287,Bacteria
Bacteria_NZ_AP023189_43_length_40969_cov_17.462776,Bacteria,40969,287,Bacteria
Bacteria_NZ_AP023189_48_length_30875_cov_18.248670,Bacteria,30875,287,Bacteria
Bacteria_NZ_AP023189_65_length_1313_cov_87.258347,Bacteria,1313,287,Bacteria
Bacteria_NZ_CP044546_164_length_3390_cov_2.381409,Bacteria,3390,287,Bacteria
Bacteria_NZ_CP044546_343_length_2581_cov_3.024545,Bacteria,2581,287,Bacteria
Bacteria_NZ_CP044546_1042_length_1408_cov_2.431633,Bacteria,1408,287,Bacteria
Bacteria_NZ_CP054880_879_length_2522_cov_2.644102,Bacteria,2522,287,Bacteria
Bacteria_NZ_CP054880_1054_length_2054_cov_2.788394,Bacteria,2054,287,Bacteria
Bacteria_NZ_CP056030_64_length_30060_cov_11.732945,Bacteria,30060,287,Bacteria
Bacteria_NZ_CP056030_95_length_1208_cov_45.023417,Bacteria,1208,287,Bacteria
Bacteria_NZ_CP056080_17_length_10291_cov_20.990719,Bacteria,10291,287,Bacteria
Bacteria_NZ_CP061335_883_length_1975_cov_2.085417,Bacteria,1975,287,Bacteria
Bacteria_NZ_CP062156_31_length_13677_cov_21.738731,Bacteria,13677,287,Bacteria
Bacteria_NZ_CP062156_39_length_1244_cov_285.679563,Bacteria,1244,287,Bacteria
Bacteria_NZ_AP023189_23_length_100867_cov_17.925247,Bacteria,100867,1001585,Bacteria
Bacteria_NZ_CP060008_1_length_2503_cov_1.243873,Bacteria,2503,1001585,Bacteria
Bacteria_NZ_CP060008_4_length_1749_cov_1.421488,Bacteria,1749,1001585,Bacteria
Bacteria_NZ_CP060008_13_length_1247_cov_1.670302,Bacteria,1247,1001585,Bacteria
Bacteria_NZ_CP060008_27_length_1083_cov_1.328794,Bacteria,1083,1001585,Bacteria
Bacteria_NZ_CP060008_30_length_1064_cov_1.172448,Bacteria,1064,1001585,Bacteria
Bacteria_NZ_CP060008_32_length_1047_cov_1.837702,Bacteria,1047,1001585,Bacteria
Bacteria_NZ_AP023189_28_length_68040_cov_17.774730,Bacteria,68040,399739,Bacteria
Bacteria_NZ_CP060008_8_length_1333_cov_1.392019,Bacteria,1333,399739,Bacteria
Bacteria_NZ_CP060008_15_length_1226_cov_1.122972,Bacteria,1226,399739,Bacteria
Bacteria_NZ_AP023189_31_length_64308_cov_18.387966,Bacteria,64308,271420,Bacteria
Bacteria_NZ_CP054880_1083_length_2004_cov_3.123140,Bacteria,2004,271420,Bacteria
Bacteria_NZ_CP054880_1449_length_1213_cov_4.792746,Bacteria,1213,271420,Bacteria
Bacteria_NZ_AP023189_35_length_54322_cov_18.395673,Bacteria,54322,43263,Bacteria
Bacteria_NZ_AP023189_58_length_5469_cov_69.042298,Bacteria,5469,43263,Bacteria
Bacteria_NZ_AP023189_36_length_54304_cov_17.804531,Bacteria,54304,300,Bacteria
Bacteria_NZ_AP023189_51_length_17894_cov_18.300577,Bacteria,17894,300,Bacteria
Bacteria_NZ_CP044546_569_length_2110_cov_1.836983,Bacteria,2110,300,Bacteria
Bacteria_NZ_CP054880_1539_length_1053_cov_3.181363,Bacteria,1053,300,Bacteria
Bacteria_NZ_CP059565_83_length_6168_cov_3.439391,Bacteria,6168,300,Bacteria
Bacteria_NZ_CP060008_3_length_1770_cov_1.165015,Bacteria,1770,300,Bacteria
Bacteria_NZ_CP060008_7_length_1408_cov_2.220251,Bacteria,1408,300,Bacteria
Bacteria_NZ_CP060008_10_length_1306_cov_1.310951,Bacteria,1306,300,Bacteria
Bacteria_NZ_CP060008_14_length_1241_cov_1.739460,Bacteria,1241,300,Bacteria
Bacteria_NZ_CP060008_20_length_1139_cov_1.126384,Bacteria,1139,300,Bacteria
