"","name","length","score","pvalue"
"1","Prophage_NZ_AP023189_1_length_552821_cov_17.852668",552821,0.0159272511440733,0.65365025466893
"2","Bacteria_NZ_AP023189_2_length_485259_cov_18.239423",485259,0.0252959923743936,0.574339073490177
"3","Bacteria_NZ_AP023189_3_length_448338_cov_17.672508",448338,0.0142379126960042,0.672811059907834
"4","Bacteria_NZ_AP023189_4_length_389569_cov_18.101190",389569,0.0146138278108736,0.668687848653893
"5","Bacteria_NZ_AP023189_5_length_252612_cov_18.122950",252612,0.0139593643048007,0.675357749211739
"6","Bacteria_NZ_AP023189_6_length_236446_cov_17.273361",236446,0.0193746557844743,0.621634731991269
"7","Prophage_NZ_AP023189_7_length_222801_cov_18.398297",222801,0.0146214210050307,0.668566577734659
"8","Bacteria_NZ_AP023189_8_length_221781_cov_17.820211",221781,0.0224295149619018,0.596895464467621
"9","Bacteria_NZ_AP023189_9_length_209597_cov_17.635777",209597,0.0200525600352755,0.614964831433422
"10","Bacteria_NZ_AP023189_10_length_208577_cov_17.830056",208577,0.013772523830728,0.676449187484841
"11","Bacteria_NZ_AP023189_11_length_199806_cov_17.697619",199806,0.0152775942671221,0.660926509822944
"12","Bacteria_NZ_AP023189_12_length_197007_cov_18.333894",197007,0.00855747438168606,0.748362842590347
"13","Bacteria_NZ_AP023189_13_length_180760_cov_18.151501",180760,0.00842399644019908,0.749696822701916
"14","Bacteria_NZ_AP023189_14_length_176290_cov_17.662553",176290,0.0303362255030665,0.542323550812515
"15","Bacteria_NZ_AP023189_15_length_170523_cov_18.686258",170523,0.00859666016516991,0.747999029832646
"16","Bacteria_NZ_AP023189_16_length_161496_cov_17.713443",161496,0.0146953997650471,0.667717681300024
"17","Bacteria_NZ_AP023189_17_length_151366_cov_17.500644",151366,0.0133884606230537,0.680329856900315
"18","Bacteria_NZ_AP023189_18_length_148066_cov_17.580315",148066,0.00828214243220429,0.751758428328887
"19","Bacteria_NZ_AP023189_19_length_139354_cov_17.732044",139354,0.0223905926808564,0.597259277225321
"20","Bacteria_NZ_AP023189_20_length_123296_cov_17.991091",123296,0.00538333106241514,0.806815425660926
"21","Bacteria_NZ_AP023189_21_length_116254_cov_17.478971",116254,0.0081515116080708,0.754790201309726
"22","Bacteria_NZ_AP023189_22_length_110005_cov_18.088759",110005,0.0312668239889768,0.536745088527771
"23","Bacteria_NZ_AP023189_23_length_100867_cov_17.925247",100867,0.0126553847274216,0.690395343196701
"24","Bacteria_NZ_AP023189_24_length_98577_cov_17.753903",98577,0.0356499671209824,0.512975988357992
"25","Bacteria_NZ_AP023189_25_length_95957_cov_17.864633",95957,0.028246076909291,0.556027164685908
"26","Bacteria_NZ_AP023189_26_length_92726_cov_18.171801",92726,0.0146641435633257,0.667838952219258
"27","Bacteria_NZ_AP023189_27_length_90953_cov_18.392638",90953,0.00773133606696923,0.761945185544506
"28","Bacteria_NZ_AP023189_28_length_68040_cov_17.774730",68040,0.0251669940527379,0.574945428086345
"29","Bacteria_NZ_AP023189_29_length_66649_cov_17.725336",66649,0.103301819278409,0.32937181663837
"30","Bacteria_NZ_AP023189_30_length_64536_cov_18.417658",64536,0.00986250079590367,0.72604899345137
"31","Bacteria_NZ_AP023189_31_length_64308_cov_18.387966",64308,0.112525559068624,0.316274557361145
"32","Bacteria_NZ_AP023189_32_length_62172_cov_17.335415",62172,0.0113824211830273,0.705432937181664
"33","Bacteria_NZ_AP023189_33_length_59547_cov_17.630118",59547,0.0205792404058337,0.609871452825612
"34","Bacteria_NZ_AP023189_34_length_59270_cov_17.587554",59270,0.0739929160147416,0.387581857870483
"35","Bacteria_NZ_AP023189_35_length_54322_cov_18.395673",54322,0.0211852172783434,0.605869512490905
"36","Bacteria_NZ_AP023189_36_length_54304_cov_17.804531",54304,0.0177985397122414,0.63630851321853
"37","Bacteria_NZ_AP023189_37_length_51145_cov_18.402153",51145,0.0124985116394043,0.691850594227504
"38","Bacteria_NZ_AP023189_38_length_45308_cov_18.318631",45308,0.0450590452228128,0.470167353868542
"39","Bacteria_NZ_AP023189_39_length_43164_cov_17.528010",43164,0.00759221299040634,0.764370603929178
"40","Bacteria_NZ_AP023189_40_length_42703_cov_17.698345",42703,0.0298282962606889,0.545234052874121
"41","Bacteria_NZ_AP023189_41_length_42467_cov_19.490993",42467,0.0225811247690109,0.596167838952219
"42","Bacteria_NZ_AP023189_42_length_41718_cov_18.565130",41718,0.016089293515272,0.651346107203493
"43","Bacteria_NZ_AP023189_43_length_40969_cov_17.462776",40969,0.00821372722917484,0.753334950278923
"44","Bacteria_NZ_AP023189_44_length_39772_cov_17.828889",39772,0.0135755302076961,0.678753334950279
"45","Bacteria_NZ_AP023189_45_length_39752_cov_17.340026",39752,0.0423003119562451,0.481809362114965
"46","Bacteria_NZ_AP023189_46_length_36738_cov_21.105171",36738,0.00798773092556081,0.757943245209799
"47","Bacteria_NZ_AP023189_47_length_33461_cov_17.794917",33461,0.00938854659757962,0.735993208828523
"48","Bacteria_NZ_AP023189_48_length_30875_cov_18.248670",30875,0.0104819539844146,0.718651467378123
"49","Bacteria_NZ_AP023189_49_length_24044_cov_17.618742",24044,0.0063274941269182,0.788867329614358
"50","Bacteria_NZ_AP023189_50_length_18840_cov_17.351557",18840,0.00684023701142974,0.777831675964104
"51","Bacteria_NZ_AP023189_51_length_17894_cov_18.300577",17894,0.106220085532466,0.325127334465195
"52","Bacteria_NZ_AP023189_52_length_15415_cov_17.236003",15415,0.0456457554766575,0.467741935483871
"53","Prophage_NZ_AP023189_53_length_8405_cov_18.319880",8405,0.258542211608361,0.184695609992724
"54","Prophage_NZ_AP023189_54_length_8348_cov_18.755577",8348,0.630292253100868,0.0596652922629154
"55","Prophage_NZ_AP023189_55_length_7751_cov_33.585629",7751,0.744372890979618,0.0373514431239389
"56","Bacteria_NZ_AP023189_56_length_7469_cov_17.733207",7469,0.0115378690509609,0.703856415231627
"57","Bacteria_NZ_AP023189_57_length_6555_cov_17.227846",6555,0.0134132322203916,0.680087315061848
"58","Bacteria_NZ_AP023189_58_length_5469_cov_69.042298",5469,0.0723986166851227,0.390371089012855
"59","Bacteria_NZ_AP023189_59_length_5254_cov_14.916138",5254,0.0753081152144114,0.384913897647344
"60","Bacteria_NZ_AP023189_60_length_4529_cov_37.957309",4529,0.0149721947133613,0.665170991996119
"61","Prophage_NZ_AP023189_61_length_2864_cov_39.145603",2864,0.288115050183962,0.290150277035915
"62","Bacteria_NZ_AP023189_62_length_2605_cov_51.820392",2605,0.644388565629742,0.0933949854506318
"63","Bacteria_NZ_AP023189_63_length_2369_cov_49.472774",2369,0.107887852003182,0.525012954916889
"64","Prophage_NZ_AP023189_64_length_1833_cov_38.915636",1833,0.113865661961435,0.512815402399649
"65","Bacteria_NZ_AP023189_65_length_1313_cov_87.258347",1313,0.708356888276532,0.072148921752302
"66","Bacteria_NZ_AP023189_66_length_1209_cov_18.701040",1209,0.0108836646046644,0.897955116195639
"67","Prophage_NZ_AP023189_67_length_1181_cov_25.899645",1181,0.214266354698859,0.363255869573883
"68","Prophage_NZ_AP023189_68_length_1181_cov_24.099467",1181,0.0339833140039228,0.756327978634352
"69","Bacteria_NZ_AP023440_1_length_938091_cov_12.168014",938091,0.0218396537304628,0.600776133883095
"70","Bacteria_NZ_AP023440_2_length_588390_cov_12.483167",588390,0.0247261687131411,0.577007033713316
"71","Bacteria_NZ_AP023440_3_length_479355_cov_12.424225",479355,0.0464244989564736,0.4653165170992
"72","Bacteria_NZ_AP023440_4_length_464961_cov_12.334678",464961,0.0198872368278162,0.616177540625758
"73","Bacteria_NZ_AP023440_5_length_434139_cov_12.284247",434139,0.0281793886479593,0.556148435605142
"74","Bacteria_NZ_AP023440_6_length_429158_cov_12.304151",429158,0.0369674453129696,0.505699733203978
"75","Bacteria_NZ_AP023440_7_length_418561_cov_12.042384",418561,0.031717699237567,0.534198399223866
"76","Bacteria_NZ_AP023440_8_length_406534_cov_12.380462",406534,0.0329522669915276,0.527407227746786
"77","Bacteria_NZ_AP023440_9_length_401370_cov_11.848172",401370,0.0507534750825975,0.45003638127577
"78","Bacteria_NZ_AP023440_10_length_373383_cov_12.010763",373383,0.0402179002460275,0.490177055542081
"79","Bacteria_NZ_AP023440_11_length_370637_cov_12.310328",370637,0.046202441105478,0.465922871695367
"80","Bacteria_NZ_AP023440_12_length_362246_cov_12.269126",362246,0.0483970659763088,0.457918991025952
"81","Bacteria_NZ_AP023440_13_length_317011_cov_12.503530",317011,0.039678660136805,0.492359932088285
"82","Bacteria_NZ_AP023440_14_length_295284_cov_11.899238",295284,0.0233635135032152,0.58937666747514
"83","Bacteria_NZ_AP023440_15_length_287877_cov_12.364611",287877,0.0364641641814847,0.508610235265583
"84","Bacteria_NZ_AP023440_16_length_270270_cov_11.700216",270270,0.032246259348363,0.53128789716226
"85","Bacteria_NZ_AP023440_17_length_254843_cov_12.024738",254843,0.052921114613327,0.44324520979869
"86","Bacteria_NZ_AP023440_18_length_184001_cov_11.840535",184001,0.036174913980064,0.51018675721562
"87","Bacteria_NZ_AP023440_19_length_175319_cov_12.470713",175319,0.0906067033692009,0.352655833131215
"88","Bacteria_NZ_AP023440_20_length_173810_cov_12.078542",173810,0.035472455220566,0.514188697550327
"89","Bacteria_NZ_AP023440_21_length_160175_cov_11.990819",160175,0.0306628652310131,0.540989570700946
"90","Bacteria_NZ_AP023440_22_length_145729_cov_12.250759",145729,0.0269154258258646,0.565122483628426
"91","Bacteria_NZ_AP023440_23_length_120556_cov_12.223865",120556,0.0640695495026172,0.408319185059423
"92","Bacteria_NZ_AP023440_24_length_119535_cov_12.267350",119535,0.0337119429367169,0.523284016492845
"93","Bacteria_NZ_AP023440_25_length_116376_cov_12.154495",116376,0.0573880989332765,0.428571428571429
"94","Bacteria_NZ_AP023440_26_length_115898_cov_12.429253",115898,0.0239813990725531,0.58294930875576
"95","Bacteria_NZ_AP023440_27_length_114376_cov_12.078682",114376,0.0151572471225599,0.661896677176813
"96","Bacteria_NZ_AP023440_28_length_106965_cov_12.271574",106965,0.0418819484633347,0.483385884065001
"97","Bacteria_NZ_AP023440_29_length_106346_cov_12.156711",106346,0.0230994042431722,0.59143827310211
"98","Bacteria_NZ_AP023440_30_length_99759_cov_12.099645",99759,0.0341129666082141,0.520979869027407
"99","Bacteria_NZ_AP023440_31_length_96991_cov_12.128683",96991,0.0609895844665549,0.418263400436575
"100","Bacteria_NZ_AP023440_32_length_79472_cov_12.097611",79472,0.0527591029171554,0.444094106233325
"101","Bacteria_NZ_AP023440_33_length_72225_cov_12.274449",72225,0.0385236143161486,0.496483143342227
"102","Bacteria_NZ_AP023440_34_length_51022_cov_12.271136",51022,0.0387582757045616,0.495391705069124
"103","Bacteria_NZ_AP023440_35_length_44750_cov_12.421994",44750,0.0259189026943471,0.571186029590104
"104","Bacteria_NZ_AP023440_36_length_38506_cov_12.144131",38506,0.0144110093720276,0.671113267038564
"105","Bacteria_NZ_AP023440_37_length_38367_cov_12.576347",38367,0.0548205541802613,0.437302934756245
"106","Bacteria_NZ_AP023440_38_length_22883_cov_12.438540",22883,0.0113051819261561,0.706888188212467
"107","Bacteria_NZ_AP023440_39_length_18334_cov_14.490344",18334,0.0299538043912611,0.544021343681785
"108","Bacteria_NZ_AP023440_40_length_13723_cov_17.096064",13723,0.0437668603621794,0.474896919718651
"109","Bacteria_NZ_AP023440_41_length_11242_cov_17.764906",11242,0.0820935485241198,0.370725200097017
"110","Bacteria_NZ_AP023440_42_length_11128_cov_11.861465",11128,0.0170780034896876,0.643463497453311
"111","Bacteria_NZ_AP023440_43_length_9936_cov_11.128530",9936,0.332760951383098,0.146373999514916
"112","Bacteria_NZ_AP023440_44_length_9253_cov_10.753098",9253,0.217028410522295,0.209313606597138
"113","Bacteria_NZ_AP023440_45_length_9203_cov_25.533450",9203,0.0043923421206631,0.826461314576765
"114","Bacteria_NZ_AP023440_46_length_5459_cov_71.161362",5459,0.00549997074579481,0.804996361872423
"115","Bacteria_NZ_AP023440_47_length_5017_cov_14.371624",5017,0.00891455684586198,0.742299296628668
"116","Bacteria_NZ_AP023440_48_length_4871_cov_17.380399",4871,0.0730161602537261,0.388552025224351
"117","Bacteria_NZ_AP023440_49_length_3825_cov_14.545093",3825,0.022299974200208,0.597986902740723
"118","Bacteria_NZ_AP023440_50_length_1840_cov_25.501401",1840,0.0667949045070521,0.62817395463786
"119","Bacteria_NZ_AP023440_51_length_1220_cov_21.184549",1220,0.0915325058139412,0.562083947861442
"120","Bacteria_NZ_CP034105_1_length_24528_cov_3.060638",24528,0.0363398312042718,0.509459131700218
"121","Bacteria_NZ_CP034105_2_length_16976_cov_3.559010",16976,0.0196704313648764,0.617875333495028
"122","Bacteria_NZ_CP034105_3_length_16294_cov_3.852392",16294,0.00575963441654148,0.799902983264613
"123","Bacteria_NZ_CP034105_4_length_15122_cov_3.196854",15122,0.0237500940996135,0.584768372544264
"124","Bacteria_NZ_CP034105_5_length_14145_cov_3.019092",14145,0.0213049443035024,0.60502061605627
"125","Bacteria_NZ_CP034105_6_length_14083_cov_3.192401",14083,0.186251268703045,0.235144312393888
"126","Bacteria_NZ_CP034105_7_length_13906_cov_3.346545",13906,0.0906086962280771,0.352655833131215
"127","Bacteria_NZ_CP034105_8_length_13312_cov_3.488497",13312,0.0662889461787566,0.402013097259277
"128","Bacteria_NZ_CP034105_9_length_12750_cov_4.134935",12750,0.00255170691260193,0.878971622604899
"129","Bacteria_NZ_CP034105_10_length_12624_cov_2.870873",12624,0.0591738667176544,0.422992966286684
"130","Bacteria_NZ_CP034105_11_length_12417_cov_3.809416",12417,0.00992880350793451,0.725563909774436
"131","Bacteria_NZ_CP034105_12_length_12385_cov_3.138362",12385,0.061562157169746,0.416444336648072
"132","Bacteria_NZ_CP034105_13_length_12355_cov_3.421220",12355,0.142695040622713,0.276740237691002
"133","Bacteria_NZ_CP034105_14_length_12336_cov_2.765410",12336,0.0424968552860509,0.48096046568033
"134","Bacteria_NZ_CP034105_15_length_12248_cov_3.367096",12248,0.0424102748961331,0.481566820276498
"135","Bacteria_NZ_CP034105_16_length_11755_cov_3.336752",11755,0.0121737790668569,0.695731263642978
"136","Bacteria_NZ_CP034105_17_length_11654_cov_3.695060",11654,0.0975178807599538,0.339801115692457
"137","Bacteria_NZ_CP034105_18_length_11515_cov_3.861344",11515,0.0395188085578957,0.492966286684453
"138","Bacteria_NZ_CP034105_19_length_11495_cov_3.730944",11495,0.0624084664801643,0.413291292747999
"139","Bacteria_NZ_CP034105_20_length_11119_cov_3.262111",11119,0.0686375094343358,0.398132427843803
"140","Bacteria_NZ_CP034105_21_length_10772_cov_3.564337",10772,0.0274845654495866,0.56184816880912
"141","Bacteria_NZ_CP034105_22_length_10731_cov_2.693799",10731,0.197738868038451,0.226776618966772
"142","Bacteria_NZ_CP034105_23_length_9999_cov_3.584574",9999,0.0714850213206651,0.391947610962891
"143","Bacteria_NZ_CP034105_24_length_9943_cov_2.927083",9943,0.321541260586885,0.153043900072763
"144","Bacteria_NZ_CP034105_25_length_9870_cov_3.618034",9870,0.0571720816941376,0.429056512248363
"145","Bacteria_NZ_CP034105_26_length_9870_cov_3.574019",9870,0.0226497383749981,0.595561484356051
"146","Bacteria_NZ_CP034105_27_length_9822_cov_3.335620",9822,0.0049383031800115,0.815546931845743
"147","Bacteria_NZ_CP034105_28_length_9814_cov_3.379445",9814,0.0278079933405549,0.559180208585981
"148","Bacteria_NZ_CP034105_29_length_9778_cov_3.570709",9778,0.227352028809607,0.202522435120058
"149","Bacteria_NZ_CP034105_30_length_9776_cov_3.631828",9776,0.116259321745355,0.310211011399466
"150","Bacteria_NZ_CP034105_31_length_9749_cov_3.764597",9749,0.0464159150611926,0.4653165170992
"151","Bacteria_NZ_CP034105_32_length_9592_cov_3.271259",9592,0.00222969901392764,0.890734901770555
"152","Bacteria_NZ_CP034105_33_length_9371_cov_3.024045",9371,0.0538181675786524,0.440941062333252
"153","Bacteria_NZ_CP034105_34_length_9148_cov_3.162873",9148,0.178124469274947,0.242784380305603
"154","Bacteria_NZ_CP034105_35_length_9032_cov_3.583380",9032,0.00110099145644074,0.935968954644676
"155","Bacteria_NZ_CP034105_36_length_9031_cov_3.425357",9031,0.0326347672150353,0.529832646131458
"156","Bacteria_NZ_CP034105_37_length_9007_cov_3.689343",9007,0.0131420411221104,0.683725442638855
"157","Bacteria_NZ_CP034105_38_length_8998_cov_3.122330",8998,0.140630871547706,0.279044385156439
"158","Bacteria_NZ_CP034105_39_length_8949_cov_3.652912",8949,0.0378358961178819,0.499757458161533
"159","Bacteria_NZ_CP034105_40_length_8833_cov_3.165755",8833,0.0179240341493679,0.635217074945428
"160","Bacteria_NZ_CP034105_41_length_8784_cov_3.517700",8784,0.00649231978287283,0.785107931118118
"161","Bacteria_NZ_CP034105_42_length_8763_cov_3.051562",8763,0.100388663070862,0.334343924326946
"162","Bacteria_NZ_CP034105_43_length_8743_cov_3.004029",8743,0.00883587069724916,0.743269463982537
"163","Bacteria_NZ_CP034105_44_length_8741_cov_3.122611",8741,0.0613422301074791,0.41705069124424
"164","Bacteria_NZ_CP034105_45_length_8704_cov_3.083247",8704,0.037136956670586,0.504850836769343
"165","Bacteria_NZ_CP034105_46_length_8642_cov_2.878304",8642,0.117787351736715,0.307785593014795
"166","Bacteria_NZ_CP034105_47_length_8619_cov_3.819710",8619,0.0027128155736844,0.872665534804754
"167","Bacteria_NZ_CP034105_48_length_8612_cov_4.103307",8612,0.0156414900061711,0.657288382245937
"168","Bacteria_NZ_CP034105_49_length_8601_cov_3.611397",8601,0.0475851126172359,0.461072034926025
"169","Bacteria_NZ_CP034105_50_length_8555_cov_3.424706",8555,0.0993402628904668,0.336890613630851
"170","Bacteria_NZ_CP034105_51_length_8445_cov_3.871156",8445,0.0799616754620342,0.375454765947126
"171","Bacteria_NZ_CP034105_52_length_8427_cov_3.314501",8427,0.268589767130926,0.178995876788746
"172","Bacteria_NZ_CP034105_53_length_8420_cov_3.870652",8420,0.015274935223768,0.660926509822944
"173","Bacteria_NZ_CP034105_54_length_8409_cov_3.460857",8409,0.302394582910866,0.160198884307543
"174","Bacteria_NZ_CP034105_55_length_8348_cov_3.358133",8348,0.108003838007986,0.322095561484356
"175","Bacteria_NZ_CP034105_56_length_8337_cov_3.252596",8337,0.294979476816428,0.164079553723017
"176","Bacteria_NZ_CP034105_57_length_8293_cov_3.402525",8293,0.0321392222223964,0.532015522677662
"177","Bacteria_NZ_CP034105_58_length_8292_cov_3.259196",8292,0.0889821453784383,0.356415231627456
"178","Bacteria_NZ_CP034105_59_length_8278_cov_3.569014",8278,0.0582153610327945,0.426146010186757
"179","Bacteria_NZ_CP034105_60_length_8225_cov_2.990575",8225,0.0454482594053293,0.46871210283774
"180","Bacteria_NZ_CP034105_61_length_8215_cov_2.955270",8215,0.148642899121763,0.270070337133155
"181","Bacteria_NZ_CP034105_62_length_8206_cov_3.670347",8206,0.00600120384884241,0.795415959252971
"182","Bacteria_NZ_CP034105_63_length_8187_cov_3.993483",8187,0.010264718354829,0.721319427601261
"183","Bacteria_NZ_CP034105_64_length_8159_cov_3.835143",8159,0.126854899352153,0.295901042929905
"184","Bacteria_NZ_CP034105_65_length_8158_cov_2.909540",8158,0.0212946333853701,0.60502061605627
"185","Bacteria_NZ_CP034105_66_length_8088_cov_3.717291",8088,0.0130010132176433,0.685544506427359
"186","Bacteria_NZ_CP034105_67_length_8042_cov_3.734318",8042,0.0107342158181115,0.714164443366481
"187","Bacteria_NZ_CP034105_68_length_8003_cov_3.659160",8003,0.033394053415055,0.524617996604414
"188","Bacteria_NZ_CP034105_69_length_7998_cov_3.739393",7998,0.0793367060335188,0.376424933300994
"189","Bacteria_NZ_CP034105_70_length_7960_cov_3.404175",7960,0.0861685950391234,0.361629881154499
"190","Bacteria_NZ_CP034105_71_length_7878_cov_3.767864",7878,0.0840872417648257,0.366238176085375
"191","Bacteria_NZ_CP034105_72_length_7857_cov_3.317355",7857,0.250870188115931,0.189303904923599
"192","Bacteria_NZ_CP034105_73_length_7805_cov_3.824645",7805,0.0458978102368563,0.46701430996847
"193","Bacteria_NZ_CP034105_74_length_7794_cov_2.961881",7794,0.0112014302340388,0.708222168324036
"194","Bacteria_NZ_CP034105_75_length_7784_cov_3.723379",7784,0.00401309593527658,0.837375697307786
"195","Bacteria_NZ_CP034105_76_length_7737_cov_4.162978",7737,0.200407123639907,0.223866116905166
"196","Bacteria_NZ_CP034105_77_length_7667_cov_2.893852",7667,0.0487867319961065,0.455978656318215
"197","Bacteria_NZ_CP034105_78_length_7662_cov_3.252136",7662,0.0235209402324662,0.587193790928935
"198","Bacteria_NZ_CP034105_79_length_7653_cov_2.909976",7653,0.00474238287408279,0.819670143099685
"199","Bacteria_NZ_CP034105_80_length_7629_cov_3.112094",7629,0.0482465778282699,0.458646616541353
"200","Bacteria_NZ_CP034105_81_length_7455_cov_3.283243",7455,0.124937571811124,0.29844773223381
"201","Bacteria_NZ_CP034105_82_length_7404_cov_4.148456",7404,0.0369934926250703,0.505578462284744
"202","Bacteria_NZ_CP034105_83_length_7395_cov_3.162125",7395,0.0670384456721058,0.401042929905409
"203","Bacteria_NZ_CP034105_84_length_7384_cov_3.158685",7384,0.0849941881051401,0.363934028619937
