seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
Phage_NC_047738_1_length_42987_cov_49.100694||full	1.000	0.207	1.000	dsDNAphage	42932	8	63.300	0.000
Phage_NC_047952_1_length_42924_cov_74.525485||full	1.000	0.127	1.000	dsDNAphage	42869	13	90.700	0.000
Phage_NC_047997_1_length_40699_cov_36.145212||full	1.000	0.147	1.000	dsDNAphage	40637	17	86.300	0.000
Phage_NC_048076_1_length_41988_cov_196.016884||full	1.000	0.407	1.000	dsDNAphage	41933	6	52.900	0.000
Phage_NC_048200_1_length_40274_cov_13.496059||full	1.000	0.240	1.000	dsDNAphage	40255	14	85.700	0.000
Phage_NC_048684_1_length_45012_cov_100.383478||full	0.993	0.000	0.993	dsDNAphage	44957	1	30.000	5.000
Phage_NC_048722_1_length_121848_cov_37.780316||full	0.993	0.040	0.993	dsDNAphage	121793	10	35.300	2.400
Phage_NC_050146_1_length_65429_cov_20.759124||full	1.000	0.300	1.000	dsDNAphage	65374	26	96.800	0.000
Bacteria_NZ_AP023239_51_length_29374_cov_5.517753||0_partial	0.767	0.007	0.767	dsDNAphage	10836	1	12.500	43.800
Bacteria_NZ_AP023239_106_length_17710_cov_6.106769||0_partial	0.893	0.007	0.893	dsDNAphage	11495	2	28.600	21.400
Bacteria_NZ_AP023239_124_length_15378_cov_4.497618||full	0.993	0.033	0.993	dsDNAphage	15374	1	78.900	5.300
Bacteria_NZ_AP023239_156_length_11843_cov_5.204276||full	1.000	0.293	1.000	dsDNAphage	11839	9	93.800	0.000
Bacteria_NZ_AP023239_265_length_5263_cov_4.078725||full	0.933	0.233	0.933	dsDNAphage	4955	2	83.300	0.000
Bacteria_NZ_AP023239_269_length_5003_cov_6.094382||full	0.880	0.100	0.880	dsDNAphage	4205	0	44.400	11.100
Bacteria_NZ_AP023239_354_length_1719_cov_3.574519||full	0.493	0.913	0.913	ssDNA	1638	0	50.000	0.000
Bacteria_NZ_AP023440_33_length_95468_cov_6.913094||0_partial	0.840	0.000	0.840	dsDNAphage	31341	4	30.400	17.400
Bacteria_NZ_AP023440_41_length_75615_cov_7.340233||0_partial	0.960	0.007	0.960	dsDNAphage	20626	1	17.100	11.400
Bacteria_NZ_CP030048_8_length_362856_cov_19.560390||0_partial	0.980	0.007	0.980	dsDNAphage	21955	4	27.000	24.300
Bacteria_NZ_CP033364_2_length_897822_cov_11.084279||0_partial	0.953	0.000	0.953	dsDNAphage	69228	12	31.900	24.200
Bacteria_NZ_CP033364_7_length_372712_cov_10.984989||0_partial	0.820	0.007	0.820	dsDNAphage	10227	1	10.500	15.800
Bacteria_NZ_CP033364_9_length_317738_cov_11.034723||0_partial	0.793	0.000	0.793	dsDNAphage	16567	1	13.300	20.000
Bacteria_NZ_CP063374_84_length_1974_cov_72.137572||full	0.360	0.500	0.500	ssDNA	1871	0	50.000	0.000
Bacteria_NZ_CP063427_1_length_789855_cov_15.319820||0_partial	0.973	0.000	0.973	dsDNAphage	31721	7	30.800	28.800
Bacteria_NZ_CP063427_1_length_789855_cov_15.319820||1_partial	0.940	0.000	0.940	dsDNAphage	36096	5	43.800	25.000
Bacteria_NZ_CP063427_4_length_375927_cov_15.182748||0_partial	0.773	0.000	0.773	dsDNAphage	26317	3	12.500	16.700
Prophage_NZ_CP063427_17_length_86848_cov_15.848398||full	0.933	0.000	0.933	dsDNAphage	86654	18	39.600	28.700
