"","name","length","score","pvalue"
"1","Bacteria_NZ_CP030047_1_length_1757099_cov_27.304875",1757099,0.00932945676505096,0.736599563424691
"2","Bacteria_NZ_CP030047_2_length_1524313_cov_27.204156",1524313,0.0179489470822276,0.63461072034926
"3","Bacteria_NZ_CP030047_3_length_903237_cov_27.662848",903237,0.0148035301381669,0.666747513946156
"4","Bacteria_NZ_CP030047_4_length_843371_cov_26.837090",843371,0.0135008731975236,0.679238418627213
"5","Bacteria_NZ_CP030047_5_length_716767_cov_27.531703",716767,0.0114348906504618,0.705069124423963
"6","Bacteria_NZ_CP030047_6_length_607144_cov_27.361104",607144,0.0103875391842956,0.720106718408926
"7","Bacteria_NZ_CP030047_7_length_566913_cov_27.180998",566913,0.00893199260639807,0.742056754790201
"8","Bacteria_NZ_CP030047_8_length_445074_cov_26.977707",445074,0.010162866696331,0.723017220470531
"9","Bacteria_NZ_CP030047_9_length_358912_cov_27.841433",358912,0.0106732726316758,0.714649527043415
"10","Bacteria_NZ_CP030047_10_length_344816_cov_27.477824",344816,0.0166631272796443,0.647465437788018
"11","Bacteria_NZ_CP030047_11_length_286447_cov_27.229441",286447,0.0196562121648913,0.617996604414261
"12","Bacteria_NZ_CP030047_12_length_261759_cov_26.985338",261759,0.0711102513661031,0.39291777831676
"13","Bacteria_NZ_CP030047_13_length_215781_cov_26.769425",215781,0.0314961792405018,0.535532379335435
"14","Bacteria_NZ_CP030047_14_length_136781_cov_27.170026",136781,0.0391622868093145,0.493693912199854
"15","Bacteria_NZ_CP030047_15_length_91941_cov_26.090906",91941,0.0648748150844101,0.406257579432452
"16","Bacteria_NZ_CP030047_16_length_74797_cov_27.329360",74797,0.0623227904406591,0.4136551055057
"17","Bacteria_NZ_CP030047_17_length_51723_cov_27.354417",51723,0.00902445821492753,0.740722774678632
"18","Bacteria_NZ_CP030047_18_length_46967_cov_27.735761",46967,0.00938861908546803,0.735993208828523
"19","Bacteria_NZ_CP030047_19_length_2746_cov_82.355258",2746,0.162567891645263,0.432654362817395
"20","Bacteria_NZ_CP030047_20_length_1666_cov_59.956549",1666,0.178539635271195,0.409694263961414
"21","Bacteria_NZ_CP041372_1_length_465863_cov_63.034265",465863,0.0595608670201209,0.422265340771283
"22","Bacteria_NZ_CP041372_2_length_321916_cov_62.354165",321916,0.0875792666831983,0.358961920931361
"23","Bacteria_NZ_CP041372_3_length_290331_cov_61.918801",290331,0.0750782391933126,0.385762794081979
"24","Bacteria_NZ_CP041372_4_length_230900_cov_63.895250",230900,0.134276890448024,0.285714285714286
"25","Prophage_NZ_CP041372_5_length_213887_cov_61.915883",213887,0.201084132569381,0.223744845985933
"26","Bacteria_NZ_CP041372_6_length_192451_cov_62.658236",192451,0.162194648693294,0.258428328886733
"27","Bacteria_NZ_CP041372_7_length_179764_cov_61.988732",179764,0.0658575109980601,0.403710890128547
"28","Bacteria_NZ_CP041372_8_length_148063_cov_61.995858",148063,0.140509737250578,0.279165656075673
"29","Bacteria_NZ_CP041372_9_length_127598_cov_61.014913",127598,0.130051974296153,0.291050206160563
"30","Bacteria_NZ_CP041372_10_length_123851_cov_62.603582",123851,0.0606900717379325,0.419233567790444
"31","Bacteria_NZ_CP041372_11_length_112977_cov_62.101778",112977,0.0683144067901766,0.398860053359204
"32","Bacteria_NZ_CP041372_12_length_105599_cov_61.936860",105599,0.0908717984138479,0.351928207615814
"33","Bacteria_NZ_CP041372_13_length_95908_cov_61.892262",95908,0.0765584077821513,0.382852292020374
"34","Bacteria_NZ_CP041372_14_length_88353_cov_62.747333",88353,0.0922850928925188,0.349866601988843
"35","Bacteria_NZ_CP041372_15_length_77188_cov_61.928565",77188,0.0641294695718572,0.408076643220956
"36","Bacteria_NZ_CP041372_16_length_73002_cov_62.068365",73002,0.143898128644683,0.275770070337133
"37","Bacteria_NZ_CP041372_17_length_71919_cov_61.314288",71919,0.117722082329181,0.307906863934029
"38","Bacteria_NZ_CP041372_18_length_67225_cov_61.243814",67225,0.0618655174969105,0.415231627455736
"39","Bacteria_NZ_CP041372_19_length_59877_cov_62.214486",59877,0.0588982766916077,0.423599320882852
"40","Bacteria_NZ_CP041372_20_length_59788_cov_62.548106",59788,0.0742174107053805,0.387218045112782
"41","Bacteria_NZ_CP041372_21_length_59358_cov_61.737349",59358,0.207969904043111,0.217802570943488
"42","Bacteria_NZ_CP041372_22_length_57573_cov_61.694078",57573,0.083193673183987,0.367935968954645
"43","Bacteria_NZ_CP041372_23_length_57566_cov_64.353428",57566,0.069828549646359,0.395343196701431
"44","Bacteria_NZ_CP041372_24_length_54279_cov_61.240244",54279,0.0579343673042008,0.426994906621392
"45","Bacteria_NZ_CP041372_25_length_52888_cov_61.326292",52888,0.068846587897312,0.397526073247635
"46","Bacteria_NZ_CP041372_26_length_49618_cov_61.367956",49618,0.209129906449711,0.216226048993451
"47","Bacteria_NZ_CP041372_27_length_47196_cov_61.927685",47196,0.467853305829164,0.0972592772253214
"48","Bacteria_NZ_CP041372_28_length_42582_cov_61.158981",42582,0.201081177216928,0.223744845985933
"49","Bacteria_NZ_CP041372_29_length_31632_cov_125.788200",31632,0.965050026403444,0.00557846228474412
"50","Bacteria_NZ_CP041372_30_length_28392_cov_63.820553",28392,0.0760239148929817,0.383579917535775
"51","Bacteria_NZ_CP041372_31_length_26324_cov_60.976626",26324,0.0592825143315983,0.422750424448217
"52","Bacteria_NZ_CP041372_32_length_26307_cov_59.939662",26307,0.115645172937982,0.310696095076401
"53","Bacteria_NZ_CP041372_33_length_26180_cov_63.193990",26180,0.153249996665411,0.265340771283046
"54","Bacteria_NZ_CP041372_34_length_25055_cov_61.622720",25055,0.0471468653121349,0.462769827795295
"55","Bacteria_NZ_CP041372_35_length_23145_cov_62.102339",23145,0.21314232678025,0.212345379577977
"56","Bacteria_NZ_CP041372_36_length_21039_cov_64.219310",21039,0.0194191728474626,0.621028377395101
"57","Bacteria_NZ_CP041372_37_length_19318_cov_60.389867",19318,0.0486234654910803,0.457191365510551
"58","Bacteria_NZ_CP041372_38_length_18463_cov_62.263201",18463,0.201058527363817,0.223744845985933
"59","Bacteria_NZ_CP041372_39_length_18223_cov_58.939124",18223,0.173205498141043,0.246907591559544
"60","Bacteria_NZ_CP041372_40_length_17646_cov_61.688932",17646,0.0724712855061346,0.38988600533592
"61","Bacteria_NZ_CP041372_41_length_12618_cov_63.088434",12618,0.160831849156994,0.259277225321368
"62","Bacteria_NZ_CP041372_42_length_11575_cov_60.225347",11575,0.103543633973635,0.329008003880669
"63","Bacteria_NZ_CP041372_43_length_11430_cov_64.467165",11430,0.0368815232627525,0.506306087800146
"64","Bacteria_NZ_CP041372_44_length_9026_cov_61.747966",9026,0.0157646920607433,0.6549842347805
"65","Bacteria_NZ_CP041372_45_length_6210_cov_60.373680",6210,0.0428869923620726,0.47926267281106
"66","Bacteria_NZ_CP041372_46_length_5198_cov_61.983084",5198,0.051240933641311,0.448702401164201
"67","Bacteria_NZ_CP041372_47_length_3864_cov_125.557889",3864,0.267971431872679,0.17948096046568
"68","Bacteria_NZ_CP041372_48_length_3165_cov_430.960450",3165,0.00254069392920366,0.8793354353626
"69","Bacteria_NZ_CP041372_49_length_1763_cov_443.317330",1763,0.0702200723819666,0.617690437278272
"70","Bacteria_NZ_CP041372_50_length_1477_cov_486.045710",1477,0.588122233893106,0.116673974568502
"71","Bacteria_NZ_CP041372_51_length_1398_cov_179.852569",1398,0.960258896338545,0.00426515725276039
"72","Bacteria_NZ_CP041372_52_length_1372_cov_325.489749",1372,0.775762787825454,0.0511021644676526
"73","Bacteria_NZ_CP048810_1_length_522469_cov_24.287446",522469,0.0182645800161194,0.631942760126122
"74","Bacteria_NZ_CP048810_2_length_438811_cov_24.950852",438811,0.0331289411517636,0.526315789473684
"75","Bacteria_NZ_CP048810_3_length_398015_cov_24.236481",398015,0.0171177112914533,0.643220955614844
"76","Bacteria_NZ_CP048810_4_length_354929_cov_23.970947",354929,0.0281419678558786,0.556512248362843
"77","Bacteria_NZ_CP048810_5_length_287148_cov_24.645606",287148,0.0207092044629089,0.60878001455251
"78","Bacteria_NZ_CP048810_6_length_285189_cov_24.747115",285189,0.0242426262427145,0.580645161290323
"79","Bacteria_NZ_CP048810_7_length_279680_cov_24.309761",279680,0.032921877252523,0.527649769585253
